鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
文山區,房地(土地+建物)+車位,臺北市文山區樟新街15巷1~30號,40.39,住,,,1070905,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790821,171.44,4,2,2,有,有,22500000,131241,坡道平面,27.67,0,,RPQNMLMJIINFFAA86CA
中正區,車位,臺北市中正區和平西路一段61~90號,0.28,商,,,1070614,土地0建物0車位1,一層,二十八層,其他,商業用,見其他登記事項,0930120,40.97,0,0,0,有,有,2100000,,坡道平面,40.96,2100000,,RPRNMLOJIINFFAA17CA
中正區,車位,臺北市中正區羅斯福路三段121~150號,0.58,商,,,1070913,土地0建物0車位2,,,其他,,,,68.85,0,0,0,有,有,6000000,,坡道平面,68.86,6000000,,RPVNMLOJIINFFAA57CA
文山區,房地(土地+建物),臺北市文山區萬隆街31~60號,27.29,住,,,1070831,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,110.7,3,1,2,有,無,14500000,130985,,0.0,0,,RPSNMLSJIINFFAA67CA
文山區,房地(土地+建物),臺北市文山區興隆路三段207巷14弄1~30號,24.12,住,,,1070808,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730830,92.4,3,2,2,有,無,7050000,76299,,0.0,0,,RPSNMLPKIINFFAA47CA
萬華區,房地(土地+建物),臺北市萬華區西園路二段281巷6弄31~60號,63.5,住,,,1070725,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0570401,68.26,4,0,4,有,無,17000000,249048,,0.0,0,,RPUNMLQKIINFFBA87CA
萬華區,房地(土地+建物),臺北市萬華區西園路二段281巷6弄31~60號,63.0,住,,,1070725,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0570401,68.26,4,0,4,有,無,17000000,249048,,0.0,0,,RPWNMLQKIINFFBA08CA
萬華區,房地(土地+建物),臺北市萬華區西園路二段281巷6弄31~60號,63.0,住,,,1070725,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0570422,70.48,4,0,4,有,無,17000000,241203,,0.0,0,,RPOOMLQKIINFFBA37CA
內湖區,車位,臺北市內湖區康寧路三段189巷21弄1~30號,0.02,商,,,1070828,土地0建物0車位1,一層,十四層,其他,見其他登記事項,鋼筋混凝土造,1020506,39.76,0,0,0,有,有,2400000,,坡道平面,39.76,2400000,,RPRRMLLJIINFFCA47CA
