編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLMJIINFFAA86CA,28,6.28,共有部分,鋼筋混凝土造,79年8月21日,十一層,
RPQNMLMJIINFFAA86CA,28,132.21,住家用,鋼筋混凝土造,79年8月21日,十一層,五層
RPQNMLMJIINFFAA86CA,28,5.04,商業用,鋼筋混凝土造,79年8月21日,十一層,地下一層
RPQNMLMJIINFFAA86CA,28,.24,共有部分,鋼筋混凝土造,79年8月21日,十一層,
RPQNMLMJIINFFAA86CA,28,27.67,見使用執照,鋼筋混凝土造,79年8月21日,十一層,地下二層
RPWNMLQKIINFFBA08CA,50,68.26,住家用,加強磚造,57年4月1日,二層,一層 二層
RPVSMLLJIINFFCA97CA,19,35.84,共有部分,鋼筋混凝土造,88年12月30日,十層,
RPVSMLLJIINFFCA97CA,19,75.95,住家用,鋼筋混凝土造,88年12月30日,十層,七層
RPVNMLOJIINFFAA57CA,3,68.85,見其他登記事項,鋼骨鋼筋混凝土造,105年1月26日,十九層,
RPPNMLNJIINFFCA07CA,13,2.18,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPPNMLNJIINFFCA07CA,13,59.15,住家用,鋼筋混凝土造,94年4月12日,十三層,四層
RPPNMLNJIINFFCA07CA,13,15.64,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPPNMLNJIINFFCA07CA,13,9.71,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPPNMLNJIINFFCA07CA,13,3.05,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPPNMLNJIINFFCA07CA,13,3.92,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPPNMLNJIINFFCA07CA,13,34.01,共有部分,鋼筋混凝土造,94年4月12日,十三層,
RPRNMLOJIINFFAA17CA,14,.17,商業用,見其他登記事項,93年1月20日,二十八層,一層
RPRNMLOJIINFFAA17CA,14,.00,共有部分,見其他登記事項,93年1月20日,二十八層,
RPRNMLOJIINFFAA17CA,14,.01,共有部分,鋼骨鋼筋混凝土造,93年1月20日,二十八層,
RPRNMLOJIINFFAA17CA,14,40.78,共有部分,鋼骨鋼筋混凝土造,93年1月20日,二十八層,
RPPQMLMJIINFFCA27CA,40,99.23,商業用,鋼筋混凝土造,68年1月22日,六層,四層
RPTNMLPJIINFFCA67CA,,75.86,,加強磚造,,三層,三層
