編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLMJIINFFAA86CA,實踐段三小段,40.39,都市：住
RPWNMLQKIINFFBA08CA,雙園段三小段,35.00,都市：住
RPVSMLLJIINFFCA97CA,文德段二小段,5.48,都市：住
RPWNMLQKIINFFBA08CA,雙園段三小段,28.00,都市：住
RPVSMLLJIINFFCA97CA,文德段二小段,23.97,都市：住
RPVNMLOJIINFFAA57CA,福和段一小段,.40,都市：商
RPVNMLOJIINFFAA57CA,福和段一小段,.09,都市：商
RPVNMLOJIINFFAA57CA,福和段一小段,.09,都市：商
RPVNMLOJIINFFAA57CA,福和段一小段,.01,都市：商
RPPNMLNJIINFFCA07CA,文德段二小段,21.66,都市：住
RPRNMLOJIINFFAA17CA,南海段二小段,.13,都市：住
RPRNMLOJIINFFAA17CA,南海段二小段,.15,都市：商
RPPQMLMJIINFFCA27CA,吉林段四小段,16.14,都市：商
RPTNMLPJIINFFCA67CA,榮星段六小段,29.67,都市：住
RPRNMLSJIINFFCA77CA,德惠段四小段,6.41,都市：商
RPSNMLNJIINFFCA37CA,正義段三小段,6.99,都市：商
RPPPMLPJIINFFCA47CA,中山段一小段,9.70,都市：商
RPSOMLSKIINFFCA08CA,潭美段五小段,58.79,都市：其他
RPOOMLQKIINFFBA37CA,雙園段三小段,35.00,都市：住
RPSQMLRKIINFFCA18CA,金泰段,25.07,都市：商
RPOOMLQKIINFFBA37CA,雙園段三小段,28.00,都市：住
RPSNMLSJIINFFAA67CA,萬隆段二小段,27.29,都市：住
RPTQMLRKIINFFCA28CA,金泰段,22.16,都市：商
RPUNMLQKIINFFBA87CA,雙園段三小段,35.50,都市：住
RPUNMLQKIINFFBA87CA,雙園段三小段,28.00,都市：住
RPPOMLTLIINFFCA97CA,東湖段五小段,29.46,都市：其他
RPQOMLTLIINFFCA08CA,東湖段五小段,26.86,都市：其他
RPTNMLNLIINFFCA67CA,康寧段三小段,.41,都市：其他
RPRRMLLJIINFFCA47CA,東湖段二小段,.02,都市：商
RPWPMLMJIINFFDA97CA,經貿段,48.09,都市：住
RPWOMLSJIINFFCA38CA,西湖段一小段,92.83,都市：住
RPWOMLSJIINFFCA38CA,碧湖段四小段,3.13,都市：住
RPTNMLMJIINFFDA47CA,寶清段五小段,4.40,都市：商
RPOTMLPJIINFFDA87CA,敦化段五小段,29.29,都市：住
RPXOMLMJIINFFDA97CA,逸仙段二小段,20.25,都市：住
RPROMLTJIINFFCA97CA,潭美段四小段,16.95,都市：住
RPSPMLNJIINFFDA67CA,逸仙段二小段,4.73,都市：住
RPSPMLNJIINFFDA67CA,逸仙段二小段,11.77,都市：住
RPRNMLSJIINFFDA87CA,福德段四小段,32.73,都市：其他
RPRNMLSJIINFFDA87CA,福德段四小段,40.68,都市：其他
RPXOMLLKIINFFDA97CA,民生段,15.57,都市：商
RPRNMLSJIINFFDA87CA,福德段四小段,8.23,都市：其他
RPPNMLOJIINFFDA27CA,向陽段,24.58,都市：住
RPSNMLPKIINFFAA47CA,公訓段三小段,24.12,都市：住
RPQPMLNJIINFFDA47CA,敦化段一小段,10.94,都市：住
RPWSMLPJIINFFDA58CA,敦化段三小段,8.99,都市：商
RPSPMLSJIINFFDA18CA,中南段五小段,19.93,都市：住
RPPPMLPLIINFFCA67CA,金泰段,17.08,都市：商
RPWOMLNLIINFFDA18CA,南港段一小段,13.81,都市：商
RPRPMLMJIINFFEA57CA,行義段二小段,34.56,都市：住
RPPPMLMJIINFFEA37CA,立農段四小段,17.40,都市：住
RPPNMLTJIINFFDA77CA,雅祥段四小段,2.76,都市：商
RPPNMLTJIINFFDA77CA,雅祥段四小段,1.16,都市：住
RPTOMLLJIINFFEA57CA,新民段二小段,11.96,都市：住
RPTOMLMJIINFFEA67CA,永平段四小段,18.30,都市：住
RPQOMLQJJINFFDA77CA,南港段一小段,16.59,都市：商
RPPPMLLJIINFFEA27CA,百齡段四小段,24.30,都市：住
RPPPMLLJIINFFEA27CA,百齡段四小段,.57,都市：其他
RPTPMLLJIINFFEA67CA,永平段二小段,20.75,都市：住
RPTPMLLJIINFFEA67CA,永平段二小段,5.75,都市：其他
RPXOMLMJIINFFEA08CA,大業段五小段,8.22,都市：住
RPXOMLMJIINFFEA08CA,大業段五小段,12.91,都市：住
RPVNMLMJJINFFFA97CA,懷生段二小段,.22,都市：住
RPVNMLMJJINFFFA97CA,懷生段二小段,13.30,都市：住
RPPOMLQJJINFFDA67CA,南港段一小段,18.57,都市：商
RPPOMLSJIINFFAA57DA,永昌段一小段,24.50,都市：住
RPPOMLSJIINFFAA57DA,永昌段一小段,1.00,都市：住
RPPOMLMLIINFFEA47CA,振興段一小段,352.00,都市：住
RPWRMLLJIINFFAA87DA,實踐段一小段,39.08,都市：住
RPWNMLPJIINFFFA28CA,復興段一小段,7.11,都市：住
RPTVMLMJIINFFBA18DA,大同段一小段,1.14,都市：住
RPVNMLNJIINFFEA87CA,溪洲段三小段,16.69,都市：其他
RPPNMLMKIINFFAA96DA,老泉段三小段,230.00,都市：其他
RPPWMLMJIINFFBA87DA,延平段一小段,9.80,都市：商
RPOPMLPJIINFFBA37DA,延平段一小段,25.82,都市：商
RPPWMLMJIINFFBA87DA,延平段一小段,7.70,都市：其他
RPPPMLQLIINFFBA77DA,城中段一小段,5.45,都市：商
RPPPMLQLIINFFBA77DA,城中段一小段,.56,都市：商
RPSNMLKKIINFFCA27DA,文德段四小段,9.34,都市：商
RPSNMLKKIINFFCA27DA,文德段四小段,17.92,都市：商
RPXNMLMLIINFFFA28CA,仁愛段一小段,11.57,都市：商
RPQNMLQLIINFFBA67DA,大同段一小段,1.42,都市：住
RPXNMLMJIINFFEA08DA,天母段二小段,.40,都市：住
RPWOMLLJIINFFEA97DA,至善段四小段,118.68,都市：其他
RPVPMLMJIINFFEA08DA,芝蘭段一小段,29.83,都市：其他
RPPUMLPJIINFFDA18DA,玉成段四小段,5.90,都市：住
RPQNMLTKIINFFEA08CA,秀山段二小段,.01,都市：其他
RPQNMLTKIINFFEA08CA,秀山段二小段,36.59,都市：住
RPOQMLMJIINFFEA47DA,芝蘭段一小段,28.83,都市：住
RPXPMLMJIINFFEA28DA,崇仰段三小段,36.49,都市：住
RPUPMLPLIINFFCA28DA,正義段四小段,4.26,都市：商
RPXNMLLKIINFFFA18DA,辛亥段一小段,6.33,都市：其他
RPXNMLLKIINFFFA18DA,辛亥段一小段,10.59,都市：住
RPOOMLPJIINFFEA57DA,新民段一小段,.58,都市：其他
RPOOMLPJIINFFEA57DA,新民段一小段,7.48,都市：其他
RPOOMLPJIINFFEA57DA,新民段一小段,.18,都市：其他
RPOOMLPJIINFFEA57DA,新民段一小段,1.30,都市：其他
RPSNMLTKIINFFEA28CA,桃源段一小段,50.00,都市：住
RPROMLLJIINFFDA37DA,西松段二小段,18.70,都市：住
RPROMLLJIINFFDA37DA,西松段二小段,.40,都市：其他
RPPOMLNJIINFFCA27DA,德惠段二小段,13.82,都市：住
RPTNMLNLIINFFDA87DA,敦化段二小段,27.01,都市：商
RPOPMLLKIINFFDA27DA,和段一小段,21.00,都市：其他
RPXNMLSJIINFFAA28DA,萬隆段一小段,20.58,都市：商
RPTNMLPKIINFFDA97DA,敦化段二小段,54.19,都市：商
RPPNMLTJIINFFCA77DA,東湖段二小段,19.55,都市：商
RPQPMLOJIINFFFA77CA,仁愛段一小段,13.07,都市：商
RPRTMLPJIINFFDA28DA,三興段三小段,9.98,都市：商
RPRTMLPJIINFFDA28DA,三興段三小段,2.27,都市：商
RPOPMLMKIINFFAA07DA,興泰段一小段,79.90,都市：住
RPPPMLMKIINFFAA17DA,木柵段三小段,13.77,都市：住
RPOQMLMJIINFFDA37DA,民生段,36.50,都市：其他
RPXNMLSJIINFFFA68CA,辛亥段三小段,23.31,都市：住
RPOPMLMKIINFFEA37CA,溫泉段三小段,23.60,都市：住
RPPNMLPKIINFFEA57CA,新安段三小段,991.74,都市：住
RPORMLLKIINFFDA47DA,西松段一小段,26.87,都市：住
RPQOMLOLIINFFEA77CA,行義段一小段,320.58,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,14.55,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,27.36,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,316.58,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,46.71,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,89.32,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,191.81,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,200.11,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,155.58,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,228.02,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,383.39,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,6.08,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,386.02,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,60.51,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,23.06,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,327.96,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,200.41,都市：其他
RPQOMLOLIINFFEA77CA,行義段一小段,142.11,都市：其他
RPTOMLSKIINFFBA18DA,雙園段三小段,30.25,都市：住
RPXOMLOJIINFFFA38CA,辛亥段六小段,15.92,都市：住
RPUOMLMJIINFFEA77CA,秀山段二小段,39.10,都市：住
RPUOMLMJIINFFEA77CA,秀山段二小段,.01,都市：住
RPWOMLNJIINFFDA97CA,玉成段四小段,54.50,都市：住
RPQQMLSJIINFFEA28DA,福林段一小段,28.20,都市：住
RPPPMLLKIINFFDA27CA,信義段二小段,11.59,都市：商
RPPPMLLKIINFFDA27CA,信義段二小段,4.06,都市：商
RPPPMLLKIINFFDA27CA,信義段二小段,.01,都市：其他
RPQOMLQKIINFFEA87CA,大業段二小段,8.28,都市：商
RPQOMLQKIINFFEA87CA,大業段二小段,.21,都市：住
RPQOMLQKIINFFEA87CA,大業段二小段,.01,都市：住
RPTRMLTLIINFFCA68CA,金泰段,60.56,都市：其他
RPPPMLNJIINFFDA37CA,美仁段一小段,32.85,都市：住
RPWPMLMJIINFFEA08CA,天玉段二小段,789.58,都市：住
RPSPMLMJIINFFEA67CA,蘭雅段二小段,18.00,都市：住
RPPNMLNJIINFFEA27CA,芝山段二小段,9.95,都市：住
RPRRMLSJIINFFCA18CA,中山段三小段,27.36,都市：商
RPUOMLQLIINFFEA38CA,福順段二小段,26.25,都市：住
RPQNMLMKIINFFCA17CA,長安段一小段,11.18,都市：住
RPROMLSJIINFFEA08CA,洲美段二小段,238.00,都市：農
RPURMLTLIINFFCA78CA,金泰段,5.05,都市：其他
RPWPMLMLIINFFCA08CA,康寧段四小段,23.26,都市：住
RPPPMLQLIINFFCA77CA,正義段一小段,10.84,都市：商
RPQQMLQLIINFFCA97CA,長安段二小段,42.58,都市：住
RPQQMLQLIINFFCA97CA,長安段二小段,6.26,都市：住
RPTNMLLKIINFFBA27CA,青年段一小段,15.66,都市：住
RPTNMLLKIINFFBA27CA,青年段一小段,7.79,都市：住
RPROMLQKIINFFCA77CA,長安段三小段,87.75,都市：商
RPORMLMLIINFFCA47CA,東湖段三小段,10.92,都市：住
RPUNMLOJIINFFCA67CA,長安段四小段,7.57,都市：商
RPRNMLPJIINFFCA47CA,吉林段五小段,.93,都市：住
RPRNMLPJIINFFCA47CA,吉林段五小段,3.20,都市：商
RPRNMLPJIINFFCA47CA,吉林段五小段,15.22,都市：商
RPWOMLMJIINFFEA97CA,奇岩段二小段,22.75,都市：住
RPUNMLMJIINFFAA27CA,木柵段二小段,6.04,都市：住
RPPOMLOLIINFFBA37CA,城中段一小段,.25,都市：商
RPROMLOLIINFFBA57CA,城中段一小段,9.58,都市：商
RPPOMLPJIINFFAA17CA,華興段四小段,38.00,都市：住
RPOPMLSJIINFFAA47CA,華興段四小段,24.58,都市：住
RPQNMLPJJINFFAA27CA,南海段五小段,12.53,都市：住
RPOOMLQKIINFFAA27CA,公訓段三小段,.32,都市：住
RPOOMLQKIINFFAA27CA,公訓段三小段,.04,都市：住
RPOOMLQKIINFFAA27CA,萬芳段三小段,.00,都市：住
RPPNMLOLIINFFAA17CA,福和段一小段,.37,都市：住
RPPNMLOLIINFFAA17CA,福和段一小段,.14,都市：住
RPPNMLOLIINFFAA17CA,福和段一小段,6.59,都市：住
RPPPMLOJIINFFBA27CA,華江段三小段,21.72,都市：其他
RPOOMLPJIINFFBA17CA,福星段二小段,14.71,都市：商
RPPOMLPJIINFFBA27CA,福星段二小段,11.84,都市：商
RPSOMLMKIINFFAA27CA,公訓段三小段,.32,都市：住
RPSOMLMKIINFFAA27CA,公訓段三小段,.04,都市：住
RPSOMLMKIINFFAA27CA,萬芳段三小段,.00,都市：住
RPRNMLOJIINFFBA27CA,臨沂段三小段,10.53,都市：住
RPXPMLNJIINFFBA97CA,大同段二小段,.17,都市：商
RPXPMLNJIINFFBA97CA,大同段二小段,19.30,都市：商
RPXPMLNJIINFFBA97CA,大同段二小段,13.71,都市：商
RPQOMLPJIINFFBA37CA,福星段二小段,6.81,都市：商
RPSPMLNJIINFFBA47CA,大龍段一小段,40.00,都市：住
RPSNMLOJIINFFAA27CA,南海段一小段,32.50,都市：住
RPSNMLOJIINFFAA27CA,南海段一小段,.25,都市：其他
RPPNMLPJIINFFAA07CA,南海段五小段,27.37,都市：住
RPPNMLPJIINFFAA07CA,南海段五小段,.29,都市：其他
RPROMLOJIINFFBA37CA,福星段二小段,2.81,都市：商
RPROMLOJIINFFBA37CA,福星段二小段,.52,都市：商
RPOPMLOJIINFFBA17CA,福星段二小段,8.76,都市：商
RPQNMLOJIINFFBA17CA,圓環段三小段,2.85,都市：商
RPSWMLMJIINFFBA08CA,直興段一小段,49.75,都市：住
RPPNMLQLIINFFBA47CA,青年段二小段,18.81,都市：住
RPTNMLTJIINFFAA87CA,木柵段二小段,27.50,都市：住
RPQNMLKKIINFFAA76CA,政大段四小段,17.33,都市：商
RPPOMLOJIINFFBA17CA,直興段一小段,.03,都市：其他
RPPOMLOJIINFFBA17CA,直興段一小段,.03,都市：其他
RPPOMLOJIINFFBA17CA,直興段一小段,5.24,都市：住
RPPOMLOJIINFFBA17CA,直興段一小段,.07,都市：其他
RPPOMLOJIINFFBA17CA,直興段一小段,5.27,都市：住
RPPOMLOJIINFFBA17CA,直興段一小段,3.30,都市：住
RPVPMLOJIINFFCA97CA,中山段四小段,7.91,都市：商
RPWNMLOJIINFFCA87CA,吉林段三小段,19.36,都市：商
RPPOMLTJIINFFAA57CA,景美段一小段,2.60,都市：商
RPPOMLTJIINFFAA57CA,景美段一小段,9.09,都市：商
RPSOMLTJIINFFAA87CA,萬芳段二小段,.70,都市：住
RPSOMLTJIINFFAA87CA,萬芳段二小段,50.01,都市：住
RPUNMLPKIINFFAA67CA,興安段二小段,28.12,都市：商
RPTOMLTJIINFFAA97CA,興安段二小段,.25,都市：其他
RPTOMLTJIINFFAA97CA,興安段二小段,38.75,都市：商
RPTNMLOJIINFFAA37CA,興安段一小段,13.72,都市：住
RPPPMLPLIINFFBA57CA,城中段一小段,6.57,都市：商
RPSNMLPJIINFFCA57CA,榮星段五小段,2.37,都市：住
RPVNMLLKIINFFBA47CA,大龍段一小段,1.32,都市：商
RPVNMLLKIINFFBA47CA,大龍段一小段,.39,都市：商
RPSOMLNJIINFFCA47CA,正義段三小段,15.83,都市：商
RPWOMLNJIINFFCA87CA,石潭段四小段,13.20,都市：住
RPWOMLNJIINFFCA87CA,石潭段四小段,.04,都市：商
RPWOMLNJIINFFCA87CA,石潭段四小段,9.85,都市：商
RPWOMLNJIINFFCA87CA,石潭段四小段,.54,都市：住
RPWOMLNJIINFFCA87CA,石潭段四小段,2.51,都市：商
RPSRMLPJIINFFCA97CA,長安段三小段,36.17,都市：住
RPORMLPJIINFFCA57CA,長安段三小段,36.17,都市：住
RPUOMLTJIINFFAA08CA,興泰段三小段,2.06,都市：住
RPUOMLTJIINFFAA08CA,興泰段三小段,14.01,都市：住
RPQPMLNJIINFFCA37CA,長安段二小段,15.90,都市：商
RPURMLPJIINFFCA18CA,長安段三小段,34.85,都市：住
RPQQMLNJIINFFCA47CA,東湖段七小段,20.19,都市：住
RPRRMLPJIINFFCA87CA,長安段三小段,23.86,都市：住
RPRRMLPJIINFFCA87CA,長安段三小段,11.93,都市：住
RPTRMLPJIINFFCA08CA,長安段三小段,34.85,都市：住
RPOQMLNJIINFFCA27CA,康寧段三小段,55.06,都市：住
RPVRMLSJIINFFCA58CA,長安段三小段,34.48,都市：住
RPWNMLSJIINFFCA28CA,碧湖段四小段,15.44,都市：其他
RPVNMLSJIINFFCA18CA,西湖段四小段,81.54,都市：其他
RPVNMLLKIINFFCA57CA,榮星段六小段,39.00,都市：住
RPURMLNLIINFFCA18CA,康寧段三小段,19.87,都市：其他
RPRNMLQKIINFFCA67CA,潭美段四小段,58.00,都市：住
RPVRMLPJIINFFCA28CA,長安段三小段,34.48,都市：住
RPWQMLLMIINFFCA18CA,康寧段三小段,.83,都市：其他
RPWOMLMLIINFFCA97CA,潭美段三小段,14.15,都市：工
RPXQMLLMIINFFCA28CA,康寧段三小段,.83,都市：其他
RPRPMLOLIINFFCA77CA,長安段三小段,35.25,都市：商
RPXNMLLKIINFFCA77CA,碧湖段三小段,26.87,都市：住
RPWOMLLJJINFFCA77CA,碧湖段三小段,41.52,都市：住
RPWOMLLJJINFFCA77CA,碧湖段三小段,2.35,都市：住
RPOPMLSJIINFFEA87CA,富安段三小段,417.94,都市：其他
RPRNMLKKIINFFDA17CA,福德段三小段,27.50,都市：住
RPVNMLOJIINFFDA87CA,南港段一小段,25.30,都市：住
RPXPMLSJIINFFEA78CA,三玉段四小段,26.83,都市：住
RPQOMLOJIINFFDA47CA,美仁段一小段,44.32,都市：住
RPSOMLOJIINFFDA67CA,美仁段二小段,10.91,都市：住
RPQQMLLKIINFFDA47CA,敦化段一小段,2.28,都市：商
RPQQMLLKIINFFDA47CA,敦化段一小段,13.43,都市：其他
RPRPMLLKIINFFDA47CA,西松段二小段,9.99,都市：其他
RPQPMLNJIINFFEA57CA,蘭雅段三小段,10.56,都市：住
RPPOMLRKIINFFDA77CA,敦化段四小段,11.05,都市：住
RPPPMLNJIINFFEA47CA,福林段二小段,56.89,都市：住
RPUPMLNJIINFFEA97CA,大業段一小段,13.88,都市：商
RPPOMLNJIINFFEA37CA,豐年段四小段,27.31,都市：其他
RPUOMLOJIINFFEA97CA,文林段三小段,34.33,都市：商
RPSOMLOJIINFFEA77CA,大業段三小段,13.45,都市：商
RPQNMLMKIINFFEA37CA,新民段二小段,21.63,都市：其他
RPQNMLMKIINFFEA37CA,新民段二小段,1.67,都市：其他
RPQNMLMKIINFFEA37CA,新民段二小段,.10,都市：住
RPQNMLMKIINFFEA37CA,開明段二小段,.09,都市：其他
RPQOMLNJIINFFEA47CA,豐年段四小段,27.31,都市：其他
RPUNMLNJIINFFFA87CA,仁愛段一小段,15.78,都市：其他
RPVNMLNJIINFFFA97CA,龍泉段一小段,10.25,都市：商
RPXOMLKMIINFFEA18CA,軟橋段,47.35,都市：其他
RPRQMLTLIINFFEA58CA,大業段一小段,31.06,都市：商
RPUOMLOJIINFFFA08CA,龍泉段三小段,.07,都市：住
RPUOMLOJIINFFFA08CA,龍泉段三小段,18.38,都市：商
RPUOMLOJIINFFFA08CA,龍泉段三小段,.17,都市：住
RPQNMLOJIINFFFA57CA,瑞安段二小段,19.41,都市：住
RPVOMLOJIINFFFA18CA,大安段三小段,19.13,都市：商
RPVOMLOJIINFFFA18CA,大安段三小段,10.59,都市：商
RPUNMLNLIINFFEA97CA,百齡段六小段,12.82,都市：住
RPUNMLKMIINFFFA87CA,辛亥段四小段,31.30,都市：住
RPWNMLLKIINFFFA97CA,通化段六小段,17.30,都市：住
RPWNMLLKIINFFFA97CA,通化段六小段,3.77,都市：住
RPSNMLOJIINFFBA47DA,莒光段四小段,51.00,都市：住
RPUNMLOJIINFFBA67DA,大同段一小段,.85,都市：住
RPQTMLPKIINFFBA08DA,青年段一小段,18.90,都市：住
RPSQMLOJIINFFCA87DA,東湖段六小段,32.32,都市：住
RPUPMLPJIINFFBA97DA,福星段四小段,3.52,都市：商
RPQNMLQJIINFFCA57DA,碧湖段二小段,30.08,都市：住
RPQNMLNKIINFFFA67DA,金華段四小段,23.50,都市：住
RPQNMLNKIINFFFA67DA,金華段四小段,1.42,都市：住
RPRPMLQKIINFFEA08CA,天玉段一小段,12.34,都市：住
RPRPMLQKIINFFEA08CA,天玉段一小段,165.38,都市：住
RPRPMLQKIINFFEA08CA,天玉段一小段,3.12,都市：住
