鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
南區,房地(土地+建物),臺中市南區學府路135巷2弄1~30號,11.6,住,,,1070812,土地4建物1車位0,五層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860925,113.03,3,2,2,有,有,4650000,41140,,0.0,0,,RPSOMLLJIINFFAB17CA
南區,房地(土地+建物),臺中市南區工學路139巷3弄1~30號,53.0,住,,,1070818,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0830226,132.77,6,2,6,有,無,8880000,66883,,0.0,0,,RPRNMLMJIINFFAB07CA
西區,房地(土地+建物),臺中市西區中美街601~630號,21.24,住,,,1070913,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721207,97.75,3,2,2,有,無,2000000,20460,,0.0,0,,RPRNMLOJIINFFAB27CA
西區,房地(土地+建物),臺中市西區中興街91~120號,111.0,住,,,1070823,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0570523,135.84,0,0,3,無,無,42000000,309187,,0.0,0,,RPSNMLOJIINFFAB37CA
東區,土地,東勢子段31~60地號,85.0,住,,,1070915,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,70588,,0.0,0,,RPOOMLOJIINFFAB07CA
東區,房地(土地+建物)+車位,臺中市東區公園東路151~180號,14.09,住,,,1070826,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1001130,138.21,2,2,1,有,有,8000000,57883,坡道平面,0.0,0,,RPPNMLNJIINFFAB96CA
南區,房地(土地+建物),臺中市南區工學一街151~180號,13.56,住,,,1070901,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,80.03,3,2,1,有,有,3880000,48482,,0.0,0,,RPQOMLNJIINFFAB17CA
南區,房地(土地+建物),臺中市南區忠明南路730巷31~60號,6.15,住,,,1070831,土地1建物1車位0,八層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0811120,53.410000000000004,1,1,1,有,有,2030000,38015,,0.0,0,,RPPNMLPJIINFFAB17CA
南區,房地(土地+建物),臺中市南區東興路一段1~30號,5.84,住,,,1070822,土地1建物1車位0,十三層,三十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951026,127.18,3,3,3,有,有,5550000,43639,,0.0,0,,RPQNMLTJIINFFAB67CA
