編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLPJIINFFAB17CA,26,44.12,住家用,鋼筋混凝土造,81年11月20日,十四層,八層
RPPNMLPJIINFFAB17CA,26,6.27,見其他登記事項,鋼筋混凝土造,81年11月20日,十四層,
RPPNMLPJIINFFAB17CA,26,3.02,共有部份,鋼筋混凝土造,81年11月20日,十四層,
RPSNMLOJIINFFAB37CA,50,135.84,住家用,加強磚造,57年5月23日,二層,一層 二層 騎樓
RPRNMLOJIINFFAB27CA,35,90.73,住家用,鋼筋混凝土造,72年12月7日,五層,二層
RPRNMLOJIINFFAB27CA,35,7.02,共有部份,鋼筋混凝土造,72年12月7日,五層,
RPQOMLNJIINFFAB17CA,20,62.81,住家用,鋼筋混凝土造,87年9月30日,十二層,六層
RPQOMLNJIINFFAB17CA,20,17.22,共有部份,鋼筋混凝土造,87年9月30日,十三層,
RPRNMLMJIINFFAB07CA,24,132.77,住家用,鋼筋混凝土造,83年2月26日,四層,一層 二層 三層 四層
RPVNMLOKIINFFAB77CA,22,69.47,住家用,鋼筋混凝土造,85年12月11日,二十四層,十六層
RPVNMLOKIINFFAB77CA,22,17.61,見其他登記事項,鋼筋混凝土造,85年12月11日,二十四層,
RPVNMLOKIINFFAB77CA,22,11.96,共有部份,鋼筋混凝土造,85年12月11日,二十四層,
RPQNMLTJIINFFAB67CA,12,79.47,見其他登記事項,鋼筋混凝土造,95年10月26日,三十二層,十三層
RPQNMLTJIINFFAB67CA,12,.08,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPQNMLTJIINFFAB67CA,12,.00,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPQNMLTJIINFFAB67CA,12,.90,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPQNMLTJIINFFAB67CA,12,33.30,見其他登記事項,鋼筋混凝土造,95年10月26日,三十二層,
RPQNMLTJIINFFAB67CA,12,13.43,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPRNMLPJIINFFBB47CA,1,59.36,見其他登記事項,鋼筋混凝土造,106年12月18日,十二層,三層
RPRNMLPJIINFFBB47CA,1,75.87,見其他登記事項,鋼筋混凝土造,106年12月18日,十二層,
RPPNMLNJIINFFAB96CA,7,74.85,見其他登記事項,鋼筋混凝土造,100年11月30日,十五層,十五層
RPPNMLNJIINFFAB96CA,7,15.17,見其他登記事項,鋼筋混凝土造,100年11月30日,十五層,
RPPNMLNJIINFFAB96CA,7,17.99,見其他登記事項,鋼筋混凝土造,100年11月30日,十五層,
RPPNMLNJIINFFAB96CA,7,.13,見其他登記事項,鋼筋混凝土造,100年11月30日,十五層,
RPPNMLNJIINFFAB96CA,7,30.07,見其他登記事項,鋼筋混凝土造,100年11月30日,十五層,
RPSOMLLJIINFFAB17CA,22,1.26,見其他登記事項,鋼筋混凝土造,85年10月5日,十八層,
RPSOMLLJIINFFAB17CA,21,78.05,住家用,鋼筋混凝土造,86年9月25日,十八層,五層
RPSOMLLJIINFFAB17CA,21,12.57,共有部份,鋼筋混凝土造,86年9月25日,十八層,
RPSOMLLJIINFFAB17CA,21,21.15,見其他登記事項,鋼筋混凝土造,86年9月25日,十八層,
RPQNMLMJIINFFBB07CA,26,53.61,共有部份,鋼骨鋼筋混凝土造,81年12月22日,二十六層,
RPQNMLMJIINFFBB07CA,26,296.15,住家用,鋼骨鋼筋混凝土造,81年12月22日,二十六層,二十二層 二十三層
RPQNMLMJIINFFBB07CA,26,103.49,見其他登記事項,鋼骨鋼筋混凝土造,81年12月22日,二十六層,
RPQOMLQLIINFFAB67CA,22,27.61,見其他登記事項,鋼筋混凝土造,85年12月11日,二十四層,地下二層 地下三層
RPQOMLQLIINFFAB67CA,22,3.03,見其他登記事項,鋼筋混凝土造,85年12月11日,二十四層,
RPWOMLTLIINFFAB58CA,12,60.89,見其他登記事項,鋼筋混凝土造,95年8月1日,十五層,十層
RPWOMLTLIINFFAB58CA,12,28.87,見其他登記事項,鋼筋混凝土造,95年8月1日,十五層,
RPTNMLKKIINFFBB27CA,33,77.32,住家用,鋼筋混凝土造,75年2月4日,五層,五層
RPTPMLNLIINFFAB77CA,22,65.98,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,十六層 十七層 十八層
RPTPMLNLIINFFAB77CA,22,4.78,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPTPMLNLIINFFAB77CA,22,4.30,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPTPMLNLIINFFAB77CA,22,2.91,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPTPMLNLIINFFAB77CA,22,10.80,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPSNMLMLIINFFAB37CA,3,326.97,見其他登記事項,鋼筋混凝土造,105年2月3日,三層,一層 二層 三層 見其他登記事項
RPTNMLLKIINFFBB37CA,12,247.73,見其他登記事項,鋼筋混凝土造,95年3月23日,五層,一層 二層 三層 四層 五層 騎樓
RPTNMLLKIINFFBB37CA,12,1.64,共有部份,鋼筋混凝土造,95年3月23日,五層,
RPUNMLKKIINFFBB37CA,11,212.43,見其他登記事項,鋼筋混凝土造,96年3月21日,四層,一層 二層 三層 四層 屋頂突出物
RPPPMLMKIINFFBB27CA,4,495.17,見其他登記事項,鋼筋混凝土造,103年8月18日,四層,一層 二層 三層 四層 地下一層
RPOOMLTJIINFFBB67CA,35,47.83,住家用,鋼筋混凝土造,72年10月5日,五層,三層
RPOOMLTJIINFFBB67CA,35,8.90,共有部份,鋼筋混凝土造,72年10月5日,五層,
RPVNMLTJIINFFBB28CA,36,120.39,住家用,鋼筋混凝土造,71年12月29日,五層,二層
RPSNMLSJIINFFBB87CA,31,77.98,住家用,鋼筋混凝土造,76年7月27日,五層,四層
RPSNMLSJIINFFBB87CA,31,6.09,共有部份,鋼筋混凝土造,76年7月27日,五層,
RPQPMLMKIINFFBB37CA,4,503.04,見其他登記事項,鋼筋混凝土造,103年8月18日,四層,一層 二層 三層 四層 地下一層
RPUOMLSJIINFFBB18CA,45,82.32,住家用,鋼筋混凝土加強磚造,62年6月1日,二層,一層 二層
RPUNMLPKIINFFBB87CA,6,95.95,住家用,鋼筋混凝土造,101年2月13日,十五層,十層
RPUNMLPKIINFFBB87CA,6,50.76,見其他登記事項,鋼筋混凝土造,101年2月13日,十五層,
RPUNMLPKIINFFBB87CA,6,22.07,見其他登記事項,鋼筋混凝土造,101年2月13日,十五層,
RPSNMLKMIINFFBB37CA,1,66.41,見其他登記事項,鋼筋混凝土造,106年12月18日,十二層,六層
