編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPRNMLPJIINFFBB47CA,坡道平面,0,
RPPNMLNJIINFFAB96CA,坡道平面,0,
RPQNMLMJIINFFBB07CA,坡道平面,0,
RPQNMLMJIINFFBB07CA,坡道平面,0,
RPQNMLMJIINFFBB07CA,坡道平面,0,
RPQOMLQLIINFFAB67CA,升降機械,0,15.32
RPQOMLQLIINFFAB67CA,升降機械,0,15.32
RPSNMLMLIINFFAB37CA,一樓平面,0,
RPSNMLMLIINFFAB37CA,一樓平面,0,
RPUNMLPKIINFFBB87CA,坡道平面,1300000,28.99
RPSNMLKMIINFFBB37CA,坡道平面,0,42.96
RPUNMLSKIINFFBB18CA,坡道機械,0,13.62
RPQPMLMJIINFFBB27CA,坡道平面,0,
RPXOMLRKIINFFBB48CA,升降平面,1000000,16.75
RPSRMLMJIINFFCB77CA,坡道平面,0,22.28
RPQPMLLJIINFFCB27CA,坡道平面,0,23.50
RPPSMLMJIINFFCB57CA,坡道平面,0,33.18
RPPSMLMJIINFFCB57CA,坡道平面,0,33.18
RPSSMLMJIINFFCB87CA,坡道機械,0,16.58
RPSSMLMJIINFFCB87CA,坡道機械,0,16.58
RPUQMLNJIINFFCB97CA,坡道平面,1550000,15.89
RPQPMLOJIINFFCB57CA,坡道平面,1750000,30.98
RPQPMLOJIINFFCB57CA,坡道機械,800000,11.79
RPVOMLTJIINFFCB48CA,坡道平面,0,27.73
RPQSMLNLIINFFCB97CA,坡道平面,0,31.14
RPQSMLNLIINFFCB97CA,坡道平面,0,31.14
RPQSMLNLIINFFCB97CA,坡道平面,0,31.14
RPQSMLNLIINFFCB97CA,坡道平面,0,31.14
RPXNMLSJIINFFDB58CA,坡道機械,0,
RPWNMLMJIINFFEB97CA,坡道機械,0,
RPPNMLOJIINFFFB57CA,其他,900000,26.34
RPQOMLSJIINFFFB18CA,坡道平面,0,
RPQOMLSJIINFFFB18CA,坡道平面,0,
RPRNMLNLIINFFFB87CA,坡道平面,0,
RPRNMLNLIINFFFB87CA,坡道平面,0,
RPQNMLQJIINFFHB08CA,坡道平面,1300000,40.02
RPSNMLQJIINFFHB28CA,坡道平面,1300000,40.02
RPTNMLLJIINFFHB87CA,坡道平面,0,
RPTNMLQJIINFFHB38CA,坡道平面,1350000,41.28
RPUNMLQJIINFFHB48CA,坡道平面,0,38.95
RPUNMLQJIINFFHB48CA,坡道平面,0,40.02
RPVOMLLKIINFFIB38CA,坡道平面,0,29.53
RPQNMLTJIINFFJB58CA,坡道平面,800000,
RPQNMLMJIINFFJB87CA,坡道平面,1000000,26.46
RPVNMLPJIINFFKB78CA,坡道機械,0,
RPQNMLLKIINFFKB97CA,坡道平面,0,32.18
RPXPMLPLIINFFBB58DA,坡道平面,1250000,36.86
RPXPMLPLIINFFBB58DA,坡道平面,1350000,36.86
RPRPMLPLIINFFBB97DA,坡道平面,1250000,36.86
RPRPMLPLIINFFBB97DA,坡道平面,1450000,36.86
RPWPMLPLIINFFBB48DA,坡道平面,1250000,36.86
RPWPMLPLIINFFBB48DA,坡道平面,1350000,36.86
RPTPMLPLIINFFBB18DA,坡道平面,1350000,36.86
RPTPMLPLIINFFBB18DA,坡道平面,1350000,36.86
RPROMLNJIINFFAB37DA,坡道平面,0,
RPSPMLPLIINFFBB08DA,坡道平面,1250000,36.86
RPSPMLPLIINFFBB08DA,坡道平面,1450000,36.86
RPQQMLPLIINFFBB97DA,坡道平面,1450000,36.86
RPOQMLPLIINFFBB77DA,坡道平面,1250000,36.86
RPOQMLPLIINFFBB77DA,坡道平面,1450000,36.86
RPUPMLPLIINFFBB28DA,坡道平面,1550000,36.86
RPUPMLPLIINFFBB28DA,坡道平面,1350000,36.86
RPRQMLPKIINFFJB68CA,坡道平面,0,
RPSQMLPLIINFFBB18DA,坡道平面,1250000,36.86
RPSQMLPLIINFFBB18DA,坡道平面,1450000,36.86
RPRQMLPLIINFFBB08DA,坡道平面,1450000,36.86
RPSNMLQKIINFFJB58CA,一樓平面,0,
RPTNMLOJIINFFJB38CA,坡道平面,1300000,31.10
RPUNMLLKIINFFJB28CA,坡道平面,0,
RPRNMLNJIINFFJB08CA,坡道機械,0,
RPVOMLQKIINFFJB98CA,坡道平面,0,
RPPOMLPJIINFFIB08CA,坡道平面,0,37.88
RPRNMLQJIINFFHB18CA,坡道平面,1300000,40.02
RPVNMLQJIINFFHB58CA,坡道平面,1250000,40.02
RPWNMLQJIINFFHB68CA,坡道平面,1350000,40.02
RPXNMLQJIINFFHB78CA,坡道平面,1250000,40.02
RPVNMLOJIINFFIB48CA,坡道平面,0,27.22
RPVNMLOJIINFFIB48CA,坡道平面,0,27.22
RPXOMLMLIINFFFB48CA,坡道平面,0,23.81
RPWNMLQKIINFFFB58CA,坡道機械,0,
RPUQMLTLIINFFCB78CA,坡道平面,0,26.52
RPUQMLTLIINFFCB78CA,坡道平面,0,26.52
RPTOMLOLIINFFCB97CA,坡道平面,1550000,29.75
RPTOMLOLIINFFCB97CA,坡道平面,1550000,29.75
RPOQMLTLIINFFCB18CA,坡道平面,0,
RPXQMLNJIINFFCB28CA,坡道機械,0,7.67
RPOOMLPKIINFFCB47CA,坡道平面,0,21.35
RPTNMLPJIINFFCB77CA,坡道平面,0,
RPTNMLPJIINFFCB77CA,坡道機械,0,
RPTNMLPJIINFFCB77CA,坡道機械,0,
RPUOMLNJIINFFCB77CA,坡道平面,0,23.11
RPUOMLNJIINFFCB77CA,坡道平面,0,23.11
RPWNMLNJIINFFCB87CA,坡道機械,1000000,18.57
RPROMLPKIINFFCB77CA,坡道平面,0,15.01
RPROMLPKIINFFCB77CA,坡道平面,0,15.01
RPWOMLMKIINFFCB97CA,坡道平面,0,
RPWOMLMKIINFFCB97CA,坡道平面,0,
RPWOMLMKIINFFCB97CA,坡道平面,0,
RPPSMLMKIINFFCB67CA,坡道平面,0,20.10
RPPSMLMKIINFFCB67CA,坡道平面,0,20.10
RPWQMLMJIINFFCB08CA,坡道平面,0,12.43
RPWQMLMJIINFFCB08CA,坡道平面,0,15.00
RPUNMLTLIINFFBB38CA,坡道平面,1250000,29.88
RPTNMLTLIINFFBB28CA,坡道平面,1250000,29.88
RPXOMLSKIINFFBB58CA,坡道平面,1225000,28.42
RPXOMLSKIINFFBB58CA,坡道平面,1225000,28.42
RPQOMLKKIINFFBB07CA,坡道平面,1300000,28.01
RPWNMLMKIINFFBB77CA,坡道機械,0,
