鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
信義區,房地(土地+建物),基隆市信義區義七路10巷1~30號,22.5,商,,,1070729,土地2建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0650804,58.49,3,2,1,有,無,3650000,62404,,0.0,0,含增建或未登記建物。;,RPXNMLLJIINFFBC77CA
信義區,房地(土地+建物)+車位,基隆市信義區深溪路36巷61~90號,26.34,住,,,1070828,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860718,146.47,4,2,2,有,有,4850000,33113,坡道平面,0.0,0,,RPQOMLLJIINFFBC17CA
中正區,房地(土地+建物)+車位,基隆市中正區新豐街451~480號,25.14,其他,,,1070902,土地5建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861121,157.12,3,2,2,有,有,6080000,38697,坡道平面,34.17,0,,RPRQMLMJIINFFBC57CA
中正區,房地(土地+建物),基隆市中正區調和街266巷1~30號,193.98,商,,,1070830,土地4建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1041116,576.7399999999999,10,2,8,有,有,35000000,60686,,0.0,0,,RPRNMLNJIINFFBC37CA
中正區,房地(土地+建物)+車位,基隆市中正區新豐街301~330號,20.37,住,,,1070802,土地2建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,153.75,3,2,2,有,有,5200000,33821,坡道平面,36.84,0,,RPTNMLSJIINFFBC08CA
中正區,房地(土地+建物)+車位,基隆市中正區觀海街91~120號,22.66,住,,,1070915,土地1建物1車位1,一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,146.61,3,2,2,有,有,4780000,32604,坡道平面,0.0,0,,RPVNMLTJIINFFBC38CA
信義區,房地(土地+建物),基隆市信義區培德路181~210號,15.0,住,,,1070822,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0690418,62.48,1,1,1,有,無,3200000,51216,,0.0,0,,RPSNMLLKIINFFBC37CA
中正區,房地(土地+建物),基隆市中正區正濱路31~60號,76.0,住,,,1070825,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0961126,208.49,6,1,6,有,無,12900000,61873,,0.0,0,,RPTNMLLLIINFFBC57CA
安樂區,房地(土地+建物),基隆市安樂區安和一街2巷1~30號,25.15,商,,,1070826,土地1建物1車位0,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0690501,106.14,4,2,2,有,有,6300000,59356,,0.0,0,,RPTNMLNJIINFFCC67CA
