編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLLKIINFFBC37CA,38,62.48,商業用,鋼筋混凝土造,69年4月18日,五層,一層 騎樓
RPQOMLLJIINFFBC17CA,21,111.99,住家用,鋼筋混凝土造,86年7月18日,七層,六層
RPQOMLLJIINFFBC17CA,21,34.48,共用部份,鋼筋混凝土造,86年7月18日,七層,
RPTNMLLLIINFFBC57CA,11,208.49,見其他登記事項,鋼筋混凝土造,96年11月26日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPVNMLTJIINFFBC38CA,20,91.37,住家用,鋼筋混凝土造,88年1月14日,十六層,一層
RPVNMLTJIINFFBC38CA,20,13.26,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLTJIINFFBC38CA,20,3.67,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLTJIINFFBC38CA,20,2.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLTJIINFFBC38CA,20,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLTJIINFFBC38CA,20,34.99,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVNMLNJIINFFCC87CA,23,73.84,住家用,鋼筋混凝土造,85年2月17日,十層,三層
RPVNMLNJIINFFCC87CA,23,8.73,共用部份,鋼筋混凝土造,85年2月17日,十層,
RPVNMLNJIINFFCC87CA,23,16.06,共用部份,鋼筋混凝土造,85年2月17日,十層,
RPRNMLTJIINFFCC08CA,23,3.29,住家用,鋼筋混凝土造,84年11月8日,一層,一層
RPRNMLTJIINFFCC08CA,23,19.57,共用部份,鋼筋混凝土造,84年11月8日,三層,
RPRNMLTJIINFFCC08CA,23,159.89,住家用,鋼筋混凝土造,84年11月8日,二層,一層 二層
RPPOMLLKIINFFCC27CA,21,69.21,住家用,鋼筋混凝土造,86年5月8日,十一層,四層
RPPOMLLKIINFFCC27CA,21,1.52,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPPOMLLKIINFFCC27CA,21,12.61,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPPOMLLKIINFFCC27CA,21,.77,共用部份,鋼筋混凝土造,86年5月8日,十一層,
RPSOMLSJIINFFCC18CA,3,151.93,見其他登記事項,鋼筋混凝土造,105年1月24日,十八層,十七層
RPSOMLSJIINFFCC18CA,3,.03,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPXNMLLJIINFFBC77CA,42,58.49,住家用,鋼筋混凝土加強磚造,65年8月4日,四層,三層
RPSOMLSJIINFFCC18CA,3,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPSOMLSJIINFFCC18CA,3,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLNJIINFFCC77CA,22,22.30,住家用,鋼筋混凝土造,86年1月17日,二十層,九層
RPSOMLSJIINFFCC18CA,3,1.46,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUNMLNJIINFFCC77CA,22,5.80,共用部份,鋼筋混凝土造,86年1月17日,二十層,
RPSOMLSJIINFFCC18CA,3,93.81,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLNJIINFFCC77CA,22,.42,共用部份,鋼筋混凝土造,86年1月17日,二十層,
RPTNMLNJIINFFCC67CA,38,106.14,住家用,鋼筋混凝土造,69年5月1日,八層,四層
RPUNMLNJIINFFBC77DA,20,92.47,住家用,鋼筋混凝土造,88年1月14日,十五層,六層
RPUNMLNJIINFFBC77DA,20,13.49,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPUNMLNJIINFFBC77DA,20,5.18,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPUNMLNJIINFFBC77DA,20,36.53,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPUNMLNJIINFFBC77DA,20,2.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPUNMLNJIINFFBC77DA,20,1.06,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPRNMLRKIINFFBC97DA,23,89.98,住家用,鋼筋混凝土造,84年8月31日,四層,一層
RPRNMLRKIINFFBC97DA,23,2.80,共用部份,鋼筋混凝土造,84年8月31日,四層,
RPRNMLRKIINFFBC97DA,23,17.30,共用部份,鋼筋混凝土造,84年8月31日,四層,
RPRNMLRKIINFFBC97DA,23,.00,共用部份,鋼筋混凝土造,84年8月31日,四層,
RPSNMLMKIINFFBC57DA,21,48.79,住家用,鋼筋混凝土造,86年11月21日,十九層,一層
