編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPQOMLLJIINFFBC17CA,坡道平面,0,
RPVNMLTJIINFFBC38CA,坡道平面,0,
RPSOMLSJIINFFCC18CA,坡道平面,0,15.87
RPSOMLSJIINFFCC18CA,坡道平面,0,15.87
RPUNMLNJIINFFBC77DA,坡道平面,600000,
RPTNMLTKIINFFCC58EA,坡道平面,0,27.47
RPUNMLOLIINFFCC08CA,升降機械,0,
RPRQMLMJIINFFBC57CA,坡道平面,0,34.17
RPTNMLSJIINFFBC08CA,坡道平面,0,36.84
RPTNMLNJIINFFBC57CA,坡道平面,0,
RPUNMLSKIINFFBC28CA,坡道平面,0,19.95
RPRNMLPKIINFFBC67CA,坡道平面,0,38.04
RPRNMLPKIINFFBC67CA,坡道平面,0,38.04
RPOOMLQLIINFFCC77CA,坡道平面,0,29.76
RPXNMLPKIINFFCC38CA,坡道平面,0,30.47
RPWNMLLKIINFFBC77CA,坡道平面,0,24.17
RPRNMLMKIINFFCC47CA,坡道機械,700000,17.02
RPRNMLMKIINFFCC47CA,坡道機械,700000,17.02
RPQNMLPJIINFFBC47CA,坡道平面,384000,36.84
RPSNMLTKIINFFBC18CA,坡道平面,0,
RPXOMLPKIINFFBC38CA,坡道平面,1200000,35.96
RPUOMLPKIINFFBC08CA,坡道平面,1000000,35.96
RPUQMLPKIINFFBC28CA,坡道平面,1050000,35.96
RPVOMLPKIINFFBC18CA,坡道平面,1050000,35.96
RPTOMLPKIINFFBC97CA,坡道平面,1050000,35.96
RPPNMLPKIINFFCC57CA,坡道平面,0,36.95
RPOPMLPKIINFFBC57CA,坡道平面,1200000,35.96
RPWOMLPKIINFFBC28CA,坡道平面,1200000,35.96
RPPPMLPKIINFFBC67CA,坡道平面,1200000,35.96
RPTNMLQKIINFFCC08CA,坡道平面,0,
RPRNMLPKIINFFCC77CA,坡道平面,0,
RPUNMLPKIINFFBC97CA,坡道平面,0,
RPTNMLNLIINFFBC77CA,坡道平面,0,
RPWNMLPLIINFFBC28CA,坡道平面,0,
RPWNMLPLIINFFCC38CA,坡道平面,1250000,36.30
RPVNMLLLIINFFCC87CA,坡道機械,0,
