鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
安平區,房地(土地+建物),臺南市安平區永華八街1~30號,6.99,商,,,1070905,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0960719,73.33,2,2,1,有,有,3600000,49093,,0.0,0,,RPPQMLMJIINFFAD37CA
中西區,房地(土地+建物),臺南市中西區金華路三段241~270號,9.48,商,,,1070831,土地2建物1車位0,十七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870219,105.89,3,2,2,有,有,3900000,36831,,0.0,0,,RPRQMLMJIINFFAD57CA
安平區,土地,漁港段781~810地號,269.76,住,,,1070901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9000000,33363,,0.0,0,未保存建物價值以房屋現值為之,RPQNMLNJIINFFAD27CA
北區,土地,文元段781~810地號,19.24,商,,,1070906,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,530000,27547,,0.0,0,,RPWOMLNJIINFFAD97CA
安平區,房地(土地+建物)+車位,臺南市安平區建平十七街151~180號,10.27,商,,,1070902,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821213,127.81,2,1,2,有,有,3300000,25820,升降平面,0.0,0,,RPUPMLOJIINFFAD97CA
安平區,房地(土地+建物)+車位,臺南市安平區建平八街450巷1~30號,17.38,住,,,1070827,土地2建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830330,126.47,3,2,2,有,有,4300000,34000,坡道平面,0.0,0,,RPTNMLSJIINFFAD08CA
安平區,土地,海興段1~30地號,300.0,商,,,1070910,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,19500000,65000,,0.0,0,,RPUNMLSJIINFFAD18CA
中西區,土地,臨安段1~30地號,41.83,其他,,,1070917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900755,21534,,0.0,0,,RPTOMLTJIINFFAD28CA
北區,土地,立人段1501~1530地號,24.29,其他,,,1070913,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,414856,17079,,0.0,0,,RPUOMLTJIINFFAD38CA
北區,土地,華興段361~390地號,357.0,其他,,,1070905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1882547,5273,,0.0,0,,RPRNMLLKIINFFAD27CA
安平區,房地(土地+建物),臺南市安平區健康三街121~150號,19.69,住,,,1070820,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,0950822,153.43,4,2,2,有,有,6000000,39106,,0.0,0,二親等買賣,RPWNMLLKIINFFAD77CA
安平區,土地,金城段61~90地號,157.0,住,,,1070808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10450000,66561,,0.0,0,,RPRNMLMLIINFFAD47CA
北區,建物,臺南市北區大武街391~420號,0.0,,,,1070917,土地0建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,0740704,94.12,3,2,2,有,無,2200000,23374,,0.0,0,土地所有權人為仁愛之家,RPQPMLMLIINFFAD57CA
北區,房地(土地+建物)+車位,臺南市北區臨安路二段241~270號,17.0,住,,,1070912,土地1建物1車位1,二十二層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890406,195.6,4,2,2,有,有,9400000,48057,坡道平面,39.31,0,,RPVPMLMLIINFFAD08CA
北區,房地(土地+建物)+車位,臺南市北區海安路三段841~870號,24.25,住,,,1070827,土地1建物1車位1,二十二層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070409,256.29999999999995,4,2,2,有,有,18650000,78525,坡道平面,35.35,1300000,,RPQNMLOLIINFFAD57CA
安平區,房地(土地+建物)+車位,臺南市安平區建平九街60巷31~60號,18.54,住,,,1070827,土地1建物1車位1,三層，走廊,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820107,130.66,2,2,2,有,有,4700000,35971,坡道平面,0.0,0,,RPRNMLNLIINFFAD57CA
中西區,房地(土地+建物)+車位,臺南市中西區民權路三段331~360號,26.3,住,,,1070825,土地2建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810130,143.59,3,2,2,有,有,4800000,33429,坡道平面,0.0,0,,RPTPMLOLIINFFAD08CA
中西區,房地(土地+建物),臺南市中西區忠義路二段151~180號,226.29,商,,,1070906,土地3建物1車位0,全,七層,透天厝,見其他登記事項,鋼筋混凝土造,0730420,1559.65,48,1,49,有,無,46670000,29923,,0.0,0,,RPTOMLPLIINFFAD08CA
安平區,房地(土地+建物),臺南市安平區?忠街1~30號,99.17,住,,,1070806,土地1建物2車位0,全,二層,透天厝,住家用,加強磚造,0601116,154.44,4,2,2,有,無,5110000,33087,,0.0,0,,RPTQMLQLIINFFAD38CA
安南區,土地,怡北段691~720地號,21.67,其他,,,1070921,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,250000,11537,,0.0,0,,RPTNMLLJIINFFBD47CA
安南區,土地,學東段451~480地號,731.67,農,,,1070820,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,4100,,0.0,0,,RPRNMLMJIINFFBD37CA
安南區,土地,安東段271~300地號,139.67,其他,,,1070920,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,684445,4900,,0.0,0,,RPXNMLTJIINFFBD68CA
安南區,房地(土地+建物),臺南市安南區安中路四段197巷49弄1~30號,71.35,住,,,1070804,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,1070604,150.48,4,2,4,有,無,7850000,52166,,0.0,0,,RPQNMLMKIINFFBD37CA
安南區,房地(土地+建物),臺南市安南區國安街210巷91~120號,123.79,住,,,1070912,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0701230,107.27,4,3,3,有,無,6500000,60595,,0.0,0,一樓為增建,RPSOMLMKIINFFBD67CA
安南區,房地(土地+建物),臺南市安南區安中路四段197巷49弄1~30號,93.34,住,,,1060815,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,1070604,183.21,4,2,4,有,無,9500000,51853,,0.0,0,,RPUNMLNKIINFFBD87CA
安南區,房地(土地+建物),臺南市安南區北安路三段396巷50弄1~30號,79.75,住,,,1070827,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土構造,0900704,176.28,3,2,4,有,無,6000000,34037,,0.0,0,,RPXNMLQLIINFFBD58CA
南區,房地(土地+建物),臺南市南區省躬一街1~30號,105.0,住,,,1070921,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土構造,0840210,178.08,5,4,4,有,無,8000000,44924,,0.0,0,,RPOOMLMJIINFFCD27CA
東區,房地(土地+建物),臺南市東區衛國街114巷9弄1~30號,7.26,住,,,1070917,土地2建物1車位0,五層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土構造,0790921,37.77,1,0,1,有,無,1150000,30447,,0.0,0,,RPPOMLMJIINFFCD37CA
東區,房地(土地+建物),臺南市東區中華東路二段7巷13弄1~30號,110.83,住,,,1070818,土地3建物1車位0,全,二層,透天厝,住家用,加強磚造,0630720,158.87,5,2,2,有,無,8000000,50356,,0.0,0,,RPOPMLMJIINFFCD37CA
東區,房地(土地+建物),臺南市東區東門路二段365巷33弄1~30號,22.08,住,,,1070816,土地3建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0830603,110.0,3,1,2,有,無,3830000,34818,,0.0,0,,RPXPMLMJIINFFCD28CA
東區,房地(土地+建物),臺南市東區中華東路二段133巷39弄1~30號,32.48,住,,,1070911,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0700121,109.41,3,2,2,有,無,3350000,30619,,0.0,0,,RPRNMLNJIINFFCD57CA
東區,車位,臺南市東區仁和路31~60號,0.6,住,,,1070827,土地0建物0車位1,,,其他,,,,24.43,0,0,0,有,有,1350000,,坡道平面,24.43,1350000,,RPXOMLNJIINFFCD28CA
南區,土地,新興段211~240地號,19.5,住,,,1070925,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1400000,71795,,0.0,0,,RPXOMLOJIINFFCD38CA
東區,房地(土地+建物)+車位,臺南市東區長榮路一段1~30號,19.48,住,,,1070902,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0991213,182.54000000000002,3,2,2,有,有,9200000,50400,坡道平面,0.0,0,,RPXPMLSJIINFFCD88CA
南區,土地,正義段781~810地號,50.97,其他,,,1070905,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,362383,7110,,0.0,0,,RPPNMLLKIINFFCD27CA
東區,土地,東安段151~180地號,59.61,其他,,,1070919,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2485787,41701,,0.0,0,公共設施保留地之交易。,RPXNMLNKIINFFCD28CA
東區,土地,竹篙厝段1711~1740地號,1381.0,住,,,1070913,土地16建物0車位0,,,其他,,,,0.0,0,0,0,有,無,171278000,124025,,0.0,0,,RPPPMLNLIINFFCD77CA
鹽水區,房地(土地+建物),臺南市鹽水區南太路69巷1~30號,56.0,住,,,1070918,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0670216,85.05,2,2,2,有,無,600000,7055,,0.0,0,,RPXNMLLJIINFFDD08CA
鹽水區,土地,義稠段391~420地號,213.39,農,,,1070926,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2259250,10587,,0.0,0,,RPSOMLLJIINFFDD67CA
鹽水區,房地(土地+建物),臺南市鹽水區岸內里17鄰北門路1巷4弄1~30號,85.94,住,,,1070925,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,116.56,3,1,2,有,無,1750000,15014,,0.0,0,,RPUNMLMJIINFFDD87CA
新營區,房地(土地+建物)+車位,臺南市新營區新進路二段481~510號,16.49,住,,,1070911,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0831227,139.74,3,2,2,有,有,3300000,23615,坡道機械,0.0,0,,RPPOMLMJIINFFDD47CA
新營區,土地,王公廟段31~60地號,2860.0,工,,,1070718,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,38500000,13462,,0.0,0,,RPRNMLNJIINFFDD67CA
新營區,房地(土地+建物)+車位,臺南市新營區金華路二段151~180號,29.77,住,,,1070901,土地2建物1車位1,一層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土構造,1070725,132.37,2,1,2,有,有,5350000,40977,升降機械,11.57,400000,,RPVNMLNJIINFFDD08CA
