編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLNJIINFFAD27CA,漁港段,269.76,都市：住
RPTOMLTJIINFFAD28CA,臨安段,41.83,都市：其他
RPUOMLTJIINFFAD38CA,臨安段,13.94,都市：其他
RPUOMLTJIINFFAD38CA,立人段,10.34,都市：其他
RPPQMLMJIINFFAD37CA,金華段,6.99,都市：商
RPRQMLMJIINFFAD57CA,康樂段,7.37,都市：商
RPRQMLMJIINFFAD57CA,康樂段,2.11,都市：商
RPRNMLLKIINFFAD27CA,華興段,357.00,都市：其他
RPWOMLNJIINFFAD97CA,文元段,13.22,都市：商
RPWOMLNJIINFFAD97CA,文元段,6.02,都市：其他
RPUNMLSJIINFFAD18CA,海興段,150.00,都市：商
RPUNMLSJIINFFAD18CA,海興段,150.00,都市：商
RPWNMLLKIINFFAD77CA,金華段,19.69,都市：住
RPTNMLSJIINFFAD08CA,金華段,4.51,都市：住
RPTNMLSJIINFFAD08CA,金華段,12.87,都市：住
RPRNMLMLIINFFAD47CA,金城段,157.00,都市：住
RPQNMLOLIINFFAD57CA,北元段,24.25,都市：住
RPTNMLLJIINFFBD47CA,怡北段,21.67,都市：其他
RPVPMLMLIINFFAD08CA,立人段,17.00,都市：住
RPUPMLOJIINFFAD97CA,金華段,10.27,都市：商
RPRNMLMJIINFFBD37CA,學東段,182.10,都市：其他
RPRNMLMJIINFFBD37CA,學東段,397.22,都市：農
RPRNMLMJIINFFBD37CA,學東段,104.50,都市：其他
RPRNMLMJIINFFBD37CA,學東段,47.84,都市：農
RPXNMLTJIINFFBD68CA,朝皇段,6.67,都市：其他
RPXNMLTJIINFFBD68CA,安東段,133.00,都市：其他
RPTOMLPLIINFFAD08CA,觀音段,37.27,都市：商
RPTOMLPLIINFFAD08CA,觀音段,117.78,都市：商
RPTOMLPLIINFFAD08CA,觀音段,71.23,都市：商
RPUNMLNKIINFFBD87CA,淵南段,19.60,都市：住
RPUNMLNKIINFFBD87CA,淵南段,73.74,都市：住
RPXNMLQLIINFFBD58CA,怡北段,18.82,都市：住
RPXNMLQLIINFFBD58CA,怡北段,60.93,都市：住
RPOOMLMJIINFFCD27CA,省躬段,52.50,都市：住
RPOOMLMJIINFFCD27CA,省躬段,52.50,都市：住
RPTQMLQLIINFFAD38CA,石門段,99.17,都市：住
RPPOMLMJIINFFCD37CA,新東段,4.28,都市：住
RPPOMLMJIINFFCD37CA,新東段,2.98,都市：住
RPOPMLMJIINFFCD37CA,虎尾寮段,97.00,都市：住
RPOPMLMJIINFFCD37CA,虎尾寮段,9.00,都市：其他
RPOPMLMJIINFFCD37CA,虎尾寮段,4.83,都市：住
RPXPMLMJIINFFCD28CA,關帝段,14.79,都市：住
RPXPMLMJIINFFCD28CA,關帝段,7.25,都市：住
RPXPMLMJIINFFCD28CA,關帝段,.04,都市：住
RPXOMLNJIINFFCD28CA,仁和段,.60,都市：住
RPRNMLNJIINFFCD57CA,虎尾寮段,31.83,都市：住
RPRNMLNJIINFFCD57CA,虎尾寮段,.65,都市：住
RPXOMLOJIINFFCD38CA,新興段,19.50,都市：住
RPSOMLMKIINFFBD67CA,國安段,104.20,都市：住
RPQNMLMKIINFFBD37CA,淵南段,51.75,都市：住
RPSOMLMKIINFFBD67CA,國安段,19.59,都市：其他
RPQNMLMKIINFFBD37CA,淵南段,19.60,都市：住
RPXPMLSJIINFFCD88CA,泉南段,14.83,都市：住
RPXPMLSJIINFFCD88CA,泉南段,4.64,都市：商
RPSOMLLJIINFFDD67CA,義稠段,213.39,都市：農
RPXNMLLJIINFFDD08CA,鹽水段,1.00,都市：住
RPXNMLLJIINFFDD08CA,鹽水段,55.00,都市：住
RPPNMLLKIINFFCD27CA,正義段,40.12,都市：其他
RPPNMLLKIINFFCD27CA,正義段,10.85,都市：其他
RPUOMLNJIINFFDD08CA,濟安段,79.14,都市：商
RPRNMLNLIINFFAD57CA,新南段,18.54,都市：住
RPTPMLOLIINFFAD08CA,協進段,26.09,都市：住
RPTPMLOLIINFFAD08CA,協進段,.21,都市：住
RPXNMLNKIINFFCD28CA,新東段,58.10,都市：其他
RPXNMLNKIINFFCD28CA,東安段,1.51,都市：其他
RPPOMLMJIINFFDD47CA,新富段,16.49,都市：住
RPTNMLTKIINFFDD58CA,果毅後段,140.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNJIINFFDD67CA,王公廟段,2860.00,都市：工
RPUNMLMJIINFFDD87CA,新岸段,85.94,都市：住
RPTNMLNJIINFFDD87CA,民權段,9.88,都市：商
RPWNMLNJIINFFDD18CA,新營段,28.31,都市：住
RPWNMLNJIINFFDD18CA,新營段,.23,都市：住
RPVNMLNJIINFFDD08CA,新營段,29.53,都市：住
RPVNMLNJIINFFDD08CA,新營段,.24,都市：住
RPQNMLLMIINFFDD67CA,新卯舍段,78.47,都市：工
RPRNMLOJIINFFED87CA,大客段科里小段,1163.33,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLMJIINFFGD38CA,劉厝段,2093.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPPMLNLIINFFCD77CA,竹篙厝段,80.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,87.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,87.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,87.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,87.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,87.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,87.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,87.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,87.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,87.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,87.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,87.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,86.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,86.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,86.00,都市：住
RPPPMLNLIINFFCD77CA,竹篙厝段,86.00,都市：住
RPPNMLQJIINFFGD08CA,禮化段,3338.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLNJIINFFGD77CA,大塭寮段,2765.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNJIINFFGD48CA,將軍段,2625.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLNJIINFFGD58CA,渡子頭段,5558.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLNJIINFFGD97CA,北文段,155.49,都市：住
RPVNMLLJIINFFHD28CA,曾文段,2566.00,都市：農
RPQPMLLJIINFFHD97CA,保安段,76.54,都市：住
RPRNMLOJIINFFHD18CA,新庄段,3.67,非都市：鄉村區 ; 非都市編定：交通用地
RPRNMLOJIINFFHD18CA,新庄段,303.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLOJIINFFFD28CA,麻豆寮段,355.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLOJIINFFFD28CA,麻豆寮段,2805.00,非都市：一般農業區 ; 非都市編定：農牧用地
