編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPTNMLSJIINFFAD08CA,坡道平面,0,
RPQNMLOLIINFFAD57CA,坡道平面,1300000,35.35
RPVPMLMLIINFFAD08CA,坡道平面,0,39.31
RPUPMLOJIINFFAD97CA,升降平面,0,
RPXOMLNJIINFFCD28CA,坡道平面,0,24.43
RPXPMLSJIINFFCD88CA,坡道平面,0,
RPRNMLNLIINFFAD57CA,坡道平面,0,
RPTPMLOLIINFFAD08CA,坡道平面,0,
RPPOMLMJIINFFDD47CA,坡道機械,0,
RPWNMLNJIINFFDD18CA,升降機械,400000,11.57
RPVNMLNJIINFFDD08CA,升降機械,400000,11.57
RPQOMLMJIINFFID08CA,坡道平面,900000,40.05
RPRNMLNJIINFFID18CA,坡道平面,900000,34.83
RPTNMLNJIINFFID38CA,坡道平面,880000,40.05
RPQNMLNJIINFFID08CA,坡道平面,950000,34.83
RPPNMLMKIINFFKD18CA,坡道平面,0,
RPSNMLPJIINFFKD68CA,坡道機械,0,
RPTNMLLJIINFFKD38CA,坡道平面,0,
RPPNMLLMIINFFKD28CA,坡道平面,0,28.65
RPQOMLMKIINFFKD38CA,坡道機械,0,13.14
RPUNMLNJIINFFKD68CA,坡道平面,0,
RPQNMLTLIINFFKD09CA,坡道平面,0,30.25
RPOOMLPJIINFFKD38CA,坡道平面,1000000,22.00
RPPNMLNJIINFFHD87CA,一樓平面,0,
RPPNMLNJIINFFHD87CA,一樓平面,0,
RPSNMLNJIINFFFD97CA,一樓平面,0,
RPSNMLNJIINFFFD97CA,一樓平面,0,
RPRNMLNJIINFFFD87CA,一樓平面,0,
RPXNMLNJIINFFDD28CA,升降機械,400000,11.57
RPPOMLNJIINFFDD57CA,升降機械,400000,11.57
RPOOMLNJIINFFDD47CA,升降機械,400000,11.57
RPOOMLNJIINFFDD47CA,升降機械,400000,11.57
RPSNMLRKIINFFCD18CA,坡道平面,680000,29.01
SPUNMLRKIINFFCD48CA,坡道平面,680000,29.01
RPUNMLRKIINFFCD38CA,坡道平面,680000,29.01
RPVOMLTLIINFFCD88CA,坡道平面,950000,
RPUOMLTLIINFFCD78CA,坡道平面,950000,
