鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鹽埕區,房地(土地+建物),高雄市鹽埕區大安街61~90號,175.0,住,,,1070917,土地2建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0821228,533.1,10,3,9,有,無,29000000,54399,,0.0,0,,RPTOMLLJIINFFAE57CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區華榮路601~630號,21.32,住,,,1070422,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010710,151.29,3,2,2,有,有,10000000,66098,坡道平面,17.22,0,,RPWNMLMJIINFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東五路151~180號,36.64,商,,,1070819,土地1建物1車位2,十八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950613,407.73,4,2,3,有,有,28500000,69899,坡道平面,48.42,0,,RPPOMLMJIINFFAE27CA
鼓山區,房地(土地+建物),高雄市鼓山區昌盛路31~60號,18.83,商,,,1070831,土地1建物1車位0,三層，四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830715,148.23,4,2,2,有,有,5730000,38656,,0.0,0,,RPSOMLMJIINFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區九如四路1991巷1~30號,20.31,住,,,1070908,土地1建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710814,77.46,3,2,1,有,無,2700000,34857,,0.0,0,,RPWOMLMJIINFFAE97CA
鼓山區,房地(土地+建物),高雄市鼓山區美術北三路91~120號,10.26,商,,,1070809,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950808,96.83999999999999,3,2,1,有,有,5450000,56278,,0.0,0,,RPWOMLPJIINFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍勝路271~300號,23.36,商,,,1070709,土地1建物1車位3,十二層,三十八層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1040915,402.53,4,2,3,有,有,29600000,73535,坡道平面,0.0,0,,RPXOMLPJIINFFAE38CA
鼓山區,房地(土地+建物),高雄市鼓山區裕誠路1501~1530號,12.3,商,,,1070904,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860215,130.37,4,2,2,有,有,5880000,45102,,0.0,0,,RPPNMLSJIINFFAE77CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區明誠三路691~720號,25.19,商,,,1070809,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0971104,284.0,0,0,0,無,無,17130000,60317,坡道平面,0.0,1300000,,RPOOMLTJIINFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區鼓元街1~30號,24.88,商,,,1070808,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1050707,173.95,0,0,0,無,有,12930000,74332,坡道平面,26.01,0,,RPRNMLOLIINFFAE77CA
鼓山區,房地(土地+建物),高雄市鼓山區華榮路181~210號,6.27,商,,,1070917,土地1建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850313,79.35,2,1,1,有,有,3500000,44108,,0.0,0,,RPTOMLPLIINFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區龍水二路1~30號,25.39,住,,,1070912,土地1建物1車位1,八層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030225,298.75,3,2,2,有,有,18818800,62992,坡道平面,30.04,0,,RPSOMLRLIINFFAE28CA
苓雅區,房地(土地+建物),高雄市苓雅區憲政路46巷1~30號,64.98,住,,,1070823,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0660304,128.18,5,2,2,有,無,7600000,59292,,0.0,0,,RPVNMLMJIINFFBE87CA
苓雅區,房地(土地+建物),高雄市苓雅區正義路91~120號,25.11,商,,,1070911,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0710223,100.59,3,2,2,有,無,2200000,21871,,0.0,0,,RPWNMLMJIINFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區文橫二路1~30號,5.19,住,,,1070920,土地1建物1車位0,五層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0710430,51.49,0,0,0,無,有,1950000,37871,,0.0,0,,RPUOMLMJIINFFBE87CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區德安街3巷1~30號,25.1,住,,,1070911,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860630,170.77,3,0,2,有,有,8200000,48018,坡道平面,0.0,0,,RPRNMLOJIINFFBE67CA
新興區,房地(土地+建物),高雄市新興區中正四路61~90號,6.98,商,,,1070828,土地1建物1車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890304,79.21000000000001,2,2,1,有,有,3800000,47974,,0.0,0,,RPPPMLOJIINFFBE67CA
苓雅區,房地(土地+建物)+車位,高雄市苓雅區和平一路121~150號,23.54,住,,,1070812,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930705,167.01,3,2,2,有,有,13880000,83109,坡道平面,0.0,0,,RPQPMLOJIINFFBE77CA
新興區,房地(土地+建物),高雄市新興區六合一路151~180號,12.68,商,,,1070810,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0760425,129.26,3,2,2,有,有,5590000,43246,,0.0,0,,RPSPMLOJIINFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區福德二路1~30號,18.11,商,,,1070806,土地2建物1車位0,七層,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,0701228,81.73,3,2,2,有,無,3000000,36706,,0.0,0,,RPTNMLPJIINFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區正言路91~120號,21.78,住,,,1070225,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680607,59.73,3,1,1,有,無,1800000,30136,,0.0,0,,RPSOMLPJIINFFBE97CA
苓雅區,房地(土地+建物),高雄市苓雅區中正一路301~330號,10.51,商,,,1070903,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0700916,109.88,2,2,2,有,無,3900000,35493,,0.0,0,,RPXOMLSJIINFFBE78CA
