編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPWNMLMJIINFFAE87CA,坡道平面,0,17.22
RPXOMLPJIINFFAE38CA,坡道平面,0,
RPXOMLPJIINFFAE38CA,坡道平面,0,
RPXOMLPJIINFFAE38CA,坡道平面,0,
RPPOMLMJIINFFAE27CA,坡道平面,0,23.10
RPPOMLMJIINFFAE27CA,坡道平面,0,25.32
RPRNMLOLIINFFAE77CA,坡道平面,0,26.01
RPOOMLTJIINFFAE87CA,坡道平面,0,
RPRNMLOJIINFFBE67CA,坡道平面,0,
RPQPMLOJIINFFBE77CA,坡道平面,0,
RPSOMLRLIINFFAE28CA,坡道平面,0,30.04
RPPOMLQKIINFFBE87CA,坡道平面,0,28.54
RPXNMLQKIINFFBE58CA,坡道平面,0,17.67
RPQOMLQKIINFFBE97CA,坡道平面,0,28.54
RPXNMLMJIINFFCE18CA,坡道機械,0,13.51
RPPPMLSJIINFFDE28CA,坡道平面,0,
RPOQMLPJIINFFEE08CA,坡道平面,0,
RPPQMLPJIINFFEE18CA,坡道平面,0,
RPPNMLNJIINFFEE67CA,其他,0,
RPPNMLPJIINFFDE77CA,坡道平面,1400000,26.78
RPPNMLPJIINFFDE77CA,坡道平面,1400000,26.78
RPPNMLMJIINFFEE57CA,坡道平面,0,20.50
RPVNMLSKIINFFEE88CA,坡道平面,0,34.81
RPWNMLSKIINFFEE98CA,坡道機械,0,
RPPPMLSKIINFFEE48CA,坡道平面,0,29.11
RPQPMLSKIINFFEE58CA,坡道平面,0,33.26
RPRPMLSKIINFFEE68CA,坡道平面,0,33.26
RPQPMLTKIINFFEE68CA,坡道平面,0,33.26
RPWOMLPLIINFFEE88CA,坡道平面,552000,34.62
RPVNMLKLIINFFEE18CA,坡道平面,0,33.26
RPPOMLMJIINFFFE77CA,坡道平面,0,
RPQNMLKKIINFFEE57CA,坡道平面,0,
RPPPMLNJIINFFGE08CA,坡道平面,0,
RPVPMLNJIINFFGE68CA,坡道平面,0,
RPQPMLNJIINFFGE18CA,坡道平面,0,
RPTPMLNJIINFFGE48CA,坡道平面,0,
RPSPMLNJIINFFGE38CA,坡道平面,0,
RPPNMLSJIINFFGE38CA,坡道平面,980000,6.05
RPQNMLSJIINFFGE48CA,坡道平面,1550000,15.34
