鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
土城區,車位,新北市土城區中央路一段91~120號,6.15,住,,,1070826,土地0建物0車位1,,,其他,,,,46.39,0,0,0,有,有,1630000,,坡道平面,46.39,1630000,,RPRQMLLJIINFFAF67CA
土城區,房地(土地+建物),新北市土城區清水路98巷3弄1~30號,23.65,住,,,1070905,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700513,72.84,3,2,1,有,無,6800000,93355,,0.0,0,,RPROMLMJIINFFAF57CA
板橋區,房地(土地+建物)+車位,新北市板橋區懷德街127巷1~30號,14.78,住,,,1070817,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850717,122.89000000000001,3,2,2,有,無,11500000,93580,升降平面,0.0,0,本案車位面積無法拆算。,RPRPMLMJIINFFAF67CA
土城區,房地(土地+建物),新北市土城區清水路278巷7弄1~30號,24.95,住,,,1070831,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701221,91.75,3,1,1,有,無,7270000,79237,,0.0,0,,RPRQMLMJIINFFAF77CA
土城區,房地(土地+建物),新北市土城區中央路一段241~270號,20.82,住,,,1070804,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701224,82.48,3,2,1,有,無,7250000,87900,,0.0,0,,RPOOMLNJIINFFAF37CA
土城區,房地(土地+建物),新北市土城區中央路一段96巷1~30號,9.48,住,,,1070826,土地1建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850613,71.61,2,2,1,有,有,8400000,117302,,0.0,0,含增建或未登記建物。,RPOQMLNJIINFFAF57CA
板橋區,房地(土地+建物),新北市板橋區南雅南路二段121~150號,11.37,住,,,1070830,土地1建物1車位0,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000602,80.84,2,2,1,有,有,15200000,188026,,0.0,0,含增建或未登記建物。,RPXQMLNJIINFFAF48CA
板橋區,房地(土地+建物),新北市板橋區大明街20巷29弄1~30號,17.0,住,,,1070809,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,62.28,3,1,1,有,無,6600000,105973,,0.0,0,,RPVRMLNJIINFFAF38CA
板橋區,房地(土地+建物),新北市板橋區文化路一段331~360號,2.1,住,,,1070826,土地1建物1車位0,二十七層,四十層,套房(1房1廳1衛),住家用,見其他登記事項,0990715,41.03,0,1,1,有,有,8700000,212040,,0.0,0,含增建或未登記建物。,RPRNMLOJIINFFAF67CA
板橋區,房地(土地+建物),新北市板橋區金華街91~120號,28.25,住,,,1070802,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661115,73.26,3,1,2,有,無,9200000,125580,,0.0,0,,RPXPMLOJIINFFAF48CA
板橋區,房地(土地+建物),新北市板橋區吳鳳路90巷1~30號,39.74,住,,,1070710,土地3建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0641017,101.44,2,1,1,有,無,6900000,68021,,0.0,0,母女間之買賣，以公告現值買賣。,RPWOMLPJIINFFAF38CA
板橋區,房地(土地+建物),新北市板橋區莊敬路263巷1~30號,37.5,住,,,1070731,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,84.98,3,2,1,有,無,10000000,117675,,0.0,0,,RPQQMLPJIINFFAF97CA
板橋區,房地(土地+建物)+車位,新北市板橋區大觀路一段38巷1~30號,21.87,住,,,1031214,土地1建物1車位1,十九層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070702,179.28,3,2,2,有,有,16600000,106686,坡道平面,38.68,1600000,,RPWOMLSJIINFFAF68CA
板橋區,房地(土地+建物)+車位,新北市板橋區大觀路一段38巷1~30號,17.48,住,,,1031214,土地1建物1車位1,十九層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070702,147.67000000000002,2,2,2,有,有,14400000,117442,坡道平面,38.68,1600000,,RPXOMLSJIINFFAF78CA
板橋區,房地(土地+建物)+車位,新北市板橋區大觀路一段38巷1~30號,25.22,住,,,1031211,土地1建物1車位1,二十層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070702,199.68,4,2,2,有,有,20700000,116770,坡道平面,38.68,1900000,,RPPPMLSJIINFFAF08CA
板橋區,房地(土地+建物)+車位,新北市板橋區大觀路一段38巷1~30號,25.15,住,,,1031024,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070702,199.43,4,2,2,有,有,19700000,111353,坡道平面,38.68,1800000,,RPQPMLSJIINFFAF18CA
板橋區,房地(土地+建物),新北市板橋區長安街61~90號,28.5,住,,,1070830,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,0640722,83.37,3,2,1,有,無,10500000,125945,,0.0,0,,RPWPMLLKIINFFAF18CA
板橋區,房地(土地+建物)+車位,新北市板橋區三民路二段61~90號,22.91,住,,,1070904,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030604,204.28000000000003,4,2,2,有,有,28050000,140633,升降機械,14.78,1400000,,RPSVMLMLIINFFAF58CA
五股區,房地(土地+建物)+車位,新北市五股區新五路三段151~180號,10.63,住,,,1070726,土地1建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060721,76.35,1,1,1,有,有,7500000,99099,坡道平面,20.85,2000000,,RPRNMLMJIINFFBF57CA
五股區,房地(土地+建物)+車位,新北市五股區新五路三段181~210號,20.81,住,,,1070715,土地1建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060721,134.13,3,2,2,有,有,13000000,98681,坡道平面,22.66,2000000,,RPSNMLMJIINFFBF67CA
五股區,房地(土地+建物),新北市五股區西雲路61~90號,24.78,住,,,1070821,土地1建物1車位0,六層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831019,130.39,3,2,2,有,有,8200000,62888,,0.0,0,,RPSOMLMJIINFFBF77CA
新莊區,房地(土地+建物)+車位,新北市新莊區龍安路61~90號,11.43,住,,,1070825,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1021216,140.31,2,2,1,有,有,13680000,97498,坡道平面,29.73,0,,RPQPMLMJIINFFBF67CA
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段20巷25弄1~30號,18.56,住,,,1070909,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830819,122.64,3,2,2,有,有,7900000,64416,坡道平面,0.0,0,,RPXPMLMJIINFFBF38CA
五股區,房地(土地+建物)+車位,新北市五股區芳洲七路1~30號,19.51,住,,,1070810,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040820,135.7,3,2,1,有,有,11880000,90468,坡道平面,26.49,2000000,,RPXSMLMJIINFFBF68CA
