編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLNJIINFFAF37CA,樂利段,20.82,都市：住
RPRQMLLJIINFFAF67CA,中華段,6.15,都市：住
RPVRMLNJIINFFAF38CA,亞東段,17.00,都市：住
RPXPMLOJIINFFAF48CA,大庭段,28.25,都市：住
RPRNMLOJIINFFAF67CA,文化段,2.10,都市：住
RPOQMLNJIINFFAF57CA,中華段,9.48,都市：住
RPXQMLNJIINFFAF48CA,新雅段,11.37,都市：住
RPRQMLMJIINFFAF77CA,清水段,24.95,都市：住
RPRPMLMJIINFFAF67CA,江子翠段第二崁小段,14.78,都市：住
RPROMLMJIINFFAF57CA,青雲段,23.65,都市：住
RPWOMLPJIINFFAF38CA,江子翠段溪頭小段,39.25,都市：住
RPWOMLPJIINFFAF38CA,江子翠段溪頭小段,.43,都市：住
RPWOMLPJIINFFAF38CA,江子翠段溪頭小段,.07,都市：住
RPWPMLLKIINFFAF18CA,中山段,28.50,都市：住
RPQQMLPJIINFFAF97CA,文化段,37.50,都市：住
RPSOMLMJIINFFBF77CA,御史段,24.78,都市：住
RPWOMLSJIINFFAF68CA,大觀段,21.87,都市：住
RPPPMLSJIINFFAF08CA,大觀段,25.22,都市：住
RPXOMLSJIINFFAF78CA,大觀段,17.48,都市：住
RPQPMLSJIINFFAF18CA,大觀段,25.15,都市：住
RPSNMLMJIINFFBF67CA,芳洲段,20.81,都市：住
RPRNMLMJIINFFBF57CA,芳洲段,10.63,都市：住
RPQPMLMJIINFFBF67CA,龍鳳段,11.43,都市：住
RPSVMLMLIINFFAF58CA,海山段,22.91,都市：住
RPVQMLNJIINFFBF38CA,安和段,4.57,都市：工
RPVQMLNJIINFFBF38CA,安和段,.01,都市：其他
RPVQMLNJIINFFBF38CA,安和段,.00,都市：其他
RPWUMLMJIINFFBF78CA,榮富段,10.44,都市：住
RPOTMLMJIINFFBF87CA,中山段,17.44,都市：商
RPPSMLOJIINFFBF08CA,水碓段水碓小段,23.72,都市：住
RPOTMLMJIINFFBF87CA,中山段,19.70,都市：商
RPOTMLMJIINFFBF87CA,中山段,.24,都市：其他
RPXPMLMJIINFFBF38CA,國宅段,18.56,都市：住
RPXSMLMJIINFFBF68CA,芳洲段,19.51,都市：住
RPRPMLOJIINFFBF97CA,林口段,18.20,都市：商
RPQSMLOJIINFFBF18CA,水碓段水碓小段,22.78,都市：住
RPXPMLNJIINFFBF48CA,自強段,22.10,都市：住
RPOQMLOJIINFFBF77CA,思賢段,9.73,都市：住
RPOPMLNJIINFFBF57CA,榮富段,17.48,都市：住
RPOQMLLKIINFFBF57CA,安和段,4.57,都市：工
RPOQMLLKIINFFBF57CA,安和段,.01,都市：其他
RPOQMLLKIINFFBF57CA,安和段,.00,都市：其他
RPWOMLNJIINFFBF28CA,合鳳段,30.20,都市：住
RPWOMLNJIINFFBF28CA,合鳳段,5.16,都市：住
RPPNMLSKIINFFBF08CA,中原段,19.46,都市：住
RPPPMLLMIINFFBF77CA,中原段,52.63,都市：住
RPPNMLRLIINFFBF08CA,副都心段五小段,10.37,都市：住
RPPOMLSJIINFFBF08CA,力行段,14.59,都市：住
RPQNMLKMIINFFBF57CA,芳洲段,38.91,都市：住
RPPPMLLJIINFFCF57CA,新和段,24.17,都市：住
RPTPMLMJIINFFCF08CA,行政段,20.50,都市：住
RPSPMLOJIINFFCF18CA,寶強段,.01,都市：商
RPSPMLOJIINFFCF18CA,寶強段,.00,都市：其他
RPSPMLOJIINFFCF18CA,寶強段,.00,都市：商
RPSPMLOJIINFFCF18CA,寶強段,.02,都市：住
RPSPMLOJIINFFCF18CA,寶強段,.01,都市：住
RPSPMLOJIINFFCF18CA,寶強段,.00,都市：住
RPSPMLOJIINFFCF18CA,寶強段,2.76,都市：其他
RPSPMLOJIINFFCF18CA,寶強段,.03,都市：商
RPSPMLMJIINFFCF97CA,行政段,20.21,都市：住
RPTNMLSJIINFFCF48CA,安和段,25.82,都市：住
RPXNMLTLIINFFBF09CA,建林段,32.12,都市：住
RPTOMLMKIINFFCF08CA,中正段,32.64,都市：住
RPTNMLPLIINFFCF38CA,新小坑段,33.83,都市：其他
RPTNMLPLIINFFCF38CA,新小坑段,397.20,都市：其他
RPXOMLMJIINFFDF48CA,保長段,3.91,都市：住
RPRPMLTLIINFFBF68CA,同興段,14.05,都市：商
RPOOMLMJIINFFCF47CA,福園段,28.60,都市：住
RPPPMLMKIINFFDF87CA,智興段,21.21,都市：住
RPQPMLMKIINFFDF97CA,智興段,24.47,都市：住
RPPNMLTJIINFFDF28CA,中萬里加投段龜吼小段,11.13,都市：住
RPPNMLTJIINFFDF28CA,中萬里加投段龜吼小段,.14,都市：住
RPXOMLOJIINFFCF58CA,寶興段,14.22,都市：住
RPSNMLQLIINFFCF38CA,環河段,10.57,都市：住
RPSNMLQLIINFFCF38CA,環河段,.01,都市：其他
SPTPMLPKIINFFDF68CA,文化段,327.23,都市：住
RPTPMLPKIINFFDF58CA,文化段,508.15,都市：農
RPTPMLMKIINFFDF28CA,智興段,21.41,都市：住
RPRPMLMKIINFFDF08CA,智興段,17.56,都市：住
RPSPMLMKIINFFDF18CA,智興段,17.56,都市：住
RPQOMLPJIINFFDF08CA,福德段,11.73,都市：住
RPSPMLPKIINFFDF48CA,文化段,643.00,都市：住
RPPQMLQKIINFFDF38CA,智興段,23.77,都市：住
RPSNMLTJIINFFCF48CA,中華段,16.08,都市：住
RPXNMLTJIINFFCF98CA,寶興段,16.12,都市：住
RPSNMLTJIINFFCF48CA,中華段,4.58,都市：住
RPPOMLPLIINFFDF18CA,崇德段,3.30,都市：商
RPPOMLPLIINFFDF18CA,崇德段,19.68,都市：商
RPPOMLPLIINFFDF18CA,崇德段,3.50,都市：商
