鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
冬山鄉,土地,東興段451~480地號,1780.0,,工業區,丁種建築用地,1070629,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22600000,12697,,0.0,0,,RPOOMLLJIINFFAG27CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮聖愛路91~120號,66.33,住,,,1070915,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0670522,82.32,2,2,2,有,無,1700000,20651,,0.0,0,,RPTOMLMJIINFFAG87CA
羅東鎮,土地,信義段961~990地號,44.0,商,,,1070910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,47727,,0.0,0,,RPXNMLOJIINFFAG38CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮中山西街61~90號,23.66,住,,,1070903,土地2建物1車位0,五層,五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,1060302,54.019999999999996,1,1,1,有,無,4600000,85154,,0.0,0,附2個機車位,RPUOMLNJIINFFAG08CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉利成路一段271~300號,92.39,,鄉村區,乙種建築用地,1070901,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0710410,134.26,4,1,2,有,無,4200000,31283,,0.0,0,,RPPNMLOJIINFFAG57CA
冬山鄉,房地(土地+建物)+車位,宜蘭縣冬山鄉義成路三段590巷32弄1~30號,34.74,住,,,1070814,土地2建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951229,139.58,3,2,2,有,有,6650000,47643,一樓平面,0.0,0,,RPTNMLPJIINFFAG08CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮倉前路61~90號,10.82,商,,,1070907,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831213,120.71000000000001,3,2,2,有,有,5500000,45560,,0.0,0,,RPSNMLSJIINFFAG28CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永清路146巷1~30號,117.72,住,,,1070613,土地6建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070410,210.7,4,2,4,有,有,13180000,62553,,0.0,0,,RPXNMLTJIINFFAG88CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永清路121~150號,100.02,住,,,1061124,土地2建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070410,188.32,4,2,4,有,有,14000000,74342,,0.0,0,,RPPOMLTJIINFFAG18CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永清路146巷1~30號,117.72,住,,,1051024,土地6建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070410,210.7,4,2,4,有,有,13180000,62553,,0.0,0,,RPQOMLTJIINFFAG28CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永清路146巷1~30號,117.72,住,,,1051018,土地6建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070410,210.7,4,2,4,有,有,13180000,62553,,0.0,0,,RPROMLTJIINFFAG38CA
冬山鄉,房地(土地+建物),宜蘭縣冬山鄉永清路146巷1~30號,117.72,住,,,1051024,土地6建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070410,210.7,4,2,4,有,有,13180000,62553,,0.0,0,,RPSOMLTJIINFFAG48CA
羅東鎮,土地,公正段61~90地號,48.4,住,,,1070911,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3367476,69576,,0.0,0,,RPRNMLMKIINFFAG67CA
羅東鎮,土地,公正段61~90地號,24.2,住,,,1070911,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1683738,69576,,0.0,0,,RPSNMLMKIINFFAG77CA
羅東鎮,土地,公正段61~90地號,121.0,住,,,1070911,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8418713,69576,,0.0,0,,RPTNMLMKIINFFAG87CA
羅東鎮,土地,公正段61~90地號,24.2,住,,,1070911,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1683738,69576,,0.0,0,,RPUNMLMKIINFFAG97CA
三星鄉,土地,福和段241~270地號,957.35,,特定農業區,農牧用地,1070910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,607664,635,,0.0,0,,RPQNMLLKIINFFAG47CA
宜蘭市,土地,坤門三段301~330地號,0.76,住,,,1070919,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,0,,0.0,0,,RPOQMLNJIINFFBG77CA
礁溪鄉,房地(土地+建物),宜蘭縣礁溪鄉大忠路121~150號,8.04,住,,,1070913,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821111,52.589999999999996,1,1,1,有,無,2000000,38030,,0.0,0,,RPURMLNJIINFFBG48CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉新南路91~120號,144.34,,特定農業區,甲種建築用地,1060603,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070514,158.64,3,2,2,有,無,7500000,47277,,0.0,0,,RPPNMLQJIINFFBG87CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市碧霞街61~90號,76.52,住,,,1061107,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070713,198.84,4,2,4,有,無,12530000,63015,,0.0,0,,RPUPMLQKIINFFBG68CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市碧霞街61~90號,76.65,住,,,1060905,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070713,202.2,4,2,4,有,無,13630000,67409,,0.0,0,,RPVPMLQKIINFFBG78CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市碧霞街69巷1~30號,77.67,住,,,1060811,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070713,193.48,4,2,3,有,無,10990000,56802,,0.0,0,,RPWPMLQKIINFFBG88CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市碧霞街69巷1~30號,76.02,住,,,1060628,土地2建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1070713,180.83,4,2,3,有,無,9980000,55190,,0.0,0,,RPOQMLQKIINFFBG18CA
蘇澳鎮,土地,思村段601~630地號,56.06,住,,,1070918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,542600,9679,,0.0,0,,RPOOMLLJIINFFAG47EA
羅東鎮,土地,南昌段121~150地號,180.0,住,,,1070816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7650000,42500,,0.0,0,"1.二親等買賣(母女)   2.買受人三人,共有持分",RPSOMLLJIINFFAG87EA
五結鄉,房地(土地+建物)+車位,宜蘭縣五結鄉季水路清水一巷1弄91~120號,52.16,,鄉村區,乙種建築用地,1070914,土地1建物1車位1,一層，二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0870602,149.5,2,1,2,有,無,2200000,14716,坡道平面,0.0,0,重疊別墅,RPRNMLMJIINFFAG77EA
蘇澳鎮,土地,慶安段61~90地號,597.63,其他,,,1070916,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3021000,5055,,0.0,0,"綠地.道路用地每坪24500元,河川用地每坪2000元",RPUNMLMJIINFFAG08EA
蘇澳鎮,土地,隘城段421~450地號,68.03,住,,,1070905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,720267,10587,,0.0,0,,RPPOMLNJIINFFAG77EA
礁溪鄉,土地,保安段1~30地號,663.08,,山坡地保育區,農牧用地,1070820,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,167610,253,,0.0,0,宗親買賣,RPQQMLNJIINFFBG18EA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市中山路二段151~180號,16.9,住,,,1070915,土地6建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890427,126.89,3,2,2,有,有,6350000,50043,,0.0,0,,RPPPMLNJIINFFBG77CA
壯圍鄉,房地(土地+建物),宜蘭縣壯圍鄉美福路三段42巷1弄1~30號,136.27,,特定農業區,甲種建築用地,1070603,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070403,209.04,4,2,5,有,無,10360000,49560,,0.0,0,,RPTNMLQKIINFFBG38CA
蘇澳鎮,房地(土地+建物),宜蘭縣蘇澳鎮蘭陽新村31~60號,41.72,住,,,1070803,土地2建物1車位0,二層,二層,其他,住家用,加強磚造,0601115,67.48,3,1,1,有,無,700000,10373,,0.0,0,本案件為透天厝2樓一層出售,RPSNMLNLIINFFAG08DA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市舊城北路61~90號,91.94,商,,,1070627,土地3建物1車位0,全,一層,透天厝,住家用,磚造,,83.28,3,1,1,有,無,9500000,114073,,0.0,0,一樓空地增建,RPWOMLNLIINFFBG58CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市女中路三段31~60號,6.59,住,,,1070822,土地1建物1車位0,四層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840426,37.910000000000004,1,1,1,有,有,2650000,69902,,0.0,0,,RPPNMLOJIINFFBG67CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市慈安路86巷1~30號,51.87,住,,,1070920,土地2建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0701224,134.13,3,2,2,有,無,2800000,20875,,0.0,0,增建: 壹樓空地、天井,RPQOMLOJIINFFBG87CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市力行路179巷1~30號,33.96,住,,,1070906,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,,48.3,1,1,1,有,無,2124000,43975,,0.0,0,,RPXOMLSJIINFFBG98CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市中山路一段245巷42弄1~30號,68.0,住,,,1070826,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0701217,97.01,3,2,2,有,無,5730000,59066,,0.0,0,含傢俱等。增建範圍：一樓空地。,RPTQMLPJIINFFBG48CA
宜蘭市,房地(土地+建物),宜蘭縣宜蘭市嵐峰路三段330巷1~30號,106.0,住,,,1070909,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0711029,127.04,3,3,2,有,無,8200000,64547,,0.0,0,增建: 一樓空地及陽台外推,RPTNMLLKIINFFBG87CA
宜蘭市,土地,坤門三段301~330地號,0.76,住,,,1070920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,100000,0,,0.0,0,,RPPQMLNJIINFFBG87CA
三星鄉,房地(土地+建物),宜蘭縣三星鄉集慶一路45巷1~30號,157.4,住,,,1070705,土地3建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1070503,171.03,3,2,4,有,無,7300000,42683,,0.0,0,,RPXOMLMKIINFFAG38CA
羅東鎮,土地,公正段61~90地號,24.2,住,,,1070912,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2049768,84701,,0.0,0,,RPPNMLPKIINFFAG77CA
羅東鎮,房地(土地+建物),宜蘭縣五結鄉陽明北路1~30號,31.68,住,,,1070816,土地2建物2車位0,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0801121,175.04000000000002,4,2,2,有,有,4800000,27422,,0.0,0,,RPWNMLPJIINFFAG38CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉親河路二段121~150號,12.4,,,,1070901,土地1建物1車位0,,,套房(1房1廳1衛),,,,58.67,1,1,1,有,有,1500000,25567,,0.0,0,親戚間買賣無私契,RPOPMLPJIINFFAG77CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉五結中路二段96巷1~30號,130.62,農,,,1070818,土地4建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1060327,219.35,4,2,4,有,無,12200000,55619,,0.0,0,,RPPNMLQJIINFFAG77CA
蘇澳鎮,土地,存仁段61~90地號,864.8,農,,,1070825,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1308000,1512,,0.0,0,,RPTNMLOJIINFFAG97CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉大吉五路181巷160弄1~30號,340.79,,特定農業區,甲種建築用地,1070917,土地4建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1060705,351.08,5,3,6,有,無,15200000,43295,,0.0,0,,RPSOMLOJIINFFAG97CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉五結中路二段241巷7弄1~30號,154.18,,特定農業區,甲種建築用地,1070810,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070427,296.18,5,2,5,有,無,17200000,58073,,0.0,0,,RPPNMLPJIINFFAG67CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉協和中路1~30號,103.18,,特定農業區,甲種建築用地,1070830,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0821108,166.13,4,3,3,有,無,5800000,34912,,0.0,0,另有增建，約2坪。,RPQNMLPJIINFFAG77CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉南興路91~120號,1170.57,農,,,1070603,土地1建物1車位0,一層，二層，三層,三層,農舍,農舍,鋼筋混凝土造,0950920,351.44,5,3,5,有,無,21800000,,,0.0,0,,RPRNMLPJIINFFAG87CA
羅東鎮,房地(土地+建物),宜蘭縣羅東鎮康莊路1~30號,31.52,住,,,1070831,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810318,121.35,3,2,2,有,無,5000000,41203,,0.0,0,陽台有增建。,RPROMLNJIINFFAG77CA
冬山鄉,土地,大埤段301~330地號,2718.38,農,,,1070829,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8500000,3127,,0.0,0,,RPSOMLNJIINFFAG87CA
五結鄉,房地(土地+建物),宜蘭縣五結鄉大吉三路218巷1~30號,85.09,,鄉村區,乙種建築用地,1070914,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690516,85.81,3,1,2,有,無,3300000,38457,,0.0,0,,RPTOMLNJIINFFAG97CA
