編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUOMLNJIINFFAG08CA,2,36.93,見其他登記事項,鋼筋混凝土造,106年3月2日,五層,五層
RPUOMLNJIINFFAG08CA,2,5.91,見其他登記事項,鋼筋混凝土造,106年3月2日,五層,
RPUOMLNJIINFFAG08CA,2,11.18,見其他登記事項,鋼筋混凝土造,106年3月2日,五層,
RPTOMLMJIINFFAG87CA,40,82.32,住家用,鋼筋混凝土加強磚造,67年5月22日,二層,一層 二層
RPSNMLSJIINFFAG28CA,25,10.85,見其他登記事項,鋼筋混凝土造,82年12月31日,十二層,一層 騎樓 地下一層
RPSNMLSJIINFFAG28CA,,.00,見其他登記事項,鋼筋混凝土造,,十二層,
RPSNMLSJIINFFAG28CA,,4.82,見其他登記事項,鋼筋混凝土造,,十二層,
RPSNMLSJIINFFAG28CA,24,105.04,住家用,鋼筋混凝土造,83年12月13日,十二層,五層
RPPNMLOJIINFFAG57CA,36,134.26,住家用,加強磚造,71年4月10日,二層,一層 二層 騎樓
RPPOMLTJIINFFAG18CA,,188.32,見其他登記事項,見其他登記事項,107年4月10日,三層,一層 二層 三層 見其他登記事項
RPQOMLTJIINFFAG28CA,,210.70,住家用,見其他登記事項,107年4月10日,三層,一層 二層 三層 見其他登記事項
RPROMLTJIINFFAG38CA,,210.70,住家用,見其他登記事項,107年4月10日,三層,一層 二層 三層 見其他登記事項
RPXNMLTJIINFFAG88CA,,210.70,住家用,見其他登記事項,107年4月10日,三層,一層 二層 三層 見其他登記事項
RPSOMLTJIINFFAG48CA,,210.70,住家用,見其他登記事項,107年4月10日,三層,一層 二層 三層 見其他登記事項
RPURMLNJIINFFBG48CA,25,36.72,住家用,鋼筋混凝土造,82年11月11日,七層,四層
RPURMLNJIINFFBG48CA,25,15.87,共有部份,鋼筋混凝土造,82年11月11日,七層,
RPTNMLPJIINFFAG08CA,12,84.95,住家用,鋼筋混凝土造,95年12月29日,九層,九層
RPTNMLPJIINFFAG08CA,12,35.87,見其他登記事項,鋼筋混凝土造,95年12月29日,九層,
RPTNMLPJIINFFAG08CA,12,18.76,見其他登記事項,鋼筋混凝土造,95年12月29日,九層,
RPPNMLQJIINFFBG87CA,,158.64,住家用,鋼筋混凝土造,107年5月14日,三層,一層 二層 三層
RPRNMLMJIINFFAG77EA,20,106.66,住家用,鋼筋混凝土造,87年6月2日,四層,一層 二層
RPRNMLMJIINFFAG77EA,20,42.84,見其他登記事項,鋼筋混凝土造,87年6月2日,四層,
RPPPMLNJIINFFBG77CA,18,96.51,住家用,鋼筋混凝土造,89年4月27日,十二層,七層
RPPPMLNJIINFFBG77CA,18,13.09,共有部份,鋼筋混凝土造,89年4月27日,十二層,
RPPPMLNJIINFFBG77CA,18,17.29,共有部份,鋼筋混凝土造,89年4月27日,十二層,
RPUPMLQKIINFFBG68CA,,198.84,見其他登記事項,鋼筋混凝土造,107年7月13日,三層,一層 二層 三層 騎樓 見其他登記事項
RPSNMLNLIINFFAG08DA,47,67.48,住家用,加強磚造,60年11月15日,二層,二層
RPXOMLSJIINFFBG98CA,,48.30,住家用,鋼筋混凝土加強磚造,,二層,二層
RPOQMLQKIINFFBG18CA,,180.83,見其他登記事項,鋼筋混凝土造,107年7月13日,三層,一層 二層 三層 見其他登記事項
RPWPMLQKIINFFBG88CA,,193.48,見其他登記事項,鋼筋混凝土造,107年7月13日,三層,一層 二層 三層 見其他登記事項
RPTQMLPJIINFFBG48CA,37,97.01,住家用,鋼筋混凝土加強磚造,70年12月17日,二層,一層 二層
RPOPMLPJIINFFAG77CA,,17.41,,,,,
RPOPMLPJIINFFAG77CA,,41.26,,,,,
RPTNMLQKIINFFBG38CA,,209.04,住家用,鋼筋混凝土造,107年4月3日,三層,一層 二層 三層
