編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUOMLNJIINFFAG08CA,東光段,2.16,都市：住
RPUOMLNJIINFFAG08CA,東光段,21.50,都市：住
RPOOMLLJIINFFAG27CA,東興段,534.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPOOMLLJIINFFAG27CA,東興段,362.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPOOMLLJIINFFAG27CA,東興段,224.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPOOMLLJIINFFAG27CA,東興段,660.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPXNMLOJIINFFAG38CA,信義段,44.00,都市：商
RPTOMLMJIINFFAG87CA,蘇新段,66.33,都市：住
RPSNMLSJIINFFAG28CA,中華段,10.82,都市：商
RPPNMLOJIINFFAG57CA,利成段,92.39,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLTJIINFFAG18CA,義成四段,75.02,都市：住
RPPOMLTJIINFFAG18CA,義成四段,25.00,都市：住
RPQOMLTJIINFFAG28CA,義成四段,100.00,都市：住
RPQOMLTJIINFFAG28CA,義成四段,12.50,都市：住
RPQOMLTJIINFFAG28CA,義成四段,2.28,都市：住
RPQOMLTJIINFFAG28CA,義成四段,.76,都市：住
RPQOMLTJIINFFAG28CA,義成四段,.54,都市：住
RPQOMLTJIINFFAG28CA,義成四段,1.63,都市：住
RPROMLTJIINFFAG38CA,義成四段,100.00,都市：住
RPROMLTJIINFFAG38CA,義成四段,12.50,都市：住
RPROMLTJIINFFAG38CA,義成四段,2.28,都市：住
RPROMLTJIINFFAG38CA,義成四段,.76,都市：住
RPROMLTJIINFFAG38CA,義成四段,.54,都市：住
RPROMLTJIINFFAG38CA,義成四段,1.63,都市：住
RPOQMLNJIINFFBG77CA,坤門三段,.76,都市：住
RPXNMLTJIINFFAG88CA,義成四段,100.00,都市：住
RPXNMLTJIINFFAG88CA,義成四段,12.50,都市：住
RPXNMLTJIINFFAG88CA,義成四段,2.28,都市：住
RPXNMLTJIINFFAG88CA,義成四段,.76,都市：住
RPXNMLTJIINFFAG88CA,義成四段,.54,都市：住
RPXNMLTJIINFFAG88CA,義成四段,1.63,都市：住
RPSOMLTJIINFFAG48CA,義成四段,100.00,都市：住
RPSOMLTJIINFFAG48CA,義成四段,12.50,都市：住
RPSOMLTJIINFFAG48CA,義成四段,2.28,都市：住
RPSOMLTJIINFFAG48CA,義成四段,.76,都市：住
RPSOMLTJIINFFAG48CA,義成四段,1.63,都市：住
RPSOMLTJIINFFAG48CA,義成四段,.54,都市：住
RPURMLNJIINFFBG48CA,忠義段,8.04,都市：住
RPTNMLPJIINFFAG08CA,群英段,34.23,都市：住
RPTNMLPJIINFFAG08CA,群英段,.51,都市：住
RPQNMLLKIINFFAG47CA,福和段,957.35,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLQJIINFFBG87CA,新南段,98.56,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLQJIINFFBG87CA,新南段,26.52,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLQJIINFFBG87CA,新南段,18.61,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLQJIINFFBG87CA,新南段,.66,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOOMLLJIINFFAG47EA,思村段,56.06,都市：住
RPRNMLMKIINFFAG67CA,公正段,.52,都市：住
RPSNMLMKIINFFAG77CA,公正段,.26,都市：住
RPSNMLMKIINFFAG77CA,公正段,20.79,都市：住
RPRNMLMKIINFFAG67CA,公正段,41.59,都市：住
RPSNMLMKIINFFAG77CA,公正段,3.15,都市：住
RPRNMLMKIINFFAG67CA,公正段,6.30,都市：住
RPUNMLMKIINFFAG97CA,公正段,.26,都市：住
RPUNMLMKIINFFAG97CA,公正段,20.79,都市：住
