鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
桃園區,房地(土地+建物)+車位,桃園市桃園區龍泉二街61~90號,13.59,商,,,1070720,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021023,154.73000000000002,3,2,2,有,有,8500000,54934,坡道平面,27.63,0,,RPXOMLMJIINFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區樹仁三街87巷1~30號,19.05,住,,,1070818,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010715,156.92000000000002,3,2,2,有,有,8500000,54168,坡道平面,0.0,0,,RPUQMLMJIINFFAH28CA
桃園區,土地,中路三段31~60地號,1483.11,住,,,1070919,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,226888888,152982,,0.0,0,,RPUQMLNJIINFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區新埔六街181~210號,27.08,商,,,1070723,土地1建物1車位2,十九層,十九層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1060920,340.15,1,0,3,有,有,35900000,111306,坡道平面,49.96,3600000,,RPUPMLOJIINFFAH38CA
桃園區,土地,桃圳段811~840地號,101.34,住,,,1070828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4598302,45375,,0.0,0,,RPSRMLOJIINFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區莊二街211~240號,29.17,住,,,1070127,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060816,151.7,3,2,2,有,有,11380000,83172,坡道平面,28.1,1100000,,RPSNMLPJIINFFAH08CA
桃園區,房地(土地+建物)+車位,桃園市桃園區樹仁三街87巷1~30號,23.17,住,,,1070820,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010715,184.29000000000002,4,2,2,有,有,11250000,61045,坡道平面,31.27,0,,RPUPMLPJIINFFAH48CA
桃園區,房地(土地+建物)+車位,桃園市桃園區同安街571~600號,40.14,商,,,1070622,土地4建物1車位3,十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030210,366.58000000000004,3,2,3,有,有,25940000,70762,坡道平面,0.0,0,,RPPNMLSJIINFFAH08CA
桃園區,房地(土地+建物),桃園市桃園區雙龍街31~60號,34.34,工,,,1070919,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,0810514,104.08999999999999,3,2,2,有,無,3350000,32184,,0.0,0,,RPPOMLTJIINFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中山路1308巷331~360號,21.28,住,,,1070827,土地4建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070612,163.45,3,2,2,有,有,8180000,52880,坡道平面,34.29,1350000,,RPWNMLMKIINFFAH28CA
桃園區,房地(土地+建物),桃園市桃園區正康一街136巷46弄1~30號,16.76,住,,,1070927,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700324,73.69,2,1,1,有,有,3300000,44782,,0.0,0,,RPQQMLMKIINFFAH97CA
桃園區,房地(土地+建物)+車位,桃園市桃園區正光路86巷1~30號,27.07,住,,,1070109,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070709,157.73,3,2,2,有,有,10250000,72023,坡道平面,37.63,1600000,,RPOPMLSKIINFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路271~300號,11.06,商,,,1070913,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051102,119.05,2,2,1,有,有,8090000,74327,坡道平面,28.37,1350000,,RPOQMLQLIINFFAH28CA
桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路211~240號,17.82,商,,,1070916,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051102,179.32,4,2,2,有,有,12900000,75190,坡道平面,28.37,1550000,,RPSQMLQLIINFFAH68CA
桃園區,土地,慈文段2281~2310地號,7.1,其他,,,1070904,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,214000,30141,,0.0,0,,RPXNMLPLIINFFAH78CA
桃園區,房地(土地+建物),桃園市桃園區大業路二段91~120號,18.2,住,,,1070703,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0900709,106.39,2,2,1,有,有,5800000,54516,,0.0,0,,RPROMLLMIINFFAH97CA
觀音區,房地(土地+建物),桃園市觀音區敬業街95巷31~60號,78.0,,工業區,丁種建築用地,1070822,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0970319,176.03,5,2,3,有,無,6250000,35505,,0.0,0,,RPVOMLLJIINFFBH18CA
中壢區,房地(土地+建物),桃園市中壢區龍岡路二段391~420號,13.64,住,,,1070914,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830723,89.93,3,2,2,有,有,3700000,41143,,0.0,0,,RPUQMLLJIINFFBH28CA
中壢區,房地(土地+建物)+車位,桃園市中壢區民族路五段511~540號,20.59,商,,,1070706,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020306,186.82,4,2,2,有,有,7200000,38540,坡道平面,35.13,0,,RPRNMLMJIINFFBH77CA
中壢區,房地(土地+建物)+車位,桃園市中壢區內定二十二街151~180號,99.91,農,,,1070209,土地2建物1車位1,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061214,311.56,5,2,4,有,有,20500000,65798,坡道平面,0.0,0,,RPWOMLMJIINFFBH38CA
中壢區,房地(土地+建物)+車位,桃園市中壢區內定二十二街151~180號,121.93,農,,,1070411,土地2建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,1061214,397.69000000000005,5,2,4,有,有,23500000,59091,坡道平面,0.0,0,,RPOPMLMJIINFFBH67CA
中壢區,房地(土地+建物),桃園市中壢區長樂街85巷1~30號,34.0,住,,,1070907,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690415,66.45,3,1,1,有,無,1500000,22573,,0.0,0,,RPORMLMJIINFFBH87CA
中壢區,房地(土地+建物),桃園市中壢區長樂六街1~30號,82.0,住,,,1070905,土地2建物1車位0,全,二層,透天厝,住商用,加強磚造,0700919,108.76,4,2,2,有,無,3500000,32181,,0.0,0,,RPQRMLMJIINFFBH08CA
觀音區,房地(土地+建物),桃園市觀音區富有路31~60號,96.73,住,,,1070908,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1030509,208.1,4,2,3,有,無,11300000,54301,,0.0,0,,RPXRMLMJIINFFBH78CA
中壢區,房地(土地+建物)+車位,桃園市中壢區龍吉五街1~30號,52.57,住,,,1070813,土地2建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1041221,153.04,3,2,2,有,有,8500000,55541,一樓平面,0.0,0,,RPRNMLNJIINFFBH87CA
中壢區,土地,雙嶺段1141~1170地號,18.93,住,,,1070919,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,562344,29706,,0.0,0,,RPVNMLNJIINFFBH28CA
