編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPXOMLMJIINFFAH38CA,5,86.97,住家用,鋼筋混凝土造,102年10月23日,十九層,七層
RPXOMLMJIINFFAH38CA,5,67.76,見其他登記事項,鋼筋混凝土造,102年10月23日,十九層,
RPUQMLMJIINFFAH28CA,6,88.26,住家用,鋼筋混凝土造,101年7月15日,十五層,十四層
RPUQMLMJIINFFAH28CA,6,68.66,見其他登記事項,鋼筋混凝土造,101年7月15日,十五層,
RPSNMLPJIINFFAH08CA,,81.91,住家用,鋼筋混凝土造,106年8月16日,十四層,八層
RPSNMLPJIINFFAH08CA,,19.99,見其他登記事項,鋼筋混凝土造,106年8月16日,十四層,
RPSNMLPJIINFFAH08CA,,21.69,見其他登記事項,鋼筋混凝土造,106年8月16日,十四層,
RPSNMLPJIINFFAH08CA,,28.10,見其他登記事項,鋼筋混凝土造,106年8月16日,十四層,
RPUPMLOJIINFFAH38CA,1,204.00,見其他登記事項,鋼筋混凝土造,106年9月20日,十九層,十九層
RPUPMLOJIINFFAH38CA,1,103.22,見其他登記事項,鋼筋混凝土造,106年9月20日,十九層,
RPUPMLOJIINFFAH38CA,1,32.93,見其他登記事項,鋼筋混凝土造,106年9月20日,十九層,
RPWNMLMKIINFFAH28CA,,75.60,共有部份,鋼筋混凝土造,107年6月12日,十五層,
RPWNMLMKIINFFAH28CA,,87.85,住家用,鋼筋混凝土造,107年6月12日,十五層,十四層
RPPOMLTJIINFFAH28CA,26,95.07,工業用,鋼筋混凝土造,81年5月14日,五層,二層
RPPOMLTJIINFFAH28CA,26,3.43,共有部份,鋼筋混凝土造,81年5月14日,五層,
RPPOMLTJIINFFAH28CA,26,5.59,共有部份,鋼筋混凝土造,81年5月14日,五層,
RPUPMLPJIINFFAH48CA,6,107.23,住家用,鋼筋混凝土造,101年7月15日,十五層,十層
RPUPMLPJIINFFAH48CA,6,77.06,見其他登記事項,鋼筋混凝土造,101年7月15日,十五層,
RPPNMLSJIINFFAH08CA,4,200.30,住家用,鋼筋混凝土造,103年2月10日,二十四層,十一層
RPPNMLSJIINFFAH08CA,4,166.28,見其他登記事項,鋼筋混凝土造,103年2月10日,二十四層,
RPQQMLMKIINFFAH97CA,38,67.37,住家用,鋼筋混凝土造,70年3月24日,六層,五層
RPQQMLMKIINFFAH97CA,38,6.32,共有部份,鋼筋混凝土造,70年3月24日,六層,
RPUQMLLJIINFFBH28CA,24,79.28,住家用,鋼筋混凝土造,83年7月23日,十層,三層
RPUQMLLJIINFFBH28CA,24,10.65,共有部分,鋼筋混凝土造,83年7月23日,十層,
RPOPMLSKIINFFAH28CA,1,82.24,住家用,鋼筋混凝土造,107年7月9日,十三層,七層
RPOPMLSKIINFFAH28CA,1,75.49,見其他登記事項,鋼筋混凝土造,107年7月9日,十三層,
RPROMLLMIINFFAH97CA,17,82.36,住家用,鋼筋混凝土造,90年7月9日,九層,四層
RPROMLLMIINFFAH97CA,17,13.52,共有部份,鋼筋混凝土造,90年7月9日,九層,
RPROMLLMIINFFAH97CA,17,10.51,共有部份,鋼筋混凝土造,90年7月9日,九層,
RPRNMLMJIINFFBH77CA,5,107.12,見其他登記事項,鋼筋混凝土造,102年3月6日,十五層,二層
RPRNMLMJIINFFBH77CA,5,54.57,見其他登記事項,鋼筋混凝土造,102年3月6日,十五層,
RPRNMLMJIINFFBH77CA,5,25.13,見其他登記事項,鋼筋混凝土造,102年3月6日,十五層,
RPSQMLQLIINFFAH68CA,2,102.99,住家用,鋼筋混凝土造,105年11月2日,十二層,九層
RPSQMLQLIINFFAH68CA,2,25.07,見其他登記事項,鋼筋混凝土造,105年11月2日,十五層,
RPSQMLQLIINFFAH68CA,2,51.26,見其他登記事項,鋼筋混凝土造,105年11月2日,十五層,
RPWOMLMJIINFFBH38CA,,221.87,見其他登記事項,鋼筋混凝土造,106年12月14日,四層,一層 二層 三層 四層
RPWOMLMJIINFFBH38CA,,32.20,見其他登記事項,鋼筋混凝土造,106年12月14日,四層,
RPWOMLMJIINFFBH38CA,,57.49,見其他登記事項,鋼筋混凝土造,106年12月14日,四層,
RPQRMLMJIINFFBH08CA,37,108.76,住商用,加強磚造,70年9月19日,二層,一層 二層 騎樓
RPOQMLQLIINFFAH28CA,2,61.89,住家用,鋼筋混凝土造,105年11月2日,十五層,十五層
RPOQMLQLIINFFAH28CA,2,15.09,見其他登記事項,鋼筋混凝土造,105年11月2日,十五層,
RPOQMLQLIINFFAH28CA,2,42.06,見其他登記事項,鋼筋混凝土造,105年11月2日,十五層,
RPVOMLLJIINFFBH18CA,10,176.03,住家用,鋼筋混凝土造,97年3月19日,四層,一層 二層 三層 四層
RPORMLMJIINFFBH87CA,38,66.45,住家用,鋼筋混凝土造,69年4月15日,四層,一層
RPOPMLMJIINFFBH67CA,,288.79,住家用,鋼筋混凝土造,106年12月14日,四層,一層 二層 三層 四層
RPOPMLMJIINFFBH67CA,,32.20,見其他登記事項,鋼筋混凝土造,106年12月14日,四層,
RPOPMLMJIINFFBH67CA,,76.70,見其他登記事項,鋼筋混凝土造,106年12月14日,四層,
RPRNMLNJIINFFBH87CA,3,106.44,見其他登記事項,鋼筋混凝土造,104年12月21日,五層,五層
RPRNMLNJIINFFBH87CA,3,46.60,見其他登記事項,鋼筋混凝土造,104年12月21日,五層,
RPVPMLPKIINFFBH78CA,,37.99,見其他登記事項,鋼筋混凝土造,107年7月24日,五層,五層
RPVPMLPKIINFFBH78CA,,14.08,見其他登記事項,鋼筋混凝土造,107年7月24日,五層,
RPPOMLRKIINFFBH28CA,24,42.92,住家用,鋼筋混凝土造,83年10月12日,七層,三層
RPPOMLRKIINFFBH28CA,24,14.04,共有部分,鋼筋混凝土造,83年10月12日,七層,
RPXRMLMJIINFFBH78CA,4,208.10,住家用,鋼筋混凝土造,103年5月9日,四層,一層 二層 三層 四層
RPTPMLPKIINFFBH58CA,,37.99,見其他登記事項,鋼筋混凝土造,107年7月24日,五層,三層
RPTPMLPKIINFFBH58CA,,14.08,見其他登記事項,鋼筋混凝土造,107年7月24日,五層,
RPQPMLSJIINFFBH48CA,,25.33,見其他登記事項,鋼筋混凝土造,107年6月20日,五層,一層
RPQPMLSJIINFFBH48CA,,8.69,見其他登記事項,鋼筋混凝土造,107年6月20日,五層,
RPTNMLLKIINFFBH97CA,38,72.03,住家用,鋼筋混凝土造,69年10月18日,四層,四層
RPXNMLRKIINFFBH98CA,7,118.76,見其他登記事項,鋼筋混凝土造,100年12月15日,十五層,十一層
RPXNMLRKIINFFBH98CA,7,75.14,見其他登記事項,鋼筋混凝土造,100年12月15日,十五層,
RPORMLOJIINFFBH08CA,,205.15,見其他登記事項,鋼筋混凝土造,107年5月8日,四層,一層 二層 三層 四層
RPVQMLOJIINFFBH68CA,,205.15,見其他登記事項,鋼筋混凝土造,107年5月8日,四層,一層 二層 三層 四層
RPQPMLMLIINFFBH08CA,14,102.42,住家用,鋼筋混凝土造,93年9月24日,十三層,十二層
RPQPMLMLIINFFBH08CA,14,12.88,共有部分,鋼筋混凝土造,93年9月24日,十三層,
RPQPMLMLIINFFBH08CA,14,21.95,共有部分,鋼筋混凝土造,93年9月24日,十三層,
RPQPMLMLIINFFBH08CA,14,.02,見其他登記事項,鋼筋混凝土造,93年9月24日,十三層,一層
RPQPMLMLIINFFBH08CA,14,23.54,共有部分,鋼筋混凝土造,93年9月24日,十三層,
RPRNMLNLIINFFBH08CA,1,68.25,見其他登記事項,鋼筋混凝土造,106年5月19日,十五層,九層
RPRNMLNLIINFFBH08CA,1,70.90,見其他登記事項,鋼筋混凝土造,106年5月19日,十五層,
RPTNMLNLIINFFBH28CA,1,68.25,見其他登記事項,鋼筋混凝土造,106年5月19日,十五層,十三層
RPTNMLNLIINFFBH28CA,1,70.90,見其他登記事項,鋼筋混凝土造,106年5月19日,十五層,
RPSPMLLMIINFFBH28CA,14,93.77,住家用,鋼筋混凝土造,94年2月4日,十四層,十二層
RPSPMLLMIINFFBH28CA,14,2.74,共有部分,鋼筋混凝土造,94年2月4日,十四層,
RPSPMLLMIINFFBH28CA,14,18.85,共有部分,鋼筋混凝土造,94年2月4日,十四層,
RPSPMLLMIINFFBH28CA,14,16.40,共有部分,鋼筋混凝土造,94年2月4日,十四層,
RPSPMLLMIINFFBH28CA,14,.01,見其他登記事項,鋼筋混凝土造,94年2月4日,十四層,一層
RPSPMLLMIINFFBH28CA,14,22.61,共有部分,鋼筋混凝土造,94年2月4日,十四層,
RPOQMLNLIINFFBH08CA,24,387.93,住家用,鋼筋混凝土造,83年9月14日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPUOMLSJIINFFCH88CA,1,96.73,見其他登記事項,鋼筋混凝土造,106年7月11日,十五層,八層
RPUOMLSJIINFFCH88CA,1,50.52,見其他登記事項,鋼筋混凝土造,106年7月11日,十五層,
RPUOMLSJIINFFCH88CA,1,17.51,見其他登記事項,鋼筋混凝土造,106年7月11日,十五層,
RPVNMLQLIINFFBH78CA,4,103.60,見其他登記事項,鋼筋混凝土造,103年7月21日,十五層,十層
RPVNMLQLIINFFBH78CA,4,53.63,見其他登記事項,鋼筋混凝土造,103年7月21日,十五層,
RPVNMLQLIINFFBH78CA,4,17.13,見其他登記事項,鋼筋混凝土造,103年7月21日,十五層,
RPPNMLOJIINFFCH87CA,18,131.56,見其他登記事項,鋼筋混凝土造,89年6月13日,二層,一層 二層 屋頂突出物
RPRPMLOJIINFFCH28CA,11,210.55,見其他登記事項,鋼筋混凝土造,96年4月26日,五層,一層 二層 三層 四層 五層
RPQNMLOJIINFFCH97CA,1,314.01,見其他登記事項,鋼筋混凝土造,107年1月16日,四層,一層 二層 三層 四層 見其他登記事項
RPTOMLQLIINFFBH68CA,1,112.66,見其他登記事項,鋼筋混凝土造,106年10月26日,十一層,七層
RPTOMLQLIINFFBH68CA,1,24.49,見其他登記事項,鋼筋混凝土造,106年10月26日,十一層,
RPTOMLQLIINFFBH68CA,1,59.02,見其他登記事項,鋼筋混凝土造,106年10月26日,十二層,
RPUOMLQLIINFFBH78CA,1,112.66,見其他登記事項,鋼筋混凝土造,106年10月26日,十二層,十二層
RPUOMLQLIINFFBH78CA,1,22.32,見其他登記事項,鋼筋混凝土造,106年10月26日,十二層,
RPUOMLQLIINFFBH78CA,1,59.02,見其他登記事項,鋼筋混凝土造,106年10月26日,十二層,
RPVOMLQLIINFFBH88CA,1,50.58,見其他登記事項,鋼筋混凝土造,106年10月26日,十二層,九層
RPVOMLQLIINFFBH88CA,1,10.87,見其他登記事項,鋼筋混凝土造,106年10月26日,十二層,
RPVOMLQLIINFFBH88CA,1,50.58,見其他登記事項,鋼筋混凝土造,106年10月26日,十二層,九層
RPVOMLQLIINFFBH88CA,1,28.14,見其他登記事項,鋼筋混凝土造,106年10月26日,十二層,
