編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPXOMLMJIINFFAH38CA,龍祥段,13.59,都市：商
RPUQMLNJIINFFAH38CA,中路三段,1483.11,都市：住
RPSRMLOJIINFFAH38CA,桃圳段,101.34,都市：住
RPUQMLMJIINFFAH28CA,桃鶯段,19.05,都市：住
RPSNMLPJIINFFAH08CA,和平段,29.17,都市：住
RPUPMLOJIINFFAH38CA,同德段,27.08,都市：商
RPWNMLMKIINFFAH28CA,龍鳳段,20.72,都市：住
RPWNMLMKIINFFAH28CA,龍鳳段,.07,都市：住
RPWNMLMKIINFFAH28CA,龍鳳段,.07,都市：住
RPWNMLMKIINFFAH28CA,龍鳳段,.41,都市：住
RPPOMLTJIINFFAH28CA,龍壽段,34.34,都市：工
RPUPMLPJIINFFAH48CA,桃鶯段,23.17,都市：住
RPPNMLSJIINFFAH08CA,新埔段,19.97,都市：商
RPPNMLSJIINFFAH08CA,新埔段,8.74,都市：住
RPPNMLSJIINFFAH08CA,新埔段,5.77,都市：住
RPPNMLSJIINFFAH08CA,新埔段,5.66,都市：住
RPQQMLMKIINFFAH97CA,埔子段埔子小段,16.76,都市：住
RPUQMLLJIINFFBH28CA,中興段,13.64,都市：住
RPXNMLPLIINFFAH78CA,中埔段,3.15,都市：其他
RPXNMLPLIINFFAH78CA,慈文段,.77,都市：其他
RPXNMLPLIINFFAH78CA,慈文段,3.19,都市：其他
RPOPMLSKIINFFAH28CA,中路三段,27.07,都市：住
RPROMLLMIINFFAH97CA,春日段,18.20,都市：住
RPRNMLMJIINFFBH77CA,雙嶺段,20.59,都市：商
RPSQMLQLIINFFAH68CA,水汴頭段,17.82,都市：商
RPWOMLMJIINFFBH38CA,內壢段,96.88,都市：農
RPWOMLMJIINFFBH38CA,內壢段,3.03,都市：農
RPQRMLMJIINFFBH08CA,復興段,51.00,都市：住
RPQRMLMJIINFFBH08CA,復興段,31.00,都市：住
RPOQMLQLIINFFAH28CA,水汴頭段,11.06,都市：商
RPVNMLNJIINFFBH28CA,雙嶺段,9.77,都市：住
RPVNMLNJIINFFBH28CA,雙嶺段,9.16,都市：住
RPVOMLLJIINFFBH18CA,工業區段二小段,78.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPORMLMJIINFFBH87CA,復興段,34.00,都市：住
RPWPMLNJIINFFBH58CA,青溪段,446.16,都市：住
RPOPMLMJIINFFBH67CA,內壢段,118.90,都市：農
RPOPMLMJIINFFBH67CA,內壢段,3.03,都市：農
RPRNMLNJIINFFBH87CA,華興段,46.05,都市：住
RPRNMLNJIINFFBH87CA,華興段,6.52,都市：住
RPVPMLPKIINFFBH78CA,工業區段二小段,4.43,非都市：工業區 ; 非都市編定：丁種建築用地
RPVPMLPKIINFFBH78CA,工業區段二小段,8.77,非都市：工業區 ; 非都市編定：丁種建築用地
RPPOMLRKIINFFBH28CA,環東段,10.20,都市：住
RPXRMLMJIINFFBH78CA,新富段,96.73,都市：住
RPTPMLPKIINFFBH58CA,工業區段二小段,4.43,非都市：工業區 ; 非都市編定：丁種建築用地
RPTPMLPKIINFFBH58CA,工業區段二小段,8.77,非都市：工業區 ; 非都市編定：丁種建築用地
RPQPMLSJIINFFBH48CA,工業區段二小段,8.66,非都市：工業區 ; 非都市編定：丁種建築用地
RPTNMLLKIINFFBH97CA,中工段,29.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPXNMLRKIINFFBH98CA,三座屋段舊社小段,16.82,都市：住
RPORMLOJIINFFBH08CA,廣福段,90.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVQMLOJIINFFBH68CA,廣福段,93.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQPMLMLIINFFBH08CA,普義段,24.84,都市：住
RPTOMLMJIINFFCH18CA,隆德段,1267.16,都市：其他
RPQNMLLJIINFFCH67CA,中庄段中庄小段,443.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLJIINFFCH67CA,中庄段中庄小段,96.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLJIINFFCH67CA,中庄段中庄小段,989.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLLJIINFFCH67CA,中庄段中庄小段,96.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNLIINFFBH08CA,雙嶺段,21.89,都市：住
RPTNMLNLIINFFBH28CA,雙嶺段,21.89,都市：住
RPSPMLLMIINFFBH28CA,忠孝段,24.99,都市：住
RPSPMLLMIINFFBH28CA,忠孝段,.52,都市：住
RPOQMLNLIINFFBH08CA,中壢埔頂段,121.00,都市：住
RPRNMLSJIINFFCH48CA,北興段,204.06,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPUOMLSJIINFFCH88CA,北興段,16.96,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPVNMLQLIINFFBH78CA,復興段,31.29,都市：住
RPPNMLOJIINFFCH87CA,仁善段,140.33,都市：住
RPRPMLOJIINFFCH28CA,黃唐段,62.51,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLOJIINFFCH97CA,仁善段,114.42,都市：住
RPTOMLQLIINFFBH68CA,復興段,33.07,都市：住
RPUOMLQLIINFFBH78CA,復興段,33.07,都市：住
RPVOMLQLIINFFBH88CA,復興段,14.74,都市：住
RPVOMLQLIINFFBH88CA,復興段,14.74,都市：住
RPWOMLSJIINFFCH09CA,北興段,14.56,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTNMLPJIINFFCH38CA,金龍段,36.46,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLLMIINFFCH18CA,仁善段,1.13,都市：住
RPSOMLNLIINFFCH38CA,中山段,84.39,都市：其他
RPSOMLNLIINFFCH38CA,中山段,83.94,都市：其他
RPSOMLNLIINFFCH38CA,中山段,122.79,都市：其他
RPTNMLLMIINFFCH28CA,仁善段,4.19,都市：住
RPTNMLLMIINFFCH28CA,太武段,10.09,都市：住
RPSNMLQLIINFFCH58CA,埔頂段,38.54,都市：住
RPPOMLTJIINFFCH48CA,烏林段,124.80,非都市：工業區 ; 非都市編定：丁種建築用地
RPRPMLTKIINFFCH88CA,三層段三層小段,77.66,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOQMLPJIINFFEH38CA,雙溪口段下縣厝子小段,440.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOQMLPJIINFFEH38CA,雙溪口段下縣厝子小段,350.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPQOMLLKIINFFEH08CA,水尾段,26.06,都市：其他
RPOOMLLKIINFFEH87CA,水尾段,303.06,都市：其他
RPPOMLLKIINFFEH97CA,水尾段,163.06,都市：其他
RPRNMLSJIINFFEH68CA,竹圍段拔子林小段,76.84,都市：住
RPXNMLLJIINFFFH68CA,茄明段,16.80,都市：住
RPOPMLQKIINFFCH28CA,金龍段,70.06,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLNJIINFFFH58CA,豐田段,18.34,都市：住
RPUNMLNJIINFFFH58CA,豐田段,16.71,都市：住
RPVNMLLKIINFFEH48CA,客運一段,33.63,都市：住
RPOOMLNJIINFFFH08CA,明智段,47.48,都市：住
RPVPMLMLIINFFEH88CA,河底段,20.26,都市：住
RPXNMLMKIINFFEH78CA,南崁廟口段蕃子厝小段,350.00,都市：工
RPXNMLMKIINFFEH78CA,南崁廟口段蕃子厝小段,3220.00,都市：工
RPXNMLMKIINFFEH78CA,南崁廟口段蕃子厝小段,5448.00,都市：工
RPXNMLMKIINFFEH78CA,南崁廟口段蕃子厝小段,4830.00,都市：工
RPVNMLOJIINFFFH78CA,永福段,9.78,都市：住
RPSQMLLKIINFFFH58CA,華興段,58.06,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLOLIINFFCH88CA,上華段,26.18,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPROMLLKIINFFFH28CA,高明段,25.04,都市：住
RPRNMLMJIINFFFH18CA,豐田段,24.46,都市：住
RPRNMLMJIINFFFH18CA,豐田段,13.17,都市：住
RPTOMLPLIINFFEH88CA,許厝港段,1735.19,非都市：一般農業區 ; 非都市編定：農牧用地
RPWNMLMKIINFFFH78CA,興仁段,15.01,都市：住
RPQNMLTJIINFFGH88CA,鎮興段,3254.53,非都市：特定農業區 ; 非都市編定：水利用地
RPPNMLMKIINFFFH08CA,大義段,54.15,都市：住
RPVNMLTJIINFFFH66CA,大竹段,1206.89,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLTJIINFFFH66CA,大竹段,175.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRQMLOJIINFFGH78CA,東金段,69.13,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSPMLKMIINFFEH48CA,南崁段,33.64,都市：住
RPVOMLQKIINFFFH56CA,福興段,29.65,都市：住
RPXQMLOJIINFFGH76CA,金星段,13.01,都市：住
RPXQMLOJIINFFGH76CA,金星段,63.00,都市：住
RPRNMLTJIINFFGH98CA,忠貞段,67.69,都市：住
RPOOMLLKIINFFGH08CA,金鍊段,17.53,都市：住
RPPOMLLKIINFFGH18CA,金鍊段,17.53,都市：住
RPQOMLLKIINFFGH28CA,金鍊段,23.27,都市：住
RPROMLLKIINFFGH38CA,金鍊段,23.27,都市：住
