編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPXOMLMJIINFFAH38CA,坡道平面,0,27.63
RPUQMLMJIINFFAH28CA,坡道平面,0,
RPSNMLPJIINFFAH08CA,坡道平面,1100000,28.10
RPUPMLOJIINFFAH38CA,坡道平面,1800000,24.98
RPUPMLOJIINFFAH38CA,坡道平面,1800000,24.98
RPWNMLMKIINFFAH28CA,坡道平面,1350000,34.29
RPUPMLPJIINFFAH48CA,坡道平面,0,31.27
RPPNMLSJIINFFAH08CA,坡道平面,0,
RPPNMLSJIINFFAH08CA,坡道平面,0,
RPPNMLSJIINFFAH08CA,坡道平面,0,
RPOPMLSKIINFFAH28CA,坡道平面,1600000,37.63
RPRNMLMJIINFFBH77CA,坡道平面,0,35.13
RPSQMLQLIINFFAH68CA,坡道平面,1550000,28.37
RPWOMLMJIINFFBH38CA,坡道平面,0,
RPOQMLQLIINFFAH28CA,坡道平面,1350000,28.37
RPOPMLMJIINFFBH67CA,坡道平面,0,
RPRNMLNJIINFFBH87CA,一樓平面,0,
RPXNMLRKIINFFBH98CA,坡道平面,0,
RPQPMLMLIINFFBH08CA,坡道平面,0,
RPRNMLNLIINFFBH08CA,坡道平面,1250000,38.96
RPTNMLNLIINFFBH28CA,坡道平面,1300000,38.96
RPSPMLLMIINFFBH28CA,坡道平面,0,
RPUOMLSJIINFFCH88CA,坡道平面,1050000,24.58
RPVNMLQLIINFFBH78CA,坡道平面,1200000,26.46
RPRPMLOJIINFFCH28CA,一樓平面,0,
RPTOMLQLIINFFBH68CA,坡道平面,1300000,31.29
RPUOMLQLIINFFBH78CA,坡道平面,1300000,31.29
RPVOMLQLIINFFBH88CA,坡道平面,1300000,31.29
RPWOMLSJIINFFCH09CA,坡道平面,1050000,26.82
RPSNMLQLIINFFCH58CA,坡道平面,0,
RPRNMLSJIINFFEH68CA,坡道平面,0,
RPXNMLLJIINFFFH68CA,坡道平面,1550000,47.44
RPOOMLNJIINFFFH08CA,坡道平面,0,
RPXNMLOLIINFFCH88CA,坡道平面,0,30.15
RPRNMLMJIINFFFH18CA,坡道平面,0,
RPRNMLMJIINFFFH18CA,坡道平面,0,
RPSPMLKMIINFFEH48CA,坡道平面,1550000,28.77
RPSPMLKMIINFFEH48CA,坡道平面,1550000,28.77
RPVOMLQKIINFFFH56CA,坡道平面,1500000,23.77
RPOOMLLKIINFFGH08CA,坡道平面,1150000,37.15
RPPOMLLKIINFFGH18CA,坡道平面,1250000,37.15
RPQOMLLKIINFFGH28CA,坡道平面,1250000,35.15
RPROMLLKIINFFGH38CA,坡道平面,1300000,37.15
RPTNMLSKIINFFFH09CA,坡道平面,1450000,29.25
RPXNMLMJIINFFHH98CA,坡道平面,0,
RPUOMLMLIINFFGH88CA,坡道平面,1300000,37.15
RPUPMLMLIINFFGH98CA,坡道平面,1250000,37.15
RPTPMLMLIINFFGH88CA,坡道平面,1150000,37.15
RPSPMLMLIINFFGH78CA,坡道平面,1100000,35.15
RPUOMLPJIINFFAH48DA,坡道平面,1500000,32.44
RPWPMLMLIINFFGH56CA,坡道平面,1250000,37.15
RPQPMLMJIINFFBH97DA,坡道平面,1150000,21.01
RPUNMLNJIINFFHH78CA,坡道平面,0,
RPUOMLTJIINFFAH88DA,坡道平面,1800000,33.84
RPSNMLTJIINFFCH88EA,坡道平面,0,
RPVOMLMLIINFFGH98CA,坡道平面,1250000,37.15
RPTOMLMLIINFFGH78CA,坡道平面,1200000,35.15
RPUNMLPJIINFFGH98DA,坡道平面,0,21.01
RPPNMLRLIINFFHH88CA,坡道平面,1500000,30.30
RPPNMLOLIINFFHH58CA,坡道平面,0,
RPWQMLMKIINFFAH68DA,坡道平面,1200000,
