鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
嘉義市,土地,短竹段91~120地號,19.63,農,,,1070921,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,25471,,0.0,0,,RPUNMLMJIINFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義市北興街503巷1~30號,68.0,住,,,1070925,土地2建物1車位0,全,一層,透天厝,住家用,木造,0600304,52.45,2,2,1,有,無,2150000,40991,,0.0,0,,RPXNMLMJIINFFAI38CA
嘉義市,土地,竹圍子段1~30地號,63.67,住,,,1070809,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1442000,22648,,0.0,0,,RPUNMLOJIINFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市僑和街76巷1~30號,64.0,住,,,1070812,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0690529,78.57,6,2,3,有,無,2810000,35764,,0.0,0,,RPOOMLSJIINFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義市長榮街60巷1~30號,71.0,住,,,1070903,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0620615,95.66,6,2,3,有,無,4200000,43905,,0.0,0,,RPTNMLMKIINFFAI08CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市大雅路一段368巷121~150號,201.18,農,,,1070829,土地8建物1車位2,二層,四層,公寓(5樓含以下無電梯),住家用,見其他登記事項,1050503,287.97,2,2,3,有,有,14680000,50978,一樓平面,0.0,0,本標的有電梯,RPQNMLPLIINFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義市仁愛路1~30號,8.72,住,,,1070913,土地1建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0800823,48.02,0,0,0,無,無,1200000,24990,,0.0,0,,RPQNMLOJIINFFAI08EA
嘉義市,土地,軍輝段661~690地號,30.0,住,,,1070919,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,60000,,0.0,0,,RPUNMLSJIINFFAI88EA
嘉義市,房地(土地+建物),嘉義市嘉義市仁義新村31~60號,42.64,住,,,1070921,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0710503,85.0,3,2,2,有,無,2860000,33647,,0.0,0,,RPRPMLPKIINFFAI38CA
嘉義市,土地,湖子內段新民小段181~210地號,454.33,住,,,1070806,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21000000,46222,,0.0,0,,RPTOMLPKIINFFAI48CA
嘉義市,房地(土地+建物)+車位,嘉義市嘉義市福全街31~60號,21.55,住,,,1070819,土地3建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820510,113.33,3,2,2,有,有,3900000,34413,坡道機械,0.0,0,,RPXOMLPKIINFFAI88CA
嘉義市,土地,車店段車店小段541~570地號,111.0,住,,,1070808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10600000,95495,,0.0,0,,RPOPMLPKIINFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義市芳安路337巷1~30號,34.7,住,,,1070913,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690813,109.52,3,2,2,有,無,2500000,22827,,0.0,0,,RPSNMLTJIINFFAI58CA
嘉義市,房地(土地+建物),嘉義市嘉義市金龍街61~90號,6.3,住,,,1070904,土地1建物1車位0,四層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840519,50.99,1,1,1,有,有,1660000,32555,,0.0,0,,RPWNMLTJIINFFAI98CA
嘉義市,房地(土地+建物),嘉義市嘉義市玉康路421~450號,122.0,住,,,1070914,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1070730,298.38,5,3,5,有,無,15000000,50271,,0.0,0,,RPSOMLPJIINFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市玉康路421~450號,122.0,住,,,1070914,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1070730,298.38,5,3,5,有,無,15000000,50271,,0.0,0,,RPTOMLPJIINFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市玉康路421~450號,124.0,住,,,1070914,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1070730,302.99,5,3,5,有,無,15000000,49507,,0.0,0,,RPUOMLPJIINFFAI48CA
嘉義市,土地,竹圍子段友愛小段181~210地號,16.61,住,,,1070816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,922000,55509,,0.0,0,,RPTOMLNJIINFFAI18CA
嘉義市,房地(土地+建物),嘉義市嘉義市保安一路391~420號,99.0,住,,,1070810,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0800124,161.1,4,2,4,有,無,7600000,47176,,0.0,0,二親等間買賣。,RPPNMLOJIINFFAI77CA
嘉義市,房地(土地+建物),嘉義市嘉義市中山路241~270號,99.0,住,,,1070726,土地2建物1車位0,全,三層,透天厝,住商用,見使用執照,0530110,245.98,3,1,1,有,無,17968500,73049,,0.0,0,,RPSNMLOJIINFFAI08CA
嘉義市,房地(土地+建物),嘉義市嘉義市民族路601~630號,4.91,住,,,1070824,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811029,39.17,1,0,1,有,有,700000,17871,,0.0,0,,RPRNMLLKIINFFAI97EA
嘉義市,土地,竹圍子段181~210地號,40.0,住,,,1070730,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,17500,,0.0,0,,RPOOMLMLIINFFAI97EA
嘉義市,房地(土地+建物),嘉義市嘉義市小雅路181~210號,4.64,住,,,1070926,土地1建物1車位0,四層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820609,39.07,2,1,1,有,有,1300000,33274,,0.0,0,,RPVNMLOJIINFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市蘭井街151~180號,9.39,住,,,1070911,土地1建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800626,67.16,1,1,1,有,無,1350000,20101,,0.0,0,,RPRNMLPJIINFFAI08CA
嘉義市,土地,湖子內段新民小段121~150地號,1291.49,商,,,1070910,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,59980000,46442,,0.0,0,,RPVOMLPJIINFFAI58CA
嘉義市,土地,車店段車店小段601~630地號,533.0,住,,,1070607,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,33858300,63524,,0.0,0,,RPPNMLQJIINFFAI97CA
嘉義市,房地(土地+建物),嘉義市嘉義市貴州街31~60號,20.22,住,,,1070924,土地2建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810728,127.41000000000001,3,2,2,有,有,3900000,30610,,0.0,0,,RPQOMLSJIINFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市宣信街121~150號,66.0,住,,,1070913,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0641105,84.38,4,2,2,有,無,3100000,36739,,0.0,0,,RPQNMLTJIINFFAI38CA
嘉義市,房地(土地+建物),嘉義市嘉義市公園街151~180號,21.38,住,,,1070910,土地1建物2車位0,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831219,117.52,3,2,2,有,有,4300000,36586,,0.0,0,,RPQNMLSJIINFFAI28CA
嘉義市,房地(土地+建物),嘉義市嘉義市長安街91~120號,23.47,住,,,1070910,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821027,126.84,3,2,2,有,有,3800000,29959,,0.0,0,,RPQPMLPKIINFFAI28CA
嘉義市,土地,中庄段841~870地號,850.0,住,,,1070725,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,67700000,79647,,0.0,0,,RPUNMLMKIINFFAI18CA
