編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLSJIINFFAI18CA,38,78.57,住家用,鋼筋混凝土加強磚造,69年5月29日,二層,一層 二層
RPRPMLPKIINFFAI38CA,36,75.14,見其他登記事項,鋼筋混凝土造,71年5月3日,五層,二層
RPRPMLPKIINFFAI38CA,36,9.86,共有部份,鋼筋混凝土造,71年5月3日,五層,
RPXOMLPKIINFFAI88CA,25,77.89,住家用,鋼筋混凝土造,82年5月10日,七層,五層
RPXOMLPKIINFFAI88CA,25,20.80,共有部份,鋼筋混凝土造,82年5月10日,七層,
RPXOMLPKIINFFAI88CA,25,14.64,共有部份,鋼筋混凝土造,82年5月10日,七層,
RPXNMLMJIINFFAI38CA,48,52.45,住家用,木造,60年3月4日,一層,一層 騎樓
RPQNMLOJIINFFAI08EA,27,42.63,住家用,鋼筋混凝土造,80年8月23日,七層,三層
RPQNMLOJIINFFAI08EA,27,5.39,共有部份,鋼筋混凝土造,80年8月23日,七層,
RPTNMLMKIINFFAI08CA,45,95.66,住家用,鋼筋混凝土加強磚造,62年6月15日,二層,一層 二層 電梯樓梯間
RPSNMLOJIINFFAI08CA,55,245.98,住商用,見使用執照,53年1月10日,三層,一層 二層 三層 騎樓
RPQNMLPLIINFFAI18CA,2,187.69,住家用,見其他登記事項,105年5月3日,四層,二層
RPQNMLPLIINFFAI18CA,2,99.94,見其他登記事項,見其他登記事項,105年5月3日,四層,
RPQNMLPLIINFFAI18CA,2,.35,見其他登記事項,見其他登記事項,105年5月3日,一層,
RPPNMLOJIINFFAI77CA,28,161.10,住家用,鋼筋混凝土加強磚造,80年1月24日,三層,一層 二層 三層
RPWNMLTJIINFFAI98CA,23,3.45,住家用,鋼筋混凝土造,84年5月19日,十五層,
RPWNMLTJIINFFAI98CA,23,12.23,共有部份,鋼筋混凝土造,84年5月19日,十五層,
RPWNMLTJIINFFAI98CA,23,.22,共有部份,鋼筋混凝土造,84年5月19日,十五層,
RPWNMLTJIINFFAI98CA,23,.71,住家用,鋼筋混凝土造,84年5月19日,十五層,
RPWNMLTJIINFFAI98CA,23,.15,共有部份,鋼筋混凝土造,84年5月19日,十五層,
RPWNMLTJIINFFAI98CA,23,34.22,住家用,鋼筋混凝土造,84年5月19日,十五層,四層
RPSNMLTJIINFFAI58CA,38,109.52,住家用,鋼筋混凝土造,69年8月13日,五層,三層
RPVNMLOJIINFFAI38CA,25,28.30,住家用,鋼筋混凝土造,82年6月9日,十六層,四層
RPVNMLOJIINFFAI38CA,25,4.66,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPVNMLOJIINFFAI38CA,25,6.11,共有部份,鋼筋混凝土造,82年6月9日,十六層,
RPQOMLSJIINFFAI38CA,26,100.54,住家用,鋼筋混凝土造,81年7月28日,十四層,九層
RPQOMLSJIINFFAI38CA,26,15.33,共有部份,鋼筋混凝土造,81年7月28日,十四層,
RPQOMLSJIINFFAI38CA,26,11.55,共有部份,鋼筋混凝土造,81年7月28日,十四層,
RPQNMLSJIINFFAI28CA,24,93.09,住家用,鋼筋混凝土造,83年12月19日,十四層,十一層
RPQNMLSJIINFFAI28CA,24,23.83,共有部份,鋼筋混凝土造,83年12月19日,十四層,
RPQNMLSJIINFFAI28CA,24,.48,見其他登記事項,鋼筋混凝土造,83年12月19日,十四層,
RPQNMLSJIINFFAI28CA,24,.12,共有部份,鋼筋混凝土造,83年12月19日,十四層,
RPRNMLPJIINFFAI08CA,27,48.62,住家用,鋼筋混凝土造,80年6月26日,六層,四層
RPRNMLPJIINFFAI08CA,27,18.54,共有部份,鋼筋混凝土造,80年6月26日,六層,
RPRNMLLKIINFFAI97EA,26,30.65,住家用,鋼筋混凝土造,81年10月29日,十層,七層
RPRNMLLKIINFFAI97EA,26,1.60,共有部份,鋼筋混凝土造,81年10月29日,十層,
RPRNMLLKIINFFAI97EA,26,2.24,共有部份,鋼筋混凝土造,81年10月29日,十層,
RPRNMLLKIINFFAI97EA,26,4.68,共有部份,鋼筋混凝土造,81年10月29日,十層,
RPQNMLTJIINFFAI38CA,43,84.38,住家用,鋼筋混凝土加強磚造,64年11月5日,二層,一層 二層
RPSOMLPJIINFFAI28CA,,298.38,見其他登記事項,見其他登記事項,107年7月30日,四層,一層 二層 三層 四層 見其他登記事項
RPTOMLPJIINFFAI38CA,,298.38,見其他登記事項,見其他登記事項,107年7月30日,四層,一層 二層 三層 四層 見其他登記事項
RPUOMLPJIINFFAI48CA,,302.99,見其他登記事項,見其他登記事項,107年7月30日,四層,一層 二層 三層 四層 見其他登記事項
RPTNMLPKIINFFAI38CA,84,78.32,住家用,見使用執照,24年2月15日,二層,一層 二層 騎樓
RPQPMLPKIINFFAI28CA,25,97.00,住家用,鋼筋混凝土造,82年10月27日,九層,六層
RPQPMLPKIINFFAI28CA,25,15.43,共有部份,鋼筋混凝土造,82年10月27日,九層,
RPQPMLPKIINFFAI28CA,25,14.42,共有部份,鋼筋混凝土造,82年10月27日,十層,
RPOPMLRKIINFFAI28CA,25,43.69,住家用,鋼筋混凝土造,82年3月17日,八層,八層
RPOPMLRKIINFFAI28CA,25,16.46,共有部份,鋼筋混凝土造,82年3月17日,八層,
RPXOMLMLIINFFAI68CA,1,167.76,見其他登記事項,見其他登記事項,107年6月20日,三層,一層 二層 三層 見其他登記事項
RPVOMLMLIINFFAI48CA,1,178.79,見其他登記事項,見其他登記事項,107年6月20日,三層,一層 二層 三層 見其他登記事項
RPOPMLMLIINFFAI87CA,1,178.79,見其他登記事項,見其他登記事項,107年6月20日,三層,一層 二層 三層 見其他登記事項
RPROMLMLIINFFAI08CA,1,208.50,見其他登記事項,見其他登記事項,107年6月20日,三層,一層 二層 三層 見其他登記事項
RPSOMLMLIINFFAI18CA,1,222.34,見其他登記事項,見其他登記事項,107年6月20日,三層,一層 二層 三層 見其他登記事項
RPPPMLMLIINFFAI97CA,1,167.63,見其他登記事項,見其他登記事項,107年6月20日,三層,一層 二層 三層 見其他登記事項
RPTOMLMLIINFFAI28CA,1,167.63,見其他登記事項,見其他登記事項,107年6月20日,三層,一層 二層 三層 見其他登記事項
RPUOMLMLIINFFAI38CA,1,178.92,見其他登記事項,見其他登記事項,107年6月20日,三層,一層 二層 三層 見其他登記事項
RPQPMLMLIINFFAI08CA,1,175.52,見其他登記事項,見其他登記事項,107年6月22日,三層,一層 二層 三層 見其他登記事項
RPVNMLPKIINFFAI58CA,22,83.36,住家用,鋼筋混凝土造,86年1月31日,十四層,十二層
RPVNMLPKIINFFAI58CA,22,9.19,共有部份,鋼筋混凝土造,86年1月31日,十四層,
RPVNMLPKIINFFAI58CA,22,14.42,共有部份,鋼筋混凝土造,86年1月31日,十四層,
RPQNMLMLIINFFAI87CA,1,178.92,見其他登記事項,見其他登記事項,106年8月16日,三層,一層 二層 三層 見其他登記事項
RPSNMLMLIINFFAI08CA,20,103.03,住家用,鋼筋混凝土造,87年4月21日,十六層,十二層
RPSNMLMLIINFFAI08CA,20,22.08,共有部份,鋼筋混凝土造,87年4月21日,十六層,
RPSNMLMLIINFFAI08CA,20,25.22,共有部份,鋼筋混凝土造,87年4月21日,十六層,
RPSNMLMLIINFFAI08CA,20,107.96,住家用,鋼筋混凝土造,87年4月21日,十六層,十二層
RPSNMLMLIINFFAI08CA,20,23.49,共有部份,鋼筋混凝土造,87年4月21日,十六層,
RPSNMLMLIINFFAI08CA,20,25.63,共有部份,鋼筋混凝土造,87年4月21日,十六層,
RPXNMLKMIINFFAI48CA,1,203.05,見其他登記事項,見其他登記事項,107年2月22日,三層,一層 二層 三層 見其他登記事項
RPXNMLKMIINFFAI48CA,1,1.00,見其他登記事項,見其他登記事項,107年2月22日,十層,
RPXOMLQLIINFFAI09CA,27,17.30,見其他登記事項,鋼筋混凝土造,80年11月25日,十層,地下層
RPXOMLQLIINFFAI09CA,27,71.28,住家用,鋼筋混凝土造,80年11月25日,十層,六層
RPXOMLQLIINFFAI09CA,27,18.11,共有部份,鋼筋混凝土造,80年11月25日,十層,
RPQNMLRKIINFFAI28CA,47,80.08,住家用,木造,60年9月28日,二層,一層 二層 騎樓
RPQNMLPKIINFFAI08CA,25,66.66,住家用,鋼筋混凝土造,82年5月25日,十層,十層
RPQNMLPKIINFFAI08CA,25,12.47,共有部份,鋼筋混凝土造,82年5月25日,十層,
RPQNMLPKIINFFAI08CA,25,8.98,共有部份,鋼筋混凝土造,82年5月25日,十層,
RPPNMLNKIINFFAI77CA,24,97.28,住家用,鋼筋混凝土造,84年3月6日,十層,三層
