編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLSJIINFFAI18CA,竹圍子段,64.00,都市：住
RPUNMLSJIINFFAI88EA,軍輝段,2.00,都市：其他
RPUNMLSJIINFFAI88EA,軍輝段,4.00,都市：住
RPUNMLSJIINFFAI88EA,軍輝段,24.00,都市：住
RPOPMLPKIINFFAI08CA,車店段車店小段,111.00,都市：住
RPTOMLPKIINFFAI48CA,湖子內段新民小段,454.33,都市：住
RPRPMLPKIINFFAI38CA,中庄段,42.64,都市：住
RPXOMLPKIINFFAI88CA,竹圍子段,7.80,都市：住
RPXOMLPKIINFFAI88CA,竹圍子段,10.63,都市：住
RPXOMLPKIINFFAI88CA,竹圍子段,3.11,都市：住
RPUNMLMJIINFFAI08CA,短竹段,19.63,都市：農
RPXNMLMJIINFFAI38CA,北社尾段,67.00,都市：住
RPXNMLMJIINFFAI38CA,北社尾段,1.00,都市：住
RPUNMLOJIINFFAI28CA,竹圍子段,52.67,都市：住
RPUNMLOJIINFFAI28CA,竹圍子段,11.00,都市：住
RPQNMLOJIINFFAI08EA,車店段車店小段,8.72,都市：住
RPTOMLNJIINFFAI18CA,竹圍子段友愛小段,16.61,都市：住
RPTNMLMKIINFFAI08CA,山下段,71.00,都市：住
RPSNMLOJIINFFAI08CA,北門段五小段,44.00,都市：住
RPSNMLOJIINFFAI08CA,北門段五小段,55.00,都市：住
RPQNMLPLIINFFAI18CA,盧東段,32.12,都市：農
RPQNMLPLIINFFAI18CA,盧東段,37.38,都市：農
RPQNMLPLIINFFAI18CA,盧東段,12.96,都市：農
RPQNMLPLIINFFAI18CA,盧東段,111.04,都市：農
RPQNMLPLIINFFAI18CA,盧東段,.48,都市：農
RPQNMLPLIINFFAI18CA,盧東段,.42,都市：農
RPQNMLPLIINFFAI18CA,盧東段,4.80,都市：農
RPQNMLPLIINFFAI18CA,盧東段,1.98,都市：農
RPPNMLOJIINFFAI77CA,北社尾段,90.00,都市：住
RPPNMLOJIINFFAI77CA,北社尾段,9.00,都市：住
RPWNMLTJIINFFAI98CA,東川段,6.30,都市：住
RPVOMLPJIINFFAI58CA,湖子內段新民小段,1110.72,都市：商
RPVOMLPJIINFFAI58CA,湖子內段新民小段,180.77,都市：商
RPSNMLTJIINFFAI58CA,下路頭段,21.65,都市：住
RPSNMLTJIINFFAI58CA,下路頭段,13.05,都市：住
RPPNMLQJIINFFAI97CA,車店段車店小段,533.00,都市：住
RPVNMLOJIINFFAI38CA,短竹段,4.64,都市：住
RPQOMLSJIINFFAI38CA,車店段,19.06,都市：住
RPQOMLSJIINFFAI38CA,車店段,1.16,都市：住
RPQNMLSJIINFFAI28CA,東川段,21.38,都市：住
RPRNMLPJIINFFAI08CA,元段五小段,9.39,都市：住
RPUNMLMKIINFFAI18CA,中庄段,850.00,都市：住
RPRNMLLKIINFFAI97EA,新富段四小段,4.91,都市：住
RPQNMLTJIINFFAI38CA,下路頭段,66.00,都市：住
RPSOMLPJIINFFAI28CA,港子坪段港坪小段,122.00,都市：住
RPTOMLPJIINFFAI38CA,港子坪段港坪小段,122.00,都市：住
RPUOMLPJIINFFAI48CA,港子坪段港坪小段,124.00,都市：住
RPTNMLPKIINFFAI38CA,北門段六小段,72.00,都市：商
RPQPMLPKIINFFAI28CA,埤子頭段,23.47,都市：住
RPOOMLMLIINFFAI97EA,竹圍子段,40.00,都市：住
RPOPMLRKIINFFAI28CA,竹圍子段中興小段,8.21,都市：商
RPVOMLMLIINFFAI48CA,湖子內段興安小段,90.10,都市：住
RPOPMLMLIINFFAI87CA,湖子內段興安小段,90.10,都市：住
RPROMLMLIINFFAI08CA,湖子內段興安小段,114.93,都市：住
RPWOMLMLIINFFAI58CA,湖子內段興安小段,90.10,都市：住
RPPNMLPJIINFFAI08EA,玉川段,13.00,都市：住
RPSOMLMLIINFFAI18CA,湖子內段興安小段,112.74,都市：住
RPPPMLMLIINFFAI97CA,湖子內段興安小段,90.10,都市：住
RPTOMLMLIINFFAI28CA,湖子內段興安小段,90.11,都市：住
RPUOMLMLIINFFAI38CA,湖子內段興安小段,90.11,都市：住
RPXNMLNJIINFFAI68EA,北門段七小段,24.74,都市：商
RPQPMLMLIINFFAI08CA,湖子內段興安小段,92.70,都市：住
RPVNMLPKIINFFAI58CA,興村段,12.60,都市：住
RPQNMLMLIINFFAI87CA,湖內段,29.67,都市：住
RPQNMLMLIINFFAI87CA,湖內段,80.00,都市：住
RPQNMLMLIINFFAI87CA,湖內段,6.00,都市：住
RPSNMLSJIINFFAI48CA,下路頭段,18.00,都市：住
RPVNMLQLIINFFAI78CA,下路頭段,556.00,都市：住
RPVNMLQLIINFFAI78CA,下路頭段,730.00,都市：住
RPVNMLQLIINFFAI78CA,下路頭段,403.00,都市：住
RPWNMLQLIINFFAI88CA,下路頭段,78.00,都市：其他
RPSNMLMLIINFFAI08CA,長竹段,41.96,都市：住
RPSOMLQLIINFFAI58CA,盧厝段,455.00,都市：農
RPSOMLQLIINFFAI58CA,盧厝段,1.00,都市：農
RPSOMLQLIINFFAI58CA,盧厝段,1.00,都市：農
RPSOMLQLIINFFAI58CA,盧厝段,1.00,都市：農
RPOOMLLKIINFFAI57CA,民族段四小段,102.00,都市：住
RPOOMLLKIINFFAI57CA,民族段四小段,1.00,都市：住
RPOOMLLKIINFFAI57CA,民族段四小段,3.00,都市：住
RPOOMLLKIINFFAI57CA,民族段四小段,1.00,都市：住
RPOOMLLKIINFFAI57CA,民族段四小段,3.00,都市：住
RPXNMLKMIINFFAI48CA,竹圍子段,.50,都市：住
RPXNMLKMIINFFAI48CA,竹圍子段,23.15,都市：住
RPXNMLKMIINFFAI48CA,竹圍子段,91.00,都市：住
RPXOMLQLIINFFAI09CA,埤子頭段,25.86,都市：住
RPOOMLQLIINFFAI18CA,下埤段,1200.34,都市：農
RPQNMLRKIINFFAI28CA,頂庄段,47.00,都市：住
RPQNMLPKIINFFAI08CA,北園段,12.64,都市：住
RPPNMLNKIINFFAI77CA,湖內段,21.68,都市：住
RPVOMLQLIINFFAI88CA,車店段,34.00,都市：住
RPVOMLQLIINFFAI88CA,白川段,46.00,都市：住
RPQNMLQJIINFFAI08CA,盧厝段,56.00,都市：住
RPPNMLKMIINFFAI67CA,同興段,15.03,都市：住
RPTNMLNLIINFFAI28CA,短竹段,.63,都市：住
RPTNMLNLIINFFAI28CA,短竹段,9.89,都市：住
RPOOMLNLIINFFAI87CA,盧厝段,5.36,都市：住
RPOOMLNLIINFFAI87CA,盧厝段,72.16,都市：住
RPSNMLQLIINFFAI48CA,遠東段,17.20,都市：住
RPPOMLPJIINFFAI97CA,湖子內段興安小段,114.67,都市：住
RPWNMLSJIINFFAI09EA,車店段,30.00,都市：住
RPWNMLSJIINFFAI09EA,車店段,3.50,都市：住
RPQNMLNKIINFFAI87CA,下路頭段,76.00,都市：住
RPSNMLLKIINFFAI87CA,劉厝段劉厝小段,5.22,都市：商
RPQNMLLMIINFFAI87CA,湖子內段興安小段,90.10,都市：住
RPQNMLLKIINFFAI87EA,新富段四小段,2.73,都市：商
