鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路五段241~270號,23.77,住,,,1070822,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070613,152.44,2,2,1,有,有,10050000,74373,坡道平面,34.79,1300000,,RPPOMLMJIINFFBJ87CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市興隆路五段241~270號,22.07,住,,,1070822,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070613,143.95,2,2,1,有,有,9200000,74203,坡道平面,34.79,1100000,,RPQOMLMJIINFFBJ97CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市成功三路1~30號,31.69,住,,,1070823,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010921,190.55,3,2,2,有,有,13400000,70323,坡道平面,18.88,0,含增建。,RPVOMLOJIINFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市光明六路東二段421~450號,53.53,商,,,1070529,土地1建物1車位3,十六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050328,486.33,0,0,4,無,有,46480000,105681,坡道平面,80.58,3600000,,RPTPMLOJIINFFBJ58CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市福興東路二段121~150號,39.58,住,,,1070902,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061020,271.19,4,2,2,有,有,20800000,94266,坡道平面,79.18,2700000,,RPSOMLTJIINFFBJ88CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市文興路271~300號,92.09,住,,,1070426,土地1建物1車位4,二十五層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040727,552.13,4,2,4,有,有,51000000,103632,坡道平面,106.32,4800000,,RPSOMLLKIINFFBJ18CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市勝利八街二段121~150號,30.61,住,,,1070814,土地1建物1車位1,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050913,187.01,4,2,2,有,有,14500000,77536,坡道平面,29.88,0,,RPPSMLMKIINFFBJ38CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市自強北路168巷1~30號,30.85,住,,,1070805,土地1建物1車位2,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940131,182.11,3,2,2,有,有,9800000,53814,坡道平面,0.0,0,,RPWOMLPKIINFFBJ98CA
竹北市,房地(土地+建物),新竹縣竹北市光明九路31~60號,6.83,住,,,1070724,土地1建物1車位0,九層,十一層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0910627,46.03,1,1,1,有,有,2900000,63002,,0.0,0,,RPSOMLQKIINFFBJ68CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市縣政二路南段61~90號,22.59,住,,,1070808,土地1建物1車位1,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061129,139.35000000000002,2,1,1,有,有,9200000,78924,坡道平面,38.62,1250000,,RPUNMLSKIINFFBJ98CA
竹北市,房地(土地+建物)+車位,新竹縣竹北市莊敬三路271~300號,18.29,商,,,1070902,土地1建物1車位2,二十層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040417,241.4,4,2,2,有,有,18850000,78089,坡道平面,0.0,2200000,,RPPNMLSLIINFFBJ58CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮東峰路496巷1~30號,125.46,,山坡地保育區,農牧用地,1070920,土地4建物1車位2,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1060831,138.72,4,2,2,有,無,8500000,61275,其他,0.0,0,,RPVOMLLJIINFFCJ48CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮至善路85巷121~150號,145.45,,山坡地保育區,丙種建築用地,1070824,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0870126,197.71,4,2,4,有,有,8280000,41880,,0.0,0,,RPXNMLOJIINFFCJ88CA
尖石鄉,土地,義興段北角小段61~90地號,5430.0,,山坡地保育區,農牧用地,1070813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3100000,571,,0.0,0,,RPXNMLLKIINFFCJ68CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮和江街156巷1~30號,15.03,商,,,1070911,土地2建物1車位0,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850506,107.52000000000001,3,2,2,有,有,3150000,29297,,0.0,0,,RPPOMLQKIINFFCJ48CA
竹東鎮,房地(土地+建物),新竹縣竹東鎮竹榮街1~30號,78.6,商,,,1070816,土地2建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,1010725,227.3,5,2,5,有,無,11800000,51914,,0.0,0,買賣移轉代書代辦費由買賣雙方各負擔1/2。,RPSNMLTKIINFFCJ98CA
