編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTPMLOJIINFFBJ58CA,2,295.69,住家用,鋼筋混凝土造,105年3月28日,二十九層,十六層
RPTPMLOJIINFFBJ58CA,2,41.67,見其他登記事項,鋼筋混凝土造,105年3月28日,二十九層,
RPTPMLOJIINFFBJ58CA,2,148.96,見其他登記事項,鋼筋混凝土造,105年3月28日,二十九層,
RPPSMLMKIINFFBJ38CA,2,.07,見其他登記事項,鋼筋混凝土造,105年9月13日,一層,一層
RPPSMLMKIINFFBJ38CA,2,.04,見其他登記事項,鋼筋混凝土造,105年9月13日,二十三層,
RPPSMLMKIINFFBJ38CA,2,105.17,住家用,鋼筋混凝土造,105年9月13日,二十三層,二十一層
RPPSMLMKIINFFBJ38CA,2,61.54,見其他登記事項,鋼筋混凝土造,105年9月13日,二十三層,
RPPSMLMKIINFFBJ38CA,2,20.19,見其他登記事項,鋼筋混凝土造,105年9月13日,二十三層,
RPSOMLLKIINFFBJ18CA,3,302.58,住家用,鋼筋混凝土造,104年7月27日,二十六層,二十五層
RPSOMLLKIINFFBJ18CA,3,249.55,見其他登記事項,鋼筋混凝土造,104年7月27日,二十六層,
RPQOMLMJIINFFBJ97CA,,72.33,住家用,鋼筋混凝土造,107年6月13日,十四層,八層
RPQOMLMJIINFFBJ97CA,,71.62,見其他登記事項,鋼筋混凝土造,107年6月13日,十四層,
RPPOMLMJIINFFBJ87CA,,78.16,住家用,鋼筋混凝土造,107年6月13日,十四層,七層
RPPOMLMJIINFFBJ87CA,,74.28,見其他登記事項,鋼筋混凝土造,107年6月13日,十四層,
RPVOMLOJIINFFBJ68CA,6,116.50,住家用,鋼筋混凝土造,101年9月21日,十五層,三層
RPVOMLOJIINFFBJ68CA,6,74.05,見其他登記事項,鋼筋混凝土造,101年9月21日,十五層,
RPWOMLPKIINFFBJ98CA,14,101.49,住家用,鋼筋混凝土造,94年1月31日,十四層,十二層
RPWOMLPKIINFFBJ98CA,14,13.86,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPWOMLPKIINFFBJ98CA,14,15.68,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPWOMLPKIINFFBJ98CA,14,.02,見其他登記事項,鋼筋混凝土造,94年1月31日,十四層,地下一層
RPWOMLPKIINFFBJ98CA,14,.00,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPWOMLPKIINFFBJ98CA,14,51.06,共用部分,鋼筋混凝土造,94年1月31日,十四層,
RPUNMLSKIINFFBJ98CA,1,67.23,住家用,鋼筋混凝土造,106年11月29日,十七層,四層
RPUNMLSKIINFFBJ98CA,1,11.66,見其他登記事項,鋼筋混凝土造,106年11月29日,十七層,
RPUNMLSKIINFFBJ98CA,1,21.83,見其他登記事項,鋼筋混凝土造,106年11月29日,十七層,
RPUNMLSKIINFFBJ98CA,1,38.62,見其他登記事項,鋼筋混凝土造,106年11月29日,十七層,
RPVOMLLJIINFFCJ48CA,1,138.72,見其他登記事項,鋼筋混凝土造,106年8月31日,三層,一層 二層 三層 見其他登記事項
