編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTPMLOJIINFFBJ58CA,世興段,53.53,都市：商
RPPSMLMKIINFFBJ38CA,莊敬段,30.61,都市：住
RPSOMLLKIINFFBJ18CA,自強段,92.09,都市：住
RPQOMLMJIINFFBJ97CA,隘興段,22.07,都市：住
RPPOMLMJIINFFBJ87CA,隘興段,23.77,都市：住
RPVOMLOJIINFFBJ68CA,公園段,31.69,都市：住
RPWOMLPKIINFFBJ98CA,大學段,30.85,都市：住
RPUNMLSKIINFFBJ98CA,台科段,22.59,都市：住
RPVOMLLJIINFFCJ48CA,員崠段,50.80,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLLJIINFFCJ48CA,員崠段,10.84,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLLJIINFFCJ48CA,員崠段,4.26,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLLJIINFFCJ48CA,員崠段,59.56,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPXNMLOJIINFFCJ88CA,上段,103.30,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXNMLOJIINFFCJ88CA,上段,42.15,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPPNMLSLIINFFBJ58CA,莊敬段,18.29,都市：商
RPSOMLQKIINFFBJ68CA,縣福段,6.83,都市：住
RPSOMLMJIINFFDJ38CA,勝利段,17.01,非都市：一般農業區 ; 非都市編定：水利用地
RPROMLMJIINFFDJ28CA,三元段,803.76,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLMJIINFFDJ97CA,三元段,182.10,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLLKIINFFCJ68CA,義興段北角小段,5430.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLTJIINFFBJ88CA,永興段,39.58,都市：住
RPPOMLQKIINFFCJ48CA,資源段,4.99,都市：住
RPPOMLQKIINFFCJ48CA,資源段,10.04,都市：商
RPWNMLLJIINFFDJ58CA,中興段復興小段,20.46,非都市：工業區 ; 非都市編定：丁種建築用地
RPXNMLLJIINFFDJ68CA,榮華段,96.95,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLQLIINFFCJ88CA,濫子段薯園小段,504.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLQLIINFFCJ88CA,濫子段薯園小段,2861.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSOMLQLIINFFCJ88CA,濫子段薯園小段,631.00,非都市：山坡地保育區 ; 非都市編定：水利用地
RPXNMLSJIINFFDJ76CA,福陽段,111.44,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLTKIINFFCJ98CA,竹東段竹東小段,50.00,都市：商
RPSNMLTKIINFFCJ98CA,竹東段竹東小段,28.60,都市：商
RPOPMLNJIINFFDJ18CA,勝利段,114.72,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLTJIINFFDJ66CA,文昌段,22.37,都市：住
RPSOMLTJIINFFDJ09CA,文昌段,23.22,都市：住
RPTOMLTJIINFFDJ56CA,文昌段,24.99,都市：住
RPROMLLMIINFFCJ38CA,中山段,14.00,都市：住
RPROMLLMIINFFCJ38CA,中山段,18.00,都市：住
RPROMLLMIINFFCJ38CA,中山段,12.00,都市：住
RPWOMLNJIINFFDJ88CA,池和段,91.52,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSOMLNJIINFFDJ48CA,長威段,106.70,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPROMLNJIINFFDJ38CA,長威段,106.70,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLPKIINFFDJ58CA,坪頂段,31.64,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPQOMLPKIINFFDJ58CA,坪頂段,7.35,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPTNMLKMIINFFCJ38CA,燥樹排段,368.00,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPUNMLNJIINFFDJ58CA,綠園段,8.34,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOKIINFFCJ18CA,重光段,21.10,都市：住
RPPNMLOKIINFFCJ18CA,重光段,3.97,都市：住
RPPNMLOKIINFFCJ18CA,重光段,1.05,都市：住
RPPNMLOKIINFFCJ18CA,重光段,.02,都市：住
RPPNMLOKIINFFCJ18CA,重光段,1.24,都市：住
RPPNMLOKIINFFCJ18CA,重光段,.24,都市：住
RPPNMLOKIINFFCJ18CA,重光段,.40,都市：住
RPQOMLSJIINFFCJ68CA,嘉樂段,1450.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLQKIINFFDJ09CA,振興段,20.13,都市：住
RPXNMLPKIINFFDJ56CA,德盛段,78.35,非都市：特定農業區 ; 非都市編定：甲種建築用地
