鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
卓蘭鎮,土地,大坪林段61~90地號,3337.0,,山坡地保育區,農牧用地,1070810,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,1438,,0.0,0,,RPTNMLPKIINFFAK58CA
苗栗市,房地(土地+建物),苗栗縣苗栗市中苗里6鄰建臺街1巷1~30號,30.35,住,,,1070915,土地5建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810907,140.51,3,2,2,有,無,3300000,23486,,0.0,0,,RPXNMLMJIINFFBK68CA
苗栗市,房地(土地+建物),苗栗縣苗栗市大同里1鄰中山路781~810號,23.8,商,,,1070912,土地1建物1車位0,三層,,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700620,97.38,2,1,1,有,無,1700000,17457,,0.0,0,,RPRNMLNLIINFFBK38CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市福麗里11鄰至公路351巷1~30號,44.73,住,,,1070817,土地1建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1061025,141.71,3,2,2,有,有,5630000,39729,一樓平面,0.0,0,,RPPOMLKMIINFFBK08CA
苗栗市,房地(土地+建物)+車位,苗栗縣苗栗市福麗里11鄰至公路351巷1~30號,40.77,住,,,1070824,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1061025,131.18,3,2,2,有,有,5150000,39259,一樓平面,0.0,0,,RPQOMLKMIINFFBK18CA
苗栗市,房地(土地+建物),苗栗縣苗栗市建功里34鄰民族路61~90號,83.0,住,,,1070912,土地1建物1車位0,一層，二層，三層，屋頂突出物，騎樓,,店面(店鋪),住商用,鋼筋混凝土造,0780308,199.36,4,2,3,有,無,10000000,50161,,0.0,0,,RPXNMLKMIINFFBK78CA
通霄鎮,房地(土地+建物),苗栗縣通霄鎮五南里8鄰中山路271~300號,113.12,,鄉村區,乙種建築用地,1070827,土地2建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土造,,174.02,4,2,2,有,無,4000000,22986,,0.0,0,,RPRNMLNLIINFFCK48CA
竹南鎮,車位,苗栗縣竹南鎮正南里3鄰環市路一段138巷2弄1~30號,0.0,,,,1070829,土地0建物0車位1,,,其他,,,,9.47,0,0,0,有,有,180000,,坡道機械,9.47,180000,,RPPOMLLJIINFFDK08CA
竹南鎮,土地,天聲段391~420地號,20.71,其他,,,1070910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,564420,27254,,0.0,0,,RPQNMLMJIINFFDK18CA
後龍鎮,房地(土地+建物),苗栗縣後龍鎮豐富里4鄰新東路31~60號,111.83,其他,,,1070912,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070604,157.13,3,2,3,有,無,7600000,48368,,0.0,0,,RPTNMLOJIINFFDK68CA
竹南鎮,房地(土地+建物)+車位,苗栗縣竹南鎮天文里15鄰龍昇街107巷1~30號,53.11,住,,,1070917,土地1建物1車位1,五層，見其他登記事項,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040710,165.36,4,2,2,有,有,8580000,51887,坡道平面,0.0,0,,RPPNMLPJIINFFDK38CA
三義鄉,房地(土地+建物),苗栗縣三義鄉雙湖村11鄰雙草湖151~180號,19.73,住,,,1070905,土地2建物1車位0,四層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850328,61.63,2,2,1,有,無,1950000,31640,,0.0,0,,RPPNMLNJIINFFEK28CA
三義鄉,土地,雙連潭段31~60地號,1508.0,,山坡地保育區,農牧用地,1070716,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6000000,3979,,0.0,0,,RPQNMLKMIINFFEK38CA
