編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLMJIINFFDK18CA,天聲段,20.71,都市：其他
RPRNMLNLIINFFBK38CA,苗栗段,23.80,都市：商
RPXNMLMJIINFFBK68CA,苗栗段,13.73,都市：住
RPXNMLMJIINFFBK68CA,苗栗段,5.02,都市：住
RPXNMLMJIINFFBK68CA,苗栗段,.35,都市：住
RPXNMLMJIINFFBK68CA,苗栗段,4.96,都市：住
RPXNMLMJIINFFBK68CA,苗栗段,6.29,都市：住
RPXNMLKMIINFFBK78CA,苗栗段,83.00,都市：住
RPRNMLNLIINFFCK48CA,五南段,21.00,非都市：鄉村區 ; 非都市編定：交通用地
RPRNMLNLIINFFCK48CA,五南段,92.12,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPOMLKMIINFFBK08CA,福麗段,44.73,都市：住
RPQOMLKMIINFFBK18CA,福麗段,40.77,都市：住
RPTNMLPKIINFFAK58CA,大坪林段,3256.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLPKIINFFAK58CA,大坪林段,81.00,非都市：山坡地保育區 ; 非都市編定：交通用地
RPQNMLKMIINFFEK38CA,雙連潭段,625.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLKMIINFFEK38CA,雙連潭段,364.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLKMIINFFEK38CA,雙連潭段,353.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLKMIINFFEK38CA,雙連潭段,166.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNJIINFFEK28CA,雙湖段,2.06,都市：住
RPPNMLNJIINFFEK28CA,雙湖段,17.67,都市：住
RPQNMLNJIINFFFK48CA,濫坑段,5140.20,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLNJIINFFFK38CA,內灣段,2013.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLLKIINFFEK48CA,福安段,141.36,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVOMLMJIINFFFK98CA,光華段,19.96,都市：住
RPQNMLMJIINFFFK38CA,園段,24.17,都市：住
RPTNMLMJIINFFBK38DA,維祥段維祥小段,82.75,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLMJIINFFBK58DA,維祥段維祥小段,82.75,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLLKIINFFFK38CA,北埔段,13.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLLKIINFFFK38CA,北埔段,332.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLLKIINFFFK38CA,北埔段,28.75,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLLKIINFFFK38CA,北埔段,6.25,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPOOMLNJIINFFFK38CA,中華段,23.92,都市：住
RPOOMLNJIINFFFK38CA,中華段,11.95,都市：住
RPQNMLOJIINFFFK58CA,隆興段,70.03,都市：農
RPQNMLOJIINFFFK58CA,隆興段,84.18,都市：農
RPQNMLOJIINFFFK58CA,隆興段,45.35,都市：農
RPQNMLOJIINFFFK58CA,隆興段,7.89,都市：農
RPQNMLOJIINFFFK58CA,隆興段,841.04,都市：農
RPRNMLNJIINFFFK58CA,仁愛段,76.04,都市：工
RPRNMLNJIINFFFK58CA,仁愛段,.14,都市：工
RPTNMLOJIINFFDK68CA,二張犁段,100.00,都市：其他
RPTNMLOJIINFFDK68CA,二張犁段,11.83,都市：其他
RPPNMLSJIINFFCK68DA,白沙段,251.22,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLSJIINFFCK68DA,白沙段,152.24,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLOLIINFFFK09CA,內灣段,1468.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLOLIINFFFK09CA,內灣段,262.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLOLIINFFFK09CA,內灣段,1339.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLLKIINFFEK18CA,老雞隆段,131.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLLKIINFFEK18CA,老雞隆段,2028.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLNJIINFFFK98CA,仁愛段,28.15,都市：住
RPTNMLNJIINFFFK78CA,園段,20.84,都市：住
RPSNMLPJIINFFFK88CA,仁愛段,28.15,都市：住
RPUNMLPJIINFFFK09CA,仁愛段,20.36,都市：住
RPQNMLOJIINFFBK28DA,華清段,6.02,都市：住
RPPNMLPJIINFFDK38CA,后厝段,53.11,都市：住
RPSNMLPLIINFFCK78CA,烏眉坑段,1231.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLOJIINFFDK38CA,立達段,3.50,都市：住
RPPNMLOJIINFFDK28CA,立達段,50.36,都市：住
RPUNMLPJIINFFCK78CA,福田段,42.98,都市：其他
RPUNMLPJIINFFCK78CA,福田段,80.31,都市：其他
RPUNMLOJIINFFBK58CA,南河段,38.14,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,茄苳段,396.86,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,五谷岡段,77.43,都市：農
RPUNMLOJIINFFBK58CA,南河段,113.29,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,南河段,41.57,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,南河段,62.29,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,南河段,210.93,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,南河段,70.71,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,南河段,49.21,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,南河段,47.14,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,南河段,58.21,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,南河段,2013.57,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,南河段,4301.57,非都市：山坡地保育區 ; 非都市編定：林業用地
RPUNMLOJIINFFBK58CA,南河段,100.57,非都市：山坡地保育區 ; 非都市編定：林業用地
RPUNMLOJIINFFBK58CA,南河段,2050.21,非都市：山坡地保育區 ; 非都市編定：林業用地
RPUNMLOJIINFFBK58CA,南河段,34.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLOJIINFFBK58CA,南河段,55.43,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLTJIINFFAK48CA,大窩段,22275.17,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLTJIINFFAK48CA,大窩段,53236.40,非都市：山坡地保育區 ; 非都市編定：農牧用地
