編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPPOMLKMIINFFBK08CA,一樓平面,0,
RPQOMLKMIINFFBK18CA,一樓平面,0,
RPPOMLLJIINFFDK08CA,坡道機械,180000,9.47
RPVOMLMJIINFFFK98CA,坡道平面,1000000,30.06
RPQNMLMJIINFFFK38CA,一樓平面,0,
RPOOMLNJIINFFFK38CA,一樓平面,0,
RPVNMLNJIINFFFK98CA,坡道平面,1000000,37.18
RPSNMLPJIINFFFK88CA,坡道平面,950000,38.39
RPUNMLPJIINFFFK09CA,坡道平面,900000,37.18
RPPNMLPJIINFFDK38CA,坡道平面,0,
RPQNMLOJIINFFDK38CA,升降平面,1200000,33.50
RPPNMLOJIINFFDK28CA,坡道平面,1000000,33.50
RPPNMLOJIINFFDK28CA,坡道平面,1000000,33.50
RPRNMLPJIINFFFK78CA,坡道平面,950000,37.18
RPVNMLNJIINFFDK78CA,坡道機械,500000,6.62
RPUNMLLKIINFFDK58CA,坡道平面,0,
RPVNMLPJIINFFFK56CA,坡道平面,950000,37.18
RPWNMLPJIINFFFK66CA,坡道平面,900000,37.18
RPXNMLPJIINFFFK76CA,坡道平面,950000,37.18
RPTNMLPJIINFFFK98CA,坡道平面,950000,37.18
RPOOMLTLIINFFDK98CA,坡道平面,800000,16.35
RPXNMLTLIINFFDK17CA,坡道平面,800000,16.35
RPSOMLTLIINFFFK96CA,坡道平面,450000,13.43
RPTOMLTLIINFFFK07CA,坡道平面,410000,13.70
RPSNMLKMIINFFFK68CA,坡道平面,470000,27.39
RPXNMLTKIINFFFK27CA,坡道機械,0,
RPQOMLPJIINFFFK78CA,坡道平面,1250000,26.87
RPOOMLTKIINFFDK88CA,坡道平面,900000,34.09
RPWNMLTKIINFFDK96CA,坡道平面,900000,34.09
RPQOMLTKIINFFDK09CA,坡道平面,850000,34.09
RPROMLTKIINFFDK56CA,坡道平面,850000,34.09
RPPOMLTKIINFFDK98CA,坡道平面,850000,34.09
RPUOMLTKIINFFDK86CA,坡道平面,850000,34.09
RPVOMLTKIINFFDK96CA,坡道平面,900000,34.09
RPRPMLTKIINFFDK66CA,坡道平面,900000,34.09
RPOPMLTKIINFFDK98CA,坡道平面,850000,34.09
RPSPMLTKIINFFDK76CA,坡道平面,900000,34.09
RPWOMLTKIINFFDK07CA,坡道平面,900000,34.09
RPRQMLTKIINFFDK76CA,坡道平面,1000000,21.02
RPRNMLSJIINFFFK09CA,一樓平面,0,
RPSQMLTKIINFFDK86CA,坡道平面,1000000,21.02
RPROMLPLIINFFDK88CA,坡道平面,900000,34.09
RPXOMLMLIINFFDK56CA,坡道平面,1000000,19.32
SPTOMLPLIINFFDK56CA,坡道平面,1000000,16.85
ZPTOMLPLIINFFDK27CA,其他,600000,
RPTOMLPLIINFFDK09CA,其他,600000,
YPTOMLPLIINFFDK17CA,坡道平面,1000000,16.85
QQTOMLPLIINFFDK09CA,坡道平面,1000000,16.85
WPTOMLPLIINFFDK96CA,坡道平面,1000000,16.85
UPTOMLPLIINFFDK76CA,坡道平面,1000000,16.85
TPTOMLPLIINFFDK66CA,其他,600000,
VPTOMLPLIINFFDK86CA,其他,600000,
XPTOMLPLIINFFDK07CA,其他,600000,
RQTOMLPLIINFFDK56CA,其他,600000,
RPOOMLKMIINFFBK97CA,一樓平面,0,
RPOOMLKMIINFFBK97CA,一樓平面,0,
RPRNMLRLIINFFDK98CA,坡道平面,900000,34.09
RPPNMLRLIINFFDK78CA,坡道平面,950000,34.09
RPTNMLRLIINFFDK56CA,坡道平面,900000,34.09
RPSNMLRLIINFFDK09CA,坡道平面,900000,34.09
RPPNMLSJIINFFBK48CA,坡道平面,0,
RPSNMLKMIINFFDK48CA,坡道平面,1000000,21.00
RPTQMLTKIINFFDK96CA,坡道平面,1000000,21.02
RPPQMLTKIINFFDK56CA,坡道平面,1000000,21.02
RPPNMLMLIINFFDK28CA,坡道平面,900000,47.23
RPQQMLTKIINFFDK66CA,坡道平面,1000000,21.02
UPSNMLKMIINFFDK78CA,坡道平面,1000000,21.00
TPSNMLKMIINFFDK68CA,坡道平面,1000000,21.00
VPSNMLKMIINFFDK88CA,坡道平面,1000000,21.00
SPSNMLKMIINFFDK58CA,坡道平面,1000000,21.00
