鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
南投市,房地(土地+建物),南投縣南投市彰南路二段422巷96弄1~30號,79.0,住,,,1070905,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0951016,157.68,4,2,3,有,無,7400000,46930,,0.0,0,,RPQOMLMJIINFFAM18CA
南投市,土地,半山段301~330地號,296.67,,一般農業區,農牧用地,1070813,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1170000,3944,,0.0,0,,RPRNMLTJIINFFAM88CA
名間鄉,建物,南投縣名間鄉太平巷1~30號,0.0,,,,1070828,土地0建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0701005,145.58,3,1,2,有,無,350000,2404,,0.0,0,,RPTNMLTJIINFFAM09CA
名間鄉,土地,北大庄段601~630地號,713.88,農,,,1070828,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4150000,5813,,0.0,0,,RPUNMLTJIINFFAM56CA
南投市,房地(土地+建物),南投縣南投市學府九街1~30號,130.39,住,,,1070902,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1030411,233.0,4,2,2,有,無,17300000,74249,,0.0,0,,RPOOMLLKIINFFAM97CA
南投市,房地(土地+建物),南投縣南投市彰南路二段754巷61~90號,1258.0,住,,,1070628,土地1建物1車位0,全,三層,透天厝,農舍,鋼骨鋼筋混凝土造,0900727,388.88,10,2,6,有,無,17000000,43715,,0.0,0,,RPSNMLMKIINFFAM38CA
南投市,房地(土地+建物),南投縣南投市大庄路131巷35弄1~30號,20.89,住,,,1070831,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0930301,41.080000000000005,2,1,1,有,無,1500000,36514,,0.0,0,,RPOOMLPKIINFFAM38CA
南投市,房地(土地+建物),南投縣南投市同源路七街18巷5弄1~30號,83.0,,工業區,丁種建築用地,1070705,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1050721,243.47,9,0,9,有,無,10300000,42305,,0.0,0,,RPPOMLPKIINFFAM48CA
草屯鎮,土地,光華段661~690地號,1227.0,,特定農業區,農牧用地,1070808,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4200000,3423,,0.0,0,,RPPNMLMJIINFFBM08CA
