編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLTJIINFFAM09CA,37,145.58,住家用,鋼筋混凝土造,70年10月5日,二層,一層 二層
RPQOMLMJIINFFAM18CA,12,157.68,住家用,鋼筋混凝土造,95年10月16日,三層,一層 二層 三層 屋頂突出物
RPSNMLMKIINFFAM38CA,17,388.88,農舍,鋼骨鋼筋混凝土造,90年7月27日,三層,一層 二層 三層
RPOOMLPKIINFFAM38CA,14,34.59,住家用,鋼筋混凝土造,93年3月1日,五層,三層
RPOOMLPKIINFFAM38CA,14,6.49,見其他登記事項,鋼筋混凝土造,93年3月1日,五層,
RPOOMLLKIINFFAM97CA,4,233.00,見其他登記事項,鋼筋混凝土造,103年4月11日,三層,一層 二層 三層 屋頂突出物
RPPOMLPKIINFFAM48CA,2,243.47,住家用,鋼筋混凝土造,105年7月21日,五層,一層 二層 三層 四層 五層
RPQNMLMJIINFFBM18CA,36,67.54,住商用,鋼筋混凝土造,72年1月18日,二層,一層 二層 騎樓
RPQNMLMJIINFFBM18CA,36,67.54,住商用,鋼筋混凝土造,72年1月18日,二層,一層 二層 騎樓
RPPNMLMJIINFFDM28CA,38,48.40,住商用,鋼筋混凝土加強磚造,69年6月25日,三層,一層 二層 三層
RPPNMLMKIINFFCM38DA,,144.91,住家用,鋼筋混凝土造,107年5月15日,三層,一層 二層 三層
RPSNMLRKIINFFBM98CA,21,115.80,住家用,鋼筋混凝土造,86年6月30日,三層,一層 二層 三層
RPSNMLRKIINFFBM98CA,21,.16,見其他登記事項,鋼筋混凝土造,86年6月30日,一層,
RPSNMLRKIINFFBM98CA,21,33.81,停車空間,鋼筋混凝土造,86年6月30日,地下層,
RPPNMLNJIINFFDM38CA,24,245.12,住家用,鋼筋混凝土造,83年6月14日,四層,一層 二層 三層 四層 電梯樓梯間
RPQNMLSJIINFFEM09CA,9,179.50,見其他登記事項,見其他登記事項,98年9月8日,三層,一層 二層 三層 見其他登記事項
RPTNMLNJIINFFCM68CA,24,24.76,見其他登記事項,鋼筋混凝土造,83年10月13日,十二層,六層
RPTNMLNJIINFFCM68CA,24,13.00,見其他登記事項,鋼筋混凝土造,83年10月13日,十二層,
RPOOMLPKIINFFCM58CA,3,171.81,住家用,鋼筋混凝土造,104年12月3日,三層,一層 二層 三層
RPTNMLTJIINFFCM66CA,23,63.91,見其他登記事項,鋼筋混凝土造,85年2月9日,十五層,十一層
RPTNMLTJIINFFCM66CA,23,10.67,見其他登記事項,鋼筋混凝土造,85年2月9日,十五層,
RPQNMLSJIINFFAM68CA,38,78.60,住家用,鋼筋混凝土加強磚造,69年12月1日,二層,一層 二層
