鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
彰化市,土地,牛稠子段下小段91~120地號,33.7,商,,,1070919,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,5935,,0.0,0,,RPPNMLMJIINFFAN08CA
彰化市,房地(土地+建物),彰化縣彰化市三民路211~240號,26.83,商,,,1070829,土地1建物3車位0,四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0751215,242.81,0,0,0,無,無,7850000,32330,,0.0,0,,RPTNMLNJIINFFAN58CA
彰化市,房地(土地+建物),彰化縣彰化市中山路三段162巷1~30號,13.19,住,,,1070816,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850212,122.91,3,1,2,有,無,4000000,32544,,0.0,0,,RPSOMLNJIINFFAN58CA
彰化市,房地(土地+建物),彰化縣彰化市陳稜路151~180號,82.0,商,,,1070913,土地4建物2車位0,一層，二層，三層，四層，騎樓,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,0650520,315.42,8,3,8,有,無,30000000,95111,,0.0,0,,RPVOMLNJIINFFAN88CA
彰化市,房地(土地+建物),彰化縣彰化市中山路一段119巷9弄1~30號,33.0,住,,,1070905,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810625,127.94,4,2,2,有,無,4500000,35173,,0.0,0,,RPROMLOJIINFFAN58CA
彰化市,房地(土地+建物),彰化縣彰化市萬安里三民路419巷1~30號,91.0,住,,,1070819,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0570118,90.92,2,1,2,有,無,5900000,64892,,0.0,0,,RPTPMLOJIINFFAN88CA
彰化市,房地(土地+建物),彰化縣彰化市仁愛東街61巷1~30號,87.09,住,,,1070831,土地4建物1車位0,全,二層,透天厝,住家用,加強磚造,0630808,79.52,5,3,2,有,無,7700000,96831,,0.0,0,,RPROMLPJIINFFAN68CA
彰化市,土地,三村段481~510地號,3887.65,,特定農業區,農牧用地,1070809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25000000,6431,,0.0,0,,RPXOMLPJIINFFAN66CA
彰化市,房地(土地+建物),彰化縣彰化市平和十三街68巷1~30號,15.14,住,,,1070831,土地2建物1車位0,三層，四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0890614,86.0,2,2,2,有,有,3420000,39767,,0.0,0,含增建或未登記建物。,RPQPMLPJIINFFAN68CA
彰化市,房地(土地+建物),彰化縣彰化市埔中一街84巷1~30號,77.0,住,,,1070717,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740429,108.48,4,2,2,有,無,8500000,78355,,0.0,0,含增建或未登記建物。,RPPNMLOKIINFFAN38CA
彰化市,土地,西勢子段過溝子小段31~60地號,262.13,其他,,,1070903,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8061362,30753,,0.0,0,,RPQOMLQKIINFFAN78CA
彰化市,土地,大埔段541~570地號,199.85,其他,,,1070907,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3825562,19142,,0.0,0,,RPSOMLQKIINFFAN98CA
彰化市,房地(土地+建物),彰化縣彰化市一心南街211~240號,108.85,,山坡地保育區,特定目的事業用地,1070720,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700831,86.87,3,2,2,有,無,1380000,15886,,0.0,0,,RPPOMLSKIINFFAN88CA
彰化市,房地(土地+建物)+車位,彰化縣彰化市南瑤路353巷7弄1~30號,19.77,住,,,1070831,土地1建物1車位1,五層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820108,116.96,3,2,2,有,有,3300000,28215,坡道機械,21.61,0,,RPQOMLTKIINFFAN09CA
彰化市,房地(土地+建物),彰化縣彰化市中正路二段170巷1~30號,74.0,商,,,1070806,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0561101,57.77,1,1,1,有,無,5259300,91039,,0.0,0,,RPUNMLPLIINFFAN09CA
彰化市,房地(土地+建物),彰化縣彰化市中正路二段170巷1~30號,83.0,商,,,1070806,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0561101,54.98,1,1,1,有,無,5898500,107284,,0.0,0,,RPWNMLPLIINFFAN66CA
和美鎮,土地,仁愛段1441~1470地號,372.72,住,,,1070901,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25368750,68064,,0.0,0,,RPPNMLMLIINFFBN38CA
鹿港鎮,土地,鹿工段31~60地號,4640.0,,工業區,丁種建築用地,1070814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,49638720,10698,,0.0,0,,RPPNMLOJIINFFCN48CA
福興鄉,土地,福新段1111~1140地號,520.39,,一般農業區,農牧用地,1070801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,5765,,0.0,0,,RPQNMLMJIINFFCN38CA
鹿港鎮,房地(土地+建物)+車位,彰化縣鹿港鎮祥和二街6巷1~30號,49.1,,特定農業區,甲種建築用地,1070908,土地1建物1車位1,二層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0880114,160.07,3,2,2,有,有,4250000,26551,坡道平面,0.0,0,,RPRNMLMJIINFFCN48CA
員林市,土地,新崙雅段871~900地號,32.02,農,,,1070906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1093803,34160,,0.0,0,,RPOOMLMJIINFFDN38CA
永靖鄉,土地,永發段901~930地號,5.36,住,,,1070906,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,136090,25390,,0.0,0,,RPRNMLOJIINFFDN78CA
員林市,土地,溝皂段691~720地號,57.59,住,,,1070807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4355309,75626,,0.0,0,,RPSPMLOJIINFFDN09CA
大村鄉,土地,大村段991~1020地號,134.06,住,,,1070907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4866000,36297,,0.0,0,,RPPNMLPJIINFFDN68CA
員林市,土地,豐年段931~960地號,196.0,住,,,1070911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13933000,71087,,0.0,0,,RPOPMLOJIINFFDN68CA
永靖鄉,房地(土地+建物),彰化縣永靖鄉裕農路61~90號,93.08,住,,,1070807,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土加強磚造,0680731,184.15,4,2,3,有,無,7800000,42357,,0.0,0,,RPQNMLLKIINFFDN48CA
員林市,土地,新員水段301~330地號,16177.74,,特定農業區,丁種建築用地,1070424,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,528000000,32637,,0.0,0,,RPQOMLNLIINFFDN88CA
員林市,房地(土地+建物),彰化縣員林市四維街121~150號,26.08,商,,,1070730,土地2建物1車位0,一層，騎樓,七層,辦公商業大樓,商業用,鋼筋混凝土造,0800607,123.47,1,1,1,有,無,6000000,48595,,0.0,0,,RPSNMLTLIINFFDN96CA
田中鎮,土地,中山段1471~1500地號,235.44,住,,,1070807,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9614700,40837,,0.0,0,,RPQNMLNJIINFFEN68CA
溪州鄉,土地,復興段691~720地號,55.32,住,,,1070917,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,45192,,0.0,0,,RPRNMLMJIINFFFN78CA
二水鄉,土地,光明段931~960地號,40.63,住,,,1070903,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,19690,,0.0,0,,RPQNMLMLIINFFEN78CA
北斗鎮,房地(土地+建物),彰化縣北斗鎮中山路二段156巷3弄1~30號,128.84,住,,,1070905,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1030701,231.99,6,3,3,有,無,13680000,58968,,0.0,0,,RPVNMLTJIINFFFN27CA
田尾鄉,土地,福新段391~420地號,2726.0,,特定農業區,農牧用地,1070813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10398000,3814,,0.0,0,,RPTNMLLKIINFFFN98CA
田尾鄉,土地,福新段391~420地號,1000.0,,特定農業區,農牧用地,1070813,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3814700,3815,,0.0,0,,RPUNMLLKIINFFFN09CA
大城鄉,土地,建山段91~120地號,3848.0,,一般農業區,農牧用地,1070828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4232800,1100,,0.0,0,,RPPNMLNJIINFFGN78CA
芳苑鄉,土地,芳埤段841~870地號,1167.77,,一般農業區,農牧用地,1070920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1004285,860,,0.0,0,,RPPNMLMJIINFFGN68CA
二林鎮,土地,詹厝段61~90地號,1982.48,,特定農業區,農牧用地,1070918,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2973720,1500,,0.0,0,,RPTNMLTJIINFFGN17CA
和美鎮,土地,忠明段1171~1200地號,83.0,,,,1070807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,728740,8780,,0.0,0,,RPPNMLMJIINFFBN28DA
芳苑鄉,土地,漢寶園段1~30地號,4249.83,,一般農業區,農牧用地,1070625,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2300000,541,,0.0,0,,RPSNMLNJIINFFGN56DA
溪湖鎮,土地,湖南段1~30地號,16.0,住,,,1070914,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,28125,,0.0,0,增值稅由買方負擔。未訂立買賣契約。,RPTNMLTJIINFFHN27CA
芳苑鄉,土地,芳埤段691~720地號,1390.41,,一般農業區,農牧用地,1070919,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,903766,650,,0.0,0,,RPSNMLLKIINFFGN98CA
二林鎮,房地(土地+建物),彰化縣二林鎮二溪路1~30號,203.0,,一般農業區,甲種建築用地,1070817,土地2建物1車位0,全,二層,透天厝,住商用,見其他登記事項,0691201,105.09,3,2,2,有,無,1200000,11419,,0.0,0,二等親間之買賣,RPUNMLPJIINFFGN86CA
芳苑鄉,土地,漢寶園段181~210地號,1923.0,,一般農業區,農牧用地,1070921,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1450000,754,,0.0,0,特殊關係間之交易(親戚間買賣)。,RPQNMLMJIINFFGN78CA
溪湖鎮,房地(土地+建物),彰化縣溪湖鎮大公十街1~30號,64.8,住,,,1070907,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1061115,160.51,4,3,3,有,無,7450000,46415,,0.0,0,,RPTNMLOJIINFFHN76CA
埔心鄉,土地,油車段811~840地號,130.64,,特定農業區,農牧用地,1070917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,450000,3445,,0.0,0,,RPPNMLNJIINFFHN88CA
溪湖鎮,土地,中東段1051~1080地號,3773.1,,特定農業區,農牧用地,1070903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13600000,3604,,0.0,0,,RPSNMLSJIINFFHN07CA
北斗鎮,土地,光中段1~30地號,167.06,住,,,1070920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7100000,42500,,0.0,0,,RPWNMLTJIINFFFN37CA
田中鎮,土地,中南段961~990地號,1745.73,工,,,1070815,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,37493680,21477,,0.0,0,,RPRNMLMLIINFFEN88CA
田尾鄉,土地,新豐段841~870地號,1385.0,,特定農業區,農牧用地,1070907,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3540000,2556,,0.0,0,,RPPOMLMJIINFFFN68CA
田尾鄉,土地,田平段241~270地號,18.17,住,,,1070519,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,439000,24161,,0.0,0,,RPROMLMJIINFFFN88CA
溪州鄉,房地(土地+建物),彰化縣溪州鄉黃厝路8巷1~30號,123.45,,鄉村區,乙種建築用地,1070919,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0820731,157.65,6,1,3,有,無,3600000,22835,,0.0,0,,RPPNMLNJIINFFFN68CA
田中鎮,土地,東源段1351~1380地號,1488.72,,山坡地保育區,丙種建築用地,1070704,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,13000000,8732,,0.0,0,,RPPNMLMKIINFFEN58CA
二水鄉,土地,大丘園段91~120地號,3304.0,,特定農業區,農牧用地,1070910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4956000,1500,,0.0,0,,RPRNMLMJIINFFEN68CA
員林市,土地,明倫段361~390地號,277.64,住,,,1070810,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,22255000,80158,,0.0,0,,RPVNMLOLIINFFDN76CA
大村鄉,房地(土地+建物),彰化縣大村鄉山腳路31~60號,22.1,,鄉村區,乙種建築用地,1070911,土地2建物1車位0,三層，機械房,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970403,97.61,4,0,4,有,有,3080000,31554,,0.0,0,,RPQOMLRKIINFFDN56CA
大村鄉,房地(土地+建物),彰化縣大村鄉山腳路31~60號,66.36,,鄉村區,乙種建築用地,1070904,土地4建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0960725,145.71,7,0,7,有,無,5300000,36374,,0.0,0,,RPROMLRKIINFFDN66CA
員林市,房地(土地+建物),彰化縣員林市大同路二段61~90號,21.86,住,,,1070911,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0731126,97.13000000000001,4,1,2,有,無,3800000,39123,,0.0,0,,RPRNMLLKIINFFDN58CA
員林市,土地,中山段121~150地號,1494.0,商,,,1070704,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,85000000,56894,,0.0,0,,RPQNMLQKIINFFDN98CA
員林市,房地(土地+建物),彰化縣員林市林森路249巷1~30號,22.77,商,,,1070831,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840821,175.53,4,2,2,有,有,5300000,30194,,0.0,0,,RPRNMLSJIINFFDN56CA
員林市,土地,員林段91~120地號,1.0,商,,,1070918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,有,100000,0,,0.0,0,,RPVNMLPJIINFFDN66CA
員林市,土地,員林段91~120地號,1.0,商,,,1070918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,有,100000,0,,0.0,0,,RPWNMLPJIINFFDN76CA
