編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLNJIINFFAN58CA,23,84.50,住家用,鋼筋混凝土造,85年2月12日,十四層,七層
RPROMLPJIINFFAN68CA,44,79.52,住家用,加強磚造,63年8月8日,二層,一層 二層
RPSOMLNJIINFFAN58CA,23,14.45,見其他登記事項,鋼筋混凝土造,85年2月12日,十四層,
RPSOMLNJIINFFAN58CA,23,23.96,見其他登記事項,鋼筋混凝土造,85年2月12日,十四層,
RPTPMLOJIINFFAN88CA,51,90.92,住家用,鋼筋混凝土加強磚造,57年1月18日,二層,一層 二層
RPROMLOJIINFFAN58CA,26,91.42,住家用,鋼筋混凝土造,81年6月25日,七層,一層
RPROMLOJIINFFAN58CA,26,36.52,見其他登記事項,鋼筋混凝土造,81年6月25日,七層,
RPVOMLNJIINFFAN88CA,42,157.71,見其他登記事項,鋼筋混凝土造,65年5月20日,四層,一層 二層 三層 四層 騎樓
RPVOMLNJIINFFAN88CA,42,157.71,見其他登記事項,鋼筋混凝土造,65年5月20日,四層,一層 二層 三層 四層 騎樓
RPTNMLNJIINFFAN58CA,32,72.54,見其他登記事項,鋼筋混凝土造,75年12月15日,十二層,四層
RPTNMLNJIINFFAN58CA,32,71.79,見其他登記事項,鋼筋混凝土造,75年12月15日,十二層,四層
RPTNMLNJIINFFAN58CA,32,11.09,見其他登記事項,鋼筋混凝土造,75年12月15日,十二層,
RPTNMLNJIINFFAN58CA,32,11.21,見其他登記事項,鋼筋混凝土造,75年12月15日,十二層,
RPTNMLNJIINFFAN58CA,32,10.25,見其他登記事項,鋼筋混凝土造,75年12月15日,十二層,
RPTNMLNJIINFFAN58CA,32,65.93,見其他登記事項,鋼筋混凝土造,75年12月15日,十二層,四層
RPQOMLTKIINFFAN09CA,26,83.60,住家用,鋼筋混凝土造,82年1月8日,十一層,五層
RPQOMLTKIINFFAN09CA,26,11.75,,鋼筋混凝土造,82年1月8日,十一層,
RPQOMLTKIINFFAN09CA,26,21.61,見其他登記事項,鋼筋混凝土造,82年1月8日,十一層,地下層
RPWNMLPLIINFFAN66CA,51,54.98,住家用,加強磚造,56年11月1日,一層,一層
RPUNMLPLIINFFAN09CA,51,57.77,住家用,加強磚造,56年11月1日,一層,一層
RPPOMLSKIINFFAN88CA,37,86.87,住家用,加強磚造,70年8月31日,二層,一層 二層
RPPNMLOKIINFFAN38CA,33,108.48,住家用,加強磚造,74年4月29日,二層,一層 二層
RPQPMLPJIINFFAN68CA,18,64.14,住家用,鋼筋混凝土造,89年6月14日,八層,三層 四層
RPQPMLPJIINFFAN68CA,18,11.23,見其他登記事項,鋼筋混凝土造,89年6月14日,八層,
RPQPMLPJIINFFAN68CA,18,8.51,見其他登記事項,鋼筋混凝土造,89年6月14日,八層,
