編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPPNMLMJIINFFAN08CA,牛稠子段下小段,12.09,都市：商
RPPNMLMJIINFFAN08CA,牛稠子段下小段,13.00,都市：商
RPPNMLMJIINFFAN08CA,牛稠子段下小段,8.61,都市：商
RPROMLPJIINFFAN68CA,大埔段,72.00,都市：住
RPSOMLNJIINFFAN58CA,牛稠子段牛稠子小段,13.19,都市：住
RPROMLPJIINFFAN68CA,大埔段,6.47,都市：住
RPROMLPJIINFFAN68CA,大埔段,3.21,都市：住
RPROMLPJIINFFAN68CA,大埔段,5.41,都市：住
RPTPMLOJIINFFAN88CA,牛稠子段牛稠子小段,91.00,都市：住
RPROMLOJIINFFAN58CA,南興段,33.00,都市：住
RPVOMLNJIINFFAN88CA,成功段,25.00,都市：商
RPVOMLNJIINFFAN88CA,成功段,16.00,都市：商
RPVOMLNJIINFFAN88CA,成功段,16.00,都市：商
RPVOMLNJIINFFAN88CA,成功段,25.00,都市：商
RPXOMLPJIINFFAN66CA,三村段,3887.65,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLNJIINFFAN58CA,三民段,9.26,都市：商
RPTNMLNJIINFFAN58CA,三民段,9.16,都市：商
RPTNMLNJIINFFAN58CA,三民段,8.42,都市：商
RPQOMLQKIINFFAN78CA,南郭段南郭小段,39.00,都市：其他
RPQOMLQKIINFFAN78CA,西勢子段過溝子小段,56.13,都市：其他
RPQOMLQKIINFFAN78CA,西勢子段過溝子小段,118.00,都市：其他
RPQOMLQKIINFFAN78CA,西勢子段過溝子小段,49.00,都市：其他
RPQOMLTKIINFFAN09CA,南郭段南郭小段,19.76,都市：住
RPPNMLMLIINFFBN38CA,仁愛段,186.36,都市：住
RPPNMLMLIINFFBN38CA,仁愛段,186.36,都市：住
RPWNMLPLIINFFAN66CA,彰化段西門小段,83.00,都市：商
RPUNMLPLIINFFAN09CA,彰化段西門小段,74.00,都市：商
RPPOMLSKIINFFAN88CA,台鳳段,108.85,非都市：山坡地保育區 ; 非都市編定：特定目的事業用地
RPSOMLQKIINFFAN98CA,成功段,17.44,都市：其他
RPSOMLQKIINFFAN98CA,大埔段,182.41,都市：其他
RPPNMLOKIINFFAN38CA,延和段,77.00,都市：住
RPQPMLPJIINFFAN68CA,西門口段,6.52,都市：住
RPQPMLPJIINFFAN68CA,西門口段,8.62,都市：住
RPOOMLMJIINFFDN38CA,新崙雅段,32.02,都市：農
RPQNMLMJIINFFCN38CA,福新段,520.39,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLOJIINFFCN48CA,鹿工段,4640.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPPNMLPJIINFFDN68CA,大村段,134.06,都市：住
RPSPMLOJIINFFDN09CA,溝皂段,57.59,都市：住
RPOPMLOJIINFFDN68CA,豐年段,196.00,都市：住
RPRNMLOJIINFFDN78CA,永發段,5.36,都市：住
RPRNMLMJIINFFCN48CA,東昇段,49.10,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLMJIINFFFN78CA,復興段,41.79,都市：住
RPRNMLMJIINFFFN78CA,復興段,8.00,都市：住
RPRNMLMJIINFFFN78CA,復興段,1.24,都市：住
RPRNMLMJIINFFFN78CA,復興段,2.60,都市：其他
RPRNMLMJIINFFFN78CA,復興段,1.69,都市：住
RPQNMLNJIINFFEN68CA,中山段,117.25,都市：住
RPQNMLNJIINFFEN68CA,中山段,118.19,都市：住
RPQNMLMLIINFFEN78CA,光明段,32.76,都市：住
RPQNMLMLIINFFEN78CA,光明段,7.87,都市：其他
RPQOMLNLIINFFDN88CA,新員水段,2039.01,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQOMLNLIINFFDN88CA,新員水段,799.48,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQOMLNLIINFFDN88CA,新員水段,1724.02,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQOMLNLIINFFDN88CA,新員水段,1642.70,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQOMLNLIINFFDN88CA,新員水段,849.59,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQOMLNLIINFFDN88CA,新員水段,924.60,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQOMLNLIINFFDN88CA,新員水段,3527.76,非都市：特定農業區 ; 非都市編定：丁種建築用地
RPQOMLNLIINFFDN88CA,新員水段,841.02,非都市：特定農業區 ; 非都市編定：丁種建築用地
