編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPQOMLTKIINFFAN09CA,坡道機械,0,21.61
RPRNMLMJIINFFCN48CA,坡道平面,0,
RPSNMLMKIINFFBN58CA,坡道平面,900000,25.62
RPUNMLMKIINFFBN78CA,坡道平面,900000,25.62
RPTNMLOJIINFFBN78CA,坡道平面,0,
RPVNMLMKIINFFBN88CA,坡道平面,900000,25.62
RPOOMLPJIINFFAN38CA,坡道平面,0,
RPOOMLPJIINFFAN38CA,坡道平面,0,
RPTOMLPJIINFFAN88CA,坡道平面,0,
RPTOMLPJIINFFAN88CA,坡道平面,0,
RPPOMLPJIINFFAN48CA,坡道平面,0,
RPSOMLPJIINFFAN78CA,坡道平面,0,
RPUNMLPJIINFFAN88CA,坡道平面,0,
RPWNMLMKIINFFBN98CA,坡道平面,900000,25.62
RPVNMLLKIINFFAN68CA,坡道機械,0,
RPUNMLRKIINFFDN86CA,坡道機械,0,
RPTNMLPLIINFFDN66CA,坡道平面,900000,15.67
RPPNMLSJIINFFDN98CA,坡道平面,0,
RPQNMLOKIINFFAN48CA,坡道平面,1000000,22.51
RPTNMLNLIINFFDN09CA,坡道機械,0,
RPPNMLPKIINFFAN48CA,坡道平面,0,
RPUNMLPLIINFFDN76CA,坡道平面,900000,15.67
