鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
新竹市,房地(土地+建物)+車位,新竹市新竹市榮濱路19巷1~30號,17.35,商,,,1070919,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1070522,109.94999999999999,2,2,1,有,有,5720000,55674,坡道平面,25.17,1000000,,RPSOMLMJIINFFAO58CA
新竹市,房地(土地+建物),新竹市新竹市西大路709巷1~30號,5.56,住,,,1070910,土地1建物1車位0,二層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0810129,44.83,1,1,1,有,有,1500000,33460,,0.0,0,,RPTOMLMJIINFFAO68CA
新竹市,房地(土地+建物),新竹市新竹市五福路一段19巷17弄1~30號,117.74,,山坡地保育區,丙種建築用地,1070821,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0871228,176.37,4,2,2,有,無,5800000,32885,,0.0,0,,RPQQMLMJIINFFAO58CA
新竹市,房地(土地+建物),新竹市新竹市金山街61~90號,184.0,住,,,1070825,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0880202,472.13,6,3,3,有,無,39900000,84511,,0.0,0,一樓店鋪,RPUQMLMJIINFFAO98CA
新竹市,房地(土地+建物),新竹市新竹市林森路210巷1~30號,29.42,住,,,1070806,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770114,107.22999999999999,3,2,2,有,無,3800000,35438,,0.0,0,,RPWRMLMJIINFFAO66CA
新竹市,房地(土地+建物),新竹市新竹市香北路225巷61~90號,6.28,住,,,1070816,土地1建物1車位0,八層,八層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0940301,35.7,1,1,1,有,有,1300000,36415,,0.0,0,,RPROMLOJIINFFAO68CA
新竹市,房地(土地+建物),新竹市新竹市東華路1~30號,7.49,住,,,1070901,土地1建物1車位0,九層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830713,67.91,1,1,1,有,有,2900000,42704,,0.0,0,,RPUPMLPJIINFFAO56CA
新竹市,土地,西濱段421~450地號,15.32,住,,,1070913,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1130000,73760,,0.0,0,,RPPNMLQJIINFFAO58CA
新竹市,土地,香雅段1111~1140地號,1445.65,,一般農業區,養殖用地,1070830,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,2421,,0.0,0,,RPSOMLSJIINFFAO56CA
新竹市,房地(土地+建物),新竹市新竹市安和街2巷1~30號,60.0,住,,,1070818,土地1建物1車位0,全,四層,透天厝,見使用執照,鋼筋混凝土造,0811214,142.08,6,2,6,有,無,9150000,64400,,0.0,0,,RPUOMLTJIINFFAO86CA
新竹市,房地(土地+建物),新竹市新竹市建中一路1~30號,36.47,其他,,,1070903,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0701219,149.72,4,2,2,有,無,4800000,32060,,0.0,0,,RPVOMLTJIINFFAO96CA
新竹市,房地(土地+建物)+車位,新竹市新竹市慈濟路211~240號,35.48,住,,,1070821,土地1建物1車位2,七層,二十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1020915,300.23,4,2,3,有,有,20980000,69880,坡道平面,46.3,0,,RPVNMLKKIINFFAO68CA
新竹市,房地(土地+建物),新竹市新竹市中華路六段647巷31弄151~180號,166.66,,山坡地保育區,丙種建築用地,1070827,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0851029,338.58,3,2,3,有,無,6200000,18312,,0.0,0,,RPXOMLLKIINFFAO09CA
新竹市,房地(土地+建物)+車位,新竹市新竹市大學路61~90號,19.5,住,,,1070910,土地2建物1車位1,四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851114,185.89,4,2,2,有,有,14350000,77196,坡道平面,0.0,0,,RPTPMLLKIINFFAO78CA
