編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPUPMLPJIINFFAO56CA,24,55.24,住家用,鋼筋混凝土造,83年7月13日,十二層,九層
RPUPMLPJIINFFAO56CA,24,6.56,共有部分,鋼筋混凝土造,83年8月13日,十二層,
RPUPMLPJIINFFAO56CA,,6.11,共有部分,鋼筋混凝土造,,十二層,
RPROMLOJIINFFAO68CA,13,20.42,見其他登記事項,鋼筋混凝土造,94年3月1日,八層,八層
RPROMLOJIINFFAO68CA,13,15.28,見其他登記事項,鋼筋混凝土造,94年3月1日,八層,
RPSOMLMJIINFFAO58CA,,56.29,見其他登記事項,鋼筋混凝土造,107年5月22日,十層,三層
RPSOMLMJIINFFAO58CA,,13.14,共有部分,鋼筋混凝土造,107年5月22日,十層,
RPSOMLMJIINFFAO58CA,,40.52,共有部分,見其他登記事項,107年5月22日,十層,
RPTOMLMJIINFFAO68CA,27,32.68,商業用,鋼筋混凝土造,81年1月29日,十二層,二層
RPTOMLMJIINFFAO68CA,27,3.51,共有部分,鋼筋混凝土造,81年1月29日,000,
RPTOMLMJIINFFAO68CA,27,8.65,共有部分,鋼筋混凝土造,81年1月29日,十二層,
RPWRMLMJIINFFAO66CA,31,90.10,住家用,鋼筋混凝土造,77年1月14日,五層,五層
RPWRMLMJIINFFAO66CA,31,17.13,共有部分,鋼筋混凝土造,77年1月14日,五層,
RPVNMLKKIINFFAO68CA,5,174.44,見其他登記事項,鋼筋混凝土造,102年9月15日,二十三層,七層
RPVNMLKKIINFFAO68CA,5,96.62,共有部分,鋼筋混凝土造,102年9月15日,二十三層,
RPVNMLKKIINFFAO68CA,5,29.17,共有部分,鋼筋混凝土造,102年9月15日,二十三層,
RPUQMLMJIINFFAO98CA,20,472.13,見其他登記事項,鋼筋混凝土造,88年2月2日,四層,一層 二層 三層 四層
RPQQMLMJIINFFAO58CA,20,176.37,見其他登記事項,鋼筋混凝土造,87年12月28日,四層,一層 二層 三層 四層
RPROMLNKIINFFAO68CA,21,55.29,見其他登記事項,鋼筋混凝土造,87年1月8日,九層,五層
RPROMLNKIINFFAO68CA,21,11.93,共有部分,鋼筋混凝土造,87年1月8日,九層,
RPROMLNKIINFFAO68CA,21,4.03,共有部分,鋼筋混凝土造,87年1月8日,九層,
RPROMLNKIINFFAO68CA,21,33.24,見使用執照,鋼筋混凝土造,87年1月8日,九層,
RPROMLMKIINFFAO58CA,,100.72,住家用,加強磚造,,一層,一層 騎樓
RPVOMLTJIINFFAO96CA,37,136.26,商業用,鋼筋混凝土造,70年12月19日,五層,五層
RPVOMLTJIINFFAO96CA,37,13.46,共有部分,鋼筋混凝土造,70年12月19日,五層,
RPXOMLPKIINFFAO86CA,22,86.79,住家用,鋼筋混凝土造,85年5月21日,十二層,九層
RPXOMLPKIINFFAO86CA,22,3.71,共有部分,鋼筋混凝土造,85年5月21日,十二層,
RPXOMLPKIINFFAO86CA,22,16.43,共有部分,鋼筋混凝土造,85年5月21日,十二層,
RPSNMLOKIINFFAO78CA,22,29.99,住家用,鋼筋混凝土造,85年5月21日,十二層,七層
RPSNMLOKIINFFAO78CA,22,1.28,共有部分,鋼筋混凝土造,85年5月21日,十二層,
RPSNMLOKIINFFAO78CA,22,9.51,共有部分,鋼筋混凝土造,85年5月21日,十二層,
RPRNMLOKIINFFAO68CA,4,46.91,見其他登記事項,鋼筋混凝土造,103年7月8日,九層,八層
RPRNMLOKIINFFAO68CA,4,12.84,共有部分,鋼筋混凝土造,103年7月8日,九層,
RPRNMLOKIINFFAO68CA,4,27.43,共有部分,鋼筋混凝土造,103年7月8日,九層,
RPTPMLLKIINFFAO78CA,22,129.98,住家用,鋼筋混凝土造,85年11月14日,二十一層,四層
RPTPMLLKIINFFAO78CA,22,23.15,共有部分,鋼筋混凝土造,85年11月14日,二十一層,
RPTPMLLKIINFFAO78CA,22,.87,共有部分,鋼筋混凝土造,85年11月14日,二十一層,
RPTPMLLKIINFFAO78CA,22,31.89,共有部分,鋼筋混凝土造,85年11月14日,二十一層,
RPUOMLTJIINFFAO86CA,26,142.08,見使用執照,鋼筋混凝土造,81年12月14日,四層,一層 二層 三層 四層
RPXOMLLKIINFFAO09CA,22,302.88,住家用,鋼筋混凝土造,85年10月29日,四層,一層 二層 三層 四層 地下層
RPXOMLLKIINFFAO09CA,22,32.23,共有部分,鋼筋混凝土造,85年10月29日,四層,
RPXOMLLKIINFFAO09CA,22,3.47,共有部分,鋼筋混凝土造,85年10月29日,四層,
RPXUMLTLIINFFAO97CA,1,65.43,見其他登記事項,鋼筋混凝土造,106年6月9日,十二層,十層
RPXUMLTLIINFFAO97CA,1,49.02,共有部分,鋼筋混凝土造,106年6月9日,十二層,
RPPNMLRKIINFFAO78CA,4,103.83,見其他登記事項,鋼筋混凝土造,103年11月17日,二十五層,十四層
RPPNMLRKIINFFAO78CA,4,22.38,共有部分,鋼筋混凝土造,103年11月17日,二十五層,
RPPNMLRKIINFFAO78CA,4,29.90,共有部分,鋼筋混凝土造,103年11月17日,二十七層,
RPPNMLRKIINFFAO78CA,4,.03,見其他登記事項,鋼筋混凝土造,103年11月17日,二十五層,
RPPNMLRKIINFFAO78CA,4,.01,共有部分,鋼筋混凝土造,103年11月17日,二十五層,
RPPNMLRKIINFFAO78CA,4,18.45,共有部分,鋼筋混凝土造,103年11月17日,二十七層,
RPPNMLOKIINFFAO48CA,,188.38,住家用,鋼筋混凝土造,,三層,一層 二層 三層 地下層
RPQTMLQKIINFFAO96EA,18,.06,見其他登記事項,鋼筋混凝土造,89年6月26日,一層,
RPQTMLQKIINFFAO96EA,18,4.78,停車空間,鋼筋混凝土造,89年6月26日,五層,
RPQTMLQKIINFFAO96EA,18,7.87,見其他登記事項,鋼筋混凝土造,89年6月26日,五層,
RPQTMLQKIINFFAO96EA,18,76.84,住家用,鋼筋混凝土造,89年6月26日,五層,三層
RPQTMLQKIINFFAO96EA,18,42.93,停車空間,鋼筋混凝土造,89年6月26日,五層,
RPQOMLSKIINFFAO09CA,21,179.86,住商用,鋼筋混凝土造,86年11月8日,四層,一層 二層 三層 四層 騎樓
RPQNMLQKIINFFAO78CA,,78.00,住家用,鋼筋混凝土造,,六層,二層
RPPQMLSKIINFFAO56CA,18,439.75,見其他登記事項,鋼筋混凝土造,89年3月31日,七層,四層
RPPQMLSKIINFFAO56CA,18,513.00,見其他登記事項,鋼筋混凝土造,89年3月31日,七層,
RPPQMLSKIINFFAO56CA,18,16.39,見其他登記事項,鋼筋混凝土造,89年3月31日,七層,
RPVOMLLLIINFFAO98CA,,93.73,住家用,加強磚造,,二層,一層 二層
RPUNMLKMIINFFAO98EA,38,100.11,住家用,鋼筋混凝土造,70年3月5日,十層,四層
RPUNMLKMIINFFAO98EA,108,14.22,共有部分,鋼筋混凝土造,0年1月1日,十層,
RPUNMLKMIINFFAO98EA,,55.54,共有部分,鋼筋混凝土造,,十層,
RPUNMLKMIINFFAO98EA,38,93.65,住家用,鋼筋混凝土造,70年3月5日,十層,四層
RPUNMLKMIINFFAO98EA,108,14.22,共有部分,鋼筋混凝土造,0年1月1日,十層,
