編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUPMLPJIINFFAO56CA,信義段,7.49,都市：住
RPROMLOJIINFFAO68CA,香中段,6.28,都市：住
RPPNMLQJIINFFAO58CA,西濱段,15.32,都市：住
RPSOMLMJIINFFAO58CA,南華段,17.35,都市：商
RPTOMLMJIINFFAO68CA,崙子段,5.56,都市：住
RPWRMLMJIINFFAO66CA,聚吉段,5.30,都市：商
RPWRMLMJIINFFAO66CA,聚吉段,21.00,都市：住
RPWRMLMJIINFFAO66CA,聚吉段,2.72,都市：住
RPWRMLMJIINFFAO66CA,聚吉段,.40,都市：商
RPVNMLKKIINFFAO68CA,光武段,35.48,都市：住
RPUQMLMJIINFFAO98CA,金山段,2.00,都市：住
RPUQMLMJIINFFAO98CA,金山段,182.00,都市：住
RPQQMLMJIINFFAO58CA,五福段,9.93,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQQMLMJIINFFAO58CA,五福段,69.30,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQQMLMJIINFFAO58CA,五福段,14.09,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQQMLMJIINFFAO58CA,五福段,24.42,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLSJIINFFAO56CA,香雅段,610.70,非都市：一般農業區 ; 非都市編定：農牧用地
RPSOMLSJIINFFAO56CA,香雅段,152.75,非都市：一般農業區 ; 非都市編定：養殖用地
RPSOMLSJIINFFAO56CA,香雅段,682.20,非都市：一般農業區 ; 非都市編定：養殖用地
RPROMLNKIINFFAO68CA,東山段一小段,.49,都市：住
RPROMLNKIINFFAO68CA,東山段一小段,11.50,都市：其他
RPROMLMKIINFFAO58CA,高翠段,108.12,都市：住
RPVOMLTJIINFFAO96CA,東明段,36.47,都市：其他
RPXOMLPKIINFFAO86CA,聚吉段,9.57,都市：商
RPSNMLOKIINFFAO78CA,聚吉段,3.40,都市：商
RPRNMLOKIINFFAO68CA,福林段,17.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTPMLLKIINFFAO78CA,成功段,19.26,都市：住
RPTPMLLKIINFFAO78CA,大學段,.24,都市：住
RPUOMLTJIINFFAO86CA,科園段科園小段,60.00,都市：住
RPXOMLLKIINFFAO09CA,內湖段,134.35,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXOMLLKIINFFAO09CA,內湖段,32.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPXUMLTLIINFFAO97CA,西門段一小段,13.00,都市：商
RPPNMLRKIINFFAO78CA,國道段,12.94,都市：商
RPPNMLOKIINFFAO48CA,師院段,130.31,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQTMLQKIINFFAO96EA,高翠段,74.81,都市：其他
RPQTMLQKIINFFAO96EA,高翠段,1.30,都市：其他
RPQOMLSKIINFFAO09CA,科園段龍山小段,83.00,都市：住
RPQNMLQKIINFFAO78CA,北門段,25.09,都市：住
RPQNMLQKIINFFAO78CA,北門段,3.25,都市：其他
RPQNMLQKIINFFAO78CA,北門段,.96,都市：住
RPQNMLQKIINFFAO78CA,北門段,.46,都市：其他
RPQNMLQKIINFFAO78CA,北門段,.22,都市：住
RPPQMLSKIINFFAO56CA,光復段,221.28,都市：工
RPVOMLLLIINFFAO98CA,中華段,78.00,都市：住
RPUNMLKMIINFFAO98EA,民富段,30.73,都市：商
RPROMLQLIINFFAO66EA,海濱段,1017.01,都市：農
RPROMLQLIINFFAO66EA,海濱段,23.00,都市：農
RPROMLQLIINFFAO66EA,海濱段,185.77,都市：農
RPOOMLOJIINFFAO58EA,古賢段,46.81,非都市：特定農業區 ; 非都市編定：交通用地
RPQSMLNLIINFFAO09CA,信義段,9.68,都市：其他
RPTOMLRKIINFFAO66CA,唐高段,7.31,都市：住
RPOQMLTKIINFFAO56CA,光華段,25.87,都市：住
RPVOMLNKIINFFAO09CA,北門段,6.61,都市：商
RPQOMLNLIINFFAO68CA,唐高段,24.67,都市：住
RPQOMLNLIINFFAO68CA,唐高段,73.00,都市：住
RPQOMLNLIINFFAO68CA,唐高段,17.56,都市：住
RPOQMLRKIINFFAO98CA,光武段,13.25,都市：商
RPUOMLSKIINFFAO86CA,中寮段,56.52,都市：住
RPUOMLSKIINFFAO86CA,中寮段,22.07,都市：住
RPPOMLTJIINFFAO98CA,中雅段,7.33,都市：住
RPWOMLOJIINFFAO56CA,延壽段,424.31,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRPMLNJIINFFAO68CA,自由段,20.40,都市：住
RPQPMLNJIINFFAO58CA,東山段二小段,88.00,都市：住
RPQPMLNJIINFFAO58CA,東山段二小段,1.00,都市：其他
RPOQMLOJIINFFAO58CA,南湖段,45.37,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOQMLOJIINFFAO58CA,南湖段,.24,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPRPMLMKIINFFAO68CA,國道段,31.72,都市：住
RPSSMLMJIINFFAO98CA,崙子段,47.59,都市：住
RPQOMLTJIINFFAO09CA,忠孝段,28.12,都市：住
RPSPMLNJIINFFAO78CA,光復段,28.66,都市：住
RPPPMLLKIINFFAO38CA,東光段,35.69,都市：商
RPUOMLLKIINFFAO78CA,武陵段,19.12,都市：住
RPUOMLLKIINFFAO78CA,武陵段,62.00,都市：住
RPTNMLSKIINFFAO66CA,中雅段,75.00,都市：住
RPUPMLSJIINFFAO86CA,聚吉段,307.00,都市：商
RPUPMLSJIINFFAO86CA,聚吉段,7.00,都市：其他
RPSNMLMKIINFFAO58CA,光武段,35.86,都市：住
RPUNMLMKIINFFAO78CA,光武段,50.69,都市：住
RPTOMLNKIINFFAO88CA,崙子段,37.86,都市：住
RPRQMLOJIINFFAO88CA,翠湖段,78.19,都市：其他
RPRQMLOJIINFFAO88CA,翠湖段,11.73,都市：其他
RPRQMLOJIINFFAO88CA,翠湖段,223.21,都市：其他
RPRQMLOJIINFFAO88CA,翠湖段,.78,都市：其他
RPRQMLOJIINFFAO88CA,翠湖段,.03,都市：其他
RPOPMLOJIINFFAO48CA,光復段,87.00,都市：工
RPOPMLOJIINFFAO48CA,光復段,81.00,都市：工
RPSOMLNKIINFFAO78CA,美城段,3.61,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLNKIINFFAO78CA,美城段,3.70,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLNKIINFFAO78CA,美城段,15.79,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPSOMLNKIINFFAO78CA,美城段,109.59,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQNMLMKIINFFAO38CA,光武段,40.80,都市：住
RPQPMLTJIINFFAO56CA,聚吉段,3.80,都市：商
RPWNMLOKIINFFAO56CA,香中段,72.63,都市：住
RPQPMLPKIINFFAO88CA,香村段,223.91,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQPMLPKIINFFAO88CA,香村段,34.67,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQPMLPKIINFFAO88CA,香村段,8.86,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQPMLPKIINFFAO88CA,香村段,5.54,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQPMLPKIINFFAO88CA,香村段,4.62,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQPMLPKIINFFAO88CA,香村段,4.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPQPMLPKIINFFAO88CA,香村段,18.64,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPVNMLRKIINFFAO76CA,福林段,3.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOPMLPKIINFFAO68CA,香村段,340.04,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOPMLPKIINFFAO68CA,香村段,29.53,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOPMLPKIINFFAO68CA,香村段,12.41,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOPMLPKIINFFAO68CA,香村段,8.86,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOPMLPKIINFFAO68CA,香村段,5.54,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
