編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPSOMLMJIINFFAO58CA,坡道平面,1000000,25.17
RPVNMLKKIINFFAO68CA,坡道平面,0,23.15
RPVNMLKKIINFFAO68CA,坡道平面,0,23.15
RPROMLNKIINFFAO68CA,坡道平面,0,24.25
RPRNMLOKIINFFAO68CA,坡道機械,0,8.27
RPTPMLLKIINFFAO78CA,坡道平面,0,
RPXUMLTLIINFFAO97CA,升降機械,0,11.00
RPPNMLRKIINFFAO78CA,坡道平面,0,
RPQTMLQKIINFFAO96EA,坡道平面,0,36.75
RPPQMLSKIINFFAO56CA,坡道平面,0,
RPPQMLSKIINFFAO56CA,坡道平面,0,
RPPQMLSKIINFFAO56CA,坡道平面,0,
RPPQMLSKIINFFAO56CA,坡道平面,0,
RPPQMLSKIINFFAO56CA,坡道平面,0,
RPPQMLSKIINFFAO56CA,坡道平面,0,
RPPQMLSKIINFFAO56CA,坡道平面,0,
RPPQMLSKIINFFAO56CA,坡道平面,0,
RPPQMLSKIINFFAO56CA,坡道平面,0,
RPUNMLKMIINFFAO98EA,坡道平面,0,
RPUNMLKMIINFFAO98EA,坡道平面,0,
RPUNMLKMIINFFAO98EA,坡道平面,0,
RPQSMLNLIINFFAO09CA,坡道機械,450000,16.42
RPOQMLTKIINFFAO56CA,坡道平面,0,51.22
RPVOMLNKIINFFAO09CA,坡道機械,0,13.32
RPOQMLRKIINFFAO98CA,坡道平面,0,25.00
RPOQMLOJIINFFAO58CA,坡道平面,0,
RPRPMLMKIINFFAO68CA,坡道平面,0,31.44
RPRPMLMKIINFFAO68CA,坡道平面,0,29.43
RPQOMLTJIINFFAO09CA,坡道平面,0,
RPPPMLLKIINFFAO38CA,坡道平面,0,
RPPPMLLKIINFFAO38CA,坡道平面,0,
RPSNMLMKIINFFAO58CA,坡道平面,0,31.52
RPSNMLMKIINFFAO58CA,坡道平面,0,31.52
RPUNMLMKIINFFAO78CA,坡道平面,0,33.71
RPUNMLMKIINFFAO78CA,坡道平面,0,33.71
RPUNMLMKIINFFAO78CA,坡道平面,0,31.52
RPTOMLNKIINFFAO88CA,坡道平面,0,
RPQNMLMKIINFFAO38CA,坡道平面,0,33.71
RPQNMLMKIINFFAO38CA,坡道平面,0,33.71
RPQNMLMKIINFFAO38CA,坡道平面,0,33.71
RPWNMLOKIINFFAO56CA,坡道平面,0,
RPWNMLOKIINFFAO56CA,坡道平面,0,
RPTNMLRKIINFFAO56CA,坡道平面,0,26.47
RPTOMLMJJINFFAO78CA,坡道平面,0,23.15
RPTOMLMJJINFFAO78CA,坡道平面,0,23.15
RPQNMLMLIINFFAO48CA,坡道平面,0,28.26
RPWPMLMLIINFFAO66CA,坡道平面,0,28.26
RPQPMLMLIINFFAO68CA,坡道平面,0,28.26
RPTOMLMLIINFFAO88CA,坡道平面,0,28.26
RPWOMLMLIINFFAO56CA,坡道平面,0,28.26
RPSPMLMLIINFFAO88CA,坡道平面,0,28.26
RPWNMLMLIINFFAO09CA,坡道平面,0,28.26
RPVOMLMLIINFFAO09CA,坡道平面,0,28.26
