鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
斗六市,房地(土地+建物),雲林縣斗六市久安東路1~30號,128.25,,鄉村區,乙種建築用地,1070911,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040420,222.6,5,3,5,有,無,6600000,29650,,0.0,0,,RPWNMLNJIINFFAP09CA
斗六市,房地(土地+建物)+車位,雲林縣斗六市江厝路100巷2弄1~30號,52.93,,鄉村區,乙種建築用地,1070831,土地1建物1車位1,四層，五層，屋頂突出物,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880926,151.24,4,1,2,有,有,2500000,16530,一樓平面,19.15,0,,RPRNMLPJIINFFAP78CA
斗六市,土地,斗六段121~150地號,166.0,住,,,1070828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8000000,48193,,0.0,0,,RPWNMLSJIINFFAP96CA
古坑鄉,土地,荷苞段631~660地號,184.11,,鄉村區,乙種建築用地,1070827,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2220000,12058,,0.0,0,本買賣含未保存登記之建物壹筆,RPSNMLMKIINFFAP68CA
斗六市,房地(土地+建物),雲林縣斗六市建成路61~90號,3.22,商,,,1070914,土地1建物1車位0,七層,十層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0880202,36.870000000000005,1,0,1,有,無,1100000,29835,,0.0,0,,RPUNMLMKIINFFAP88CA
斗六市,土地,黃厝段391~420地號,1447.38,,特定農業區,農牧用地,1070910,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15324400,10588,,0.0,0,含地上物未辦保存登記資材室壹間,RPSNMLPKIINFFAP98CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮國宅121~150號,84.0,,鄉村區,乙種建築用地,1070830,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700430,96.0,3,2,2,有,無,1600000,16667,,0.0,0,,RPQNMLMJIINFFBP48CA
斗南鎮,房地(土地+建物),雲林縣斗南鎮中興路170巷10弄1~30號,75.0,住,,,1070822,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0890829,173.71,3,1,3,有,無,3880000,22336,,0.0,0,,RPRNMLNJIINFFBP68CA
二崙鄉,土地,新田尾段1~30地號,2752.65,,特定農業區,農牧用地,1070828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5770000,2096,,0.0,0,,RPPNMLNJIINFFCP58CA
