編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLMJIINFFBP48CA,37,96.00,住家用,加強磚造,70年4月30日,二層,一層 二層
RPWNMLNJIINFFAP09CA,3,222.60,住家用,鋼筋混凝土造,104年4月20日,四層,一層 二層 三層 四層
RPUNMLMKIINFFAP88CA,20,26.14,住家用,鋼筋混凝土造,88年2月2日,十層,七層
RPUNMLMKIINFFAP88CA,20,1.63,共同部份,鋼筋混凝土造,88年2月2日,十層,
RPUNMLMKIINFFAP88CA,20,5.02,共同部份,鋼筋混凝土造,88年2月2日,十層,
RPUNMLMKIINFFAP88CA,20,4.08,共同部份,鋼筋混凝土造,88年2月2日,十層,
RPSNMLLKIINFFEP98CA,34,269.34,住商用,鋼筋混凝土造,73年10月25日,四層,一層 二層 三層 四層 騎樓
RPSNMLLKIINFFEP98CA,34,273.88,住商用,鋼筋混凝土造,73年10月25日,四層,一層 二層 三層 四層 騎樓
RPSNMLLKIINFFEP98CA,34,297.03,住工用,鋼筋混凝土造,73年10月25日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPRNMLPJIINFFAP78CA,19,110.52,住家用,鋼筋混凝土造,88年9月26日,五層,四層 五層 屋頂突出物
RPRNMLPJIINFFAP78CA,19,19.15,停車空間,鋼筋混凝土造,88年9月26日,五層,
RPRNMLPJIINFFAP78CA,19,21.57,共同部份,鋼筋混凝土造,88年9月26日,五層,
RPPNMLOJIINFFBP68DA,,226.96,見其他登記事項,鋼筋混凝土造,107年5月19日,三層,一層 二層 三層 見其他登記事項
RPRNMLNJIINFFBP68CA,18,173.71,住家用,鋼筋混凝土造,89年8月29日,四層,一層 二層 三層 四層
RPVNMLOJIINFFBP66DA,,235.33,見其他登記事項,鋼筋混凝土造,107年5月19日,三層,一層 二層 三層 見其他登記事項
RPUNMLOJIINFFBP56DA,,221.13,見其他登記事項,鋼筋混凝土造,107年5月19日,三層,一層 二層 三層 見其他登記事項
RPQOMLNLIINFFAP98EA,43,82.16,住家用,加強磚造,64年11月21日,二層,一層 二層 騎樓
RPRNMLOJIINFFBP88DA,,221.13,見其他登記事項,鋼筋混凝土造,107年5月19日,三層,一層 二層 三層 見其他登記事項
RPQNMLOJIINFFBP78DA,,227.69,見其他登記事項,鋼筋混凝土造,107年5月19日,三層,一層 二層 三層 見其他登記事項
RPSNMLOJIINFFBP98DA,,221.13,見其他登記事項,鋼筋混凝土造,107年5月19日,三層,一層 二層 三層 見其他登記事項
RPTNMLOJIINFFBP09DA,,236.52,見其他登記事項,鋼筋混凝土造,107年5月19日,三層,一層 二層 三層 見其他登記事項
RPVNMLMLIINFFDP76CA,25,169.59,住家用,鋼筋混凝土造,83年2月28日,三層,一層 二層 三層
RPWNMLMLIINFFDP86CA,37,84.00,住家用,加強磚造,70年8月25日,一層,一層
RPRNMLTJIINFFDP86CA,39,129.17,住商用,加強磚造,69年1月1日,二層,一層 二層 騎樓
RPRNMLPJIINFFEP56CA,33,129.23,住家用,加強磚造,74年11月20日,二層,一層 二層
RPSNMLMJIINFFCP78CA,1,201.09,住家用,鋼筋混凝土造,106年3月27日,三層,見其他登記事項
RPPNMLKMIINFFFP88CA,21,3088.30,見其他登記事項,見其他登記事項,86年12月11日,一層,見其他登記事項
RPVNMLOJIINFFCP86EA,28,154.08,住家用,加強磚造,79年3月15日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPPNMLTKIINFFDP76CA,,154.23,見其他登記事項,鋼筋混凝土造,107年5月29日,三層,一層 二層 三層 屋頂突出物
RPSNMLSKIINFFDP96CA,20,151.89,住家用,鋼筋混凝土造,87年7月13日,三層,一層 二層 三層 電梯樓梯間
RPOOMLOJIINFFDP78CA,14,196.54,住家用,鋼筋混凝土造,93年10月7日,四層,一層 二層 三層 四層
RPQOMLTJIINFFAP76EA,3,64.62,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,四層
RPQOMLTJIINFFAP76EA,3,17.01,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPQOMLTJIINFFAP76EA,3,10.90,見其他登記事項,鋼筋混凝土造,104年5月12日,五層,
RPRNMLNJIINFFEP98CA,39,175.92,住商用,加強磚造,68年4月30日,二層,一層 二層 騎樓
RPPOMLMLIINFFAP58CA,2,70.68,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,六層
RPPOMLMLIINFFAP58CA,2,63.10,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,
