編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPSNMLMKIINFFAP68CA,荷苞段,6.40,非都市：鄉村區 ; 非都市編定：交通用地
RPSNMLMKIINFFAP68CA,荷苞段,26.50,非都市：鄉村區 ; 非都市編定：交通用地
RPSNMLMKIINFFAP68CA,荷苞段,140.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLMKIINFFAP68CA,荷苞段,10.23,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLPKIINFFAP98CA,黃厝段,69.38,非都市：特定農業區 ; 非都市編定：水利用地
RPSNMLPKIINFFAP98CA,黃厝段,1378.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLSJIINFFAP96CA,斗六段,166.00,都市：住
RPQNMLLJIINFFCP48CA,新油車段,1157.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPJIINFFBP78CA,僑真段,290.00,都市：農
RPQNMLPJIINFFBP78CA,僑真段,580.00,都市：農
RPPNMLNJIINFFCP58CA,新田尾段,2752.65,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLMJIINFFBP48CA,林子段,84.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLNJIINFFAP09CA,九老爺段,19.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLNJIINFFAP09CA,九老爺段,79.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLNJIINFFAP09CA,九老爺段,30.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLMKIINFFAP88CA,大潭段社口小段,3.22,都市：商
RPVNMLQKIINFFDP07CA,秀潭段,487.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLMJIINFFEP09CA,埔潭段,1732.71,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNJIINFFDP68CA,埤腳段,2500.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLTJIINFFFP96CA,橋頭段,79.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLTJIINFFFP96CA,橋頭段,79.50,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLTJIINFFFP96CA,橋頭段,18.38,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLTJIINFFFP96CA,橋頭段,3.29,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLTJIINFFFP57CA,普令厝段,1755.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLMJIINFFFP78CA,興寮段,2671.28,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLSJIINFFDP66CA,忠東段,843.00,都市：農
RPQNMLSJIINFFDP66CA,忠東段,2050.00,都市：農
RPSNMLLKIINFFEP98CA,新街段,310.00,都市：住
RPSNMLLKIINFFEP98CA,新街段,36.00,都市：其他
RPPNMLSKIINFFFP86CA,成功段,1563.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPJIINFFAP78CA,溝子埧段溝子埧小段,52.93,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLNJIINFFAP58DA,埔北段,26.88,都市：住
RPUNMLSKIINFFEP27CA,新街段,1283.54,都市：農
RPUNMLSKIINFFEP27CA,新北段,13.36,都市：住
RPTNMLNJIINFFAP88DA,溝子埧段柴裡小段,1636.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLNLIINFFFP86CA,仁愛段,33.07,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLNLIINFFFP86CA,仁愛段,110.44,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLNLIINFFFP86CA,仁愛段,110.45,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLNLIINFFFP86CA,仁愛段,110.44,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLNLIINFFFP86CA,仁愛段,110.46,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLNLIINFFFP86CA,仁愛段,110.44,非都市：特定農業區 ; 非都市編定：農牧用地
RPWOMLPLIINFFAP07DA,光明段,231.00,非都市：工業區 ; 非都市編定：丁種建築用地
RPUNMLMLIINFFDP66CA,崙內段,117.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLMLIINFFDP66CA,崙內段,105.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLMLIINFFDP66CA,崙內段,102.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLMLIINFFDP66CA,崙內段,99.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLMLIINFFDP66CA,崙內段,97.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLMLIINFFDP66CA,崙內段,90.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLMLIINFFDP66CA,崙內段,76.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLMLIINFFDP66CA,崙內段,102.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLMLIINFFDP66CA,崙內段,20.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLMLIINFFDP66CA,崙內段,16.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLMLIINFFDP66CA,崙內段,4.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPUNMLMLIINFFDP66CA,崙內段,264.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLMJIINFFEP78DA,東湖段,320.13,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLTJIINFFEP96DA,牛尿港段,311.00,非都市：一般農業區 ; 非都市編定：養殖用地
RPQNMLTJIINFFEP96DA,牛尿港段,1.62,非都市：一般農業區 ; 非都市編定：交通用地
RPQNMLTJIINFFEP96DA,牛尿港段,6.46,非都市：一般農業區 ; 非都市編定：交通用地
RPVNMLPKIINFFEP17DA,建陽段,62.08,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOJIINFFBP68DA,僑真段,4.00,都市：住
RPPNMLOJIINFFBP68DA,僑真段,105.00,都市：住
RPUNMLMJIINFFFP76DA,崙西段,3156.98,非都市：一般農業區 ; 非都市編定：養殖用地
RPRNMLNJIINFFBP68CA,中興段,75.00,都市：住
RPVNMLOJIINFFBP66DA,僑真段,112.00,都市：住
