鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
義竹鄉,土地,頭竹圍段竹圍小段841~870地號,568.0,,特定農業區,農牧用地,1070920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,1056,,0.0,0,,RPPNMLPKIINFFBQ88CA
布袋鎮,土地,上江山段421~450地號,183.22,,一般農業區,交通用地,1070829,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,249179,1360,,0.0,0,,RPRNMLMJIINFFBQ68CA
大林鎮,土地,大湖段481~510地號,53.9,,特定農業區,農牧用地,1070910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,24000,445,,0.0,0,,RPSNMLNJIINFFCQ98CA
大林鎮,土地,甘蔗崙段91~120地號,112.65,,特定農業區,農牧用地,1070910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,54000,479,,0.0,0,,RPTNMLNJIINFFCQ09CA
大林鎮,土地,水頭段1021~1050地號,194.05,,鄉村區,乙種建築用地,1070729,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1903440,9809,,0.0,0,"水頭段1027地號為道路,土地增值稅由買方負擔",RPWNMLNJIINFFCQ76CA
大林鎮,土地,水頭段1021~1050地號,194.05,,鄉村區,乙種建築用地,1070729,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1903440,9809,,0.0,0,"水頭段1027地號為道路,土地增值稅由買方負擔",RPXNMLNJIINFFCQ86CA
大林鎮,土地,東林段1411~1440地號,735.96,住,,,1070724,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21810000,29635,,0.0,0,,RPQNMLNJIINFFCQ78CA
太保市,土地,嘉太段181~210地號,1403.56,住,,,1070728,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,25600000,18239,,0.0,0,,RPVNMLNJIINFFDQ76CA
竹崎鄉,土地,內埔子段1171~1200地號,159.0,,一般農業區,丙種建築用地,1070917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,111300,700,,0.0,0,,RPRNMLPJIINFFEQ66CA
