編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLMJIINFFDQ78DA,39,117.75,住家用,鋼筋混凝土加強磚造,69年1月12日,二層,一層 二層
RPSNMLNJIINFFDQ56DA,35,100.14,見其他登記事項,鋼筋混凝土加強磚造,73年1月5日,二層,一層 二層 騎樓
RPTNMLNJIINFFDQ66DA,38,99.63,住商用,鋼筋混凝土加強磚造,69年12月27日,二層,一層 二層
RPWNMLNJIINFFDQ86CA,,195.06,住家用,鋼筋混凝土造,107年5月17日,三層,一層 二層 三層 見其他登記事項
RPTNMLPJIINFFCQ66CA,12,2334.41,見其他登記事項,見其他登記事項,95年3月8日,一層,一層
RPPNMLPJIINFFCQ88CA,26,103.73,住家用,鋼筋混凝土造,82年2月17日,五層,三層
RPPNMLPJIINFFCQ88CA,26,10.16,共有部份,鋼筋混凝土造,82年2月17日,五層,
RPTNMLMKIINFFDQ66DA,21,139.12,住家用,鋼筋混凝土造,86年12月29日,三層,一層 二層 三層
RPRNMLNJIINFFCQ88CA,35,62.12,住家用,鋼筋混凝土造,72年3月12日,五層,二層
RPRNMLNJIINFFCQ88CA,35,.25,見其他登記事項,鋼筋混凝土造,72年3月12日,五層,一層
RPVNMLSJIINFFCQ17CA,32,101.68,住家用,鋼筋混凝土加強磚造,76年1月26日,二層,一層 二層 騎樓 電梯樓梯間
RPUOMLMKIINFFCQ66CA,37,112.31,住家用,鋼筋混凝土加強磚造,70年12月17日,二層,一層 二層
RPQNMLTJIINFFBQ66CA,3,198.72,見其他登記事項,鋼筋混凝土造,104年4月13日,三層,一層 二層 三層 見其他登記事項
RPPNMLQJIINFFEQ56CA,25,119.50,住家用,鋼筋混凝土造,82年4月1日,十八層,八層
RPPNMLQJIINFFEQ56CA,25,19.81,見其他登記事項,鋼筋混凝土造,82年4月1日,十八層,
RPPNMLQJIINFFEQ56CA,25,5.61,見其他登記事項,鋼筋混凝土造,82年4月1日,,
RPUNMLPKIINFFBQ76CA,27,195.81,住家用,鋼筋混凝土加強磚造,80年10月22日,四層,一層 二層 三層 四層
RPQNMLMKIINFFDQ88CA,30,221.60,住家用,鋼筋混凝土加強磚造,77年3月23日,三層,一層 二層 三層
RPWNMLOJIINFFDQ96CA,13,15.37,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,二層
RPWNMLOJIINFFDQ96CA,13,6.84,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,
RPUNMLOJIINFFDQ76CA,13,15.37,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,二層
RPUNMLOJIINFFDQ76CA,13,6.84,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,
RPQNMLOJIINFFDQ56EA,23,268.49,見其他登記事項,鋼筋混凝土造,84年5月18日,四層,一層 二層 三層 四層 地下層
RPXNMLOJIINFFDQ07CA,10,159.21,見其他登記事項,鋼筋混凝土造,97年9月3日,三層,一層 二層 三層
RPSOMLNLIINFFDQ76CA,1,158.97,住家用,鋼筋混凝土造,106年3月16日,三層,一層 二層 三層 見其他登記事項
RPOOMLKMIINFFDQ78CA,,203.27,見其他登記事項,鋼筋混凝土造,107年8月9日,四層,一層 二層 三層 四層
RPPNMLLJJINFFCQ78EA,48,28.73,住家用,加強磚造,60年1月1日,一層,一層
RPPOMLPKIINFFDQ56CA,18,142.72,住家用,鋼筋混凝土造,89年9月25日,四層,一層 二層 三層 四層
RPRNMLKMIINFFBQ78CA,13,16.76,住家用,鋼筋混凝土造,94年10月3日,十層,四層
RPRNMLKMIINFFBQ78CA,13,.10,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPRNMLKMIINFFBQ78CA,13,8.83,見其他登記事項,鋼筋混凝土造,94年10月3日,十層,
RPTNMLTJIINFFDQ17CA,38,66.53,住家用,鋼筋混凝土加強磚造,69年4月7日,一層,一層 騎樓
RPWNMLSJIINFFDQ37CA,21,184.68,住家用,鋼筋混凝土造,86年3月12日,四層,一層 二層 三層 四層
RPRNMLSJIINFFBQ66CA,4,52.10,見其他登記事項,鋼筋混凝土造,103年8月15日,八層,四層
RPRNMLSJIINFFBQ66CA,4,42.30,見其他登記事項,鋼筋混凝土造,103年8月15日,八層,
RPSNMLTJIINFFBQ86CA,1,188.31,見其他登記事項,鋼筋混凝土造,107年2月9日,二層,一層 二層 見其他登記事項
RPRNMLTJIINFFBQ76CA,1,188.31,見其他登記事項,鋼筋混凝土造,107年2月9日,二層,一層 二層 見其他登記事項
RPRNMLPKIINFFCQ56CA,38,99.45,見其他登記事項,鋼筋混凝土加強磚造,70年2月10日,二層,一層 二層 騎樓 電梯樓梯間
RPRNMLQJIINFFBQ09CA,1,171.66,住家用,鋼筋混凝土造,107年2月13日,四層,一層 二層 三層 四層
RPTNMLSKIINFFCQ07CA,13,152.90,見其他登記事項,鋼筋混凝土造,94年8月24日,三層,一層 二層 三層 電梯樓梯間
RPPNMLLKIINFFEQ78CA,40,30.97,住家用,鋼筋混凝土加強磚造,68年1月12日,二層,一層 二層
RPVNMLOLIINFFCQ96CA,24,92.92,見其他登記事項,鋼筋混凝土造,83年8月8日,十一層,十一層
RPVNMLOLIINFFCQ96CA,24,15.71,共有部份,鋼筋混凝土造,83年8月8日,十一層,
RPVNMLOLIINFFCQ96CA,24,19.30,共有部份,鋼筋混凝土造,83年8月8日,十一層,
RPSNMLOLIINFFDQ76CA,40,107.48,住家用,鋼筋混凝土加強磚造,67年3月15日,二層,一層 二層 騎樓
RPUNMLSKIINFFDQ27CA,27,147.38,住商用,鋼筋混凝土造,81年2月26日,三層,一層 二層 三層
RPPNMLNLIINFFEQ09CA,36,97.89,住商用,鋼筋混凝土加強磚造,71年10月23日,二層,一層 二層 騎樓
RPSNMLLKIINFFDQ98CA,41,49.32,住家用,磚造,66年12月25日,一層,一層 騎樓
RPQNMLLKIINFFBQ58CA,22,119.15,住家用,鋼筋混凝土造,85年8月15日,十四層,十四層
RPQNMLLKIINFFBQ58CA,22,34.67,見其他登記事項,鋼筋混凝土造,85年8月15日,十四層,
RPPNMLQLIINFFDQ66CA,1,163.21,見其他登記事項,鋼筋混凝土造,106年12月27日,四層,一層 二層 三層 四層
RPRNMLTJIINFFDQ96CA,41,116.94,住商用,鋼筋混凝土加強磚造,66年8月25日,二層,一層 二層 騎樓
RPVNMLTJIINFFDQ37CA,28,227.04,住商用,鋼筋混凝土造,79年7月13日,四層,一層 二層 三層 四層 騎樓
RPPNMLLKIINFFDQ78DA,37,157.44,住商用,鋼筋混凝土加強磚造,70年12月8日,三層,一層 二層 三層 騎樓
RPXNMLPKIINFFDQ27CA,40,85.08,住家用,鋼筋混凝土加強磚造,67年4月7日,二層,一層 二層
RPTNMLPKIINFFDQ86CA,1,158.85,見其他登記事項,鋼筋混凝土造,106年12月22日,三層,一層 二層 三層 見其他登記事項
RPSNMLLKIINFFCQ88CA,24,254.65,住商用,鋼筋混凝土造,83年10月28日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPQNMLQKIINFFBQ09CA,3,200.53,見其他登記事項,鋼筋混凝土造,104年4月13日,三層,一層 二層 三層 見其他登記事項
RPTNMLLKIINFFBQ88CA,25,89.22,住家用,鋼筋混凝土造,82年12月7日,五層,四層
RPTNMLLKIINFFBQ88CA,25,5.19,見其他登記事項,鋼筋混凝土造,82年12月7日,五層,
