編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLNJIINFFCQ78CA,東林段,735.96,都市：住
RPSNMLPJIINFFEQ76CA,內埔子段,189.00,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPRNMLPJIINFFEQ66CA,內埔子段,159.00,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPTNMLPJIINFFEQ86CA,內埔子段,17.00,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPTNMLPJIINFFEQ86CA,內埔子段,4.00,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPTNMLPJIINFFEQ86CA,內埔子段,68.00,非都市：一般農業區 ; 非都市編定：丙種建築用地
RPRNMLMJIINFFBQ68CA,上江山段,183.22,非都市：一般農業區 ; 非都市編定：交通用地
RPPNMLMJIINFFDQ78DA,和雲段,84.10,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLNJIINFFDQ76CA,嘉太段,506.74,都市：住
RPVNMLNJIINFFDQ76CA,嘉太段,223.13,都市：住
RPVNMLNJIINFFDQ76CA,嘉太段,208.93,都市：住
RPVNMLNJIINFFDQ76CA,嘉太段,142.06,都市：其他
RPVNMLNJIINFFDQ76CA,嘉太段,322.70,都市：住
RPSNMLNJIINFFDQ56DA,埤鄉段,107.05,都市：住
RPPNMLOJIINFFCQ98EA,三疊溪段,712.80,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLNJIINFFCQ86CA,水頭段,44.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPXNMLNJIINFFCQ86CA,水頭段,149.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLSJIINFFDQ76DA,鹿草段,1097.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLNJIINFFCQ98CA,大湖段,53.90,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNJIINFFCQ76CA,水頭段,44.25,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLNJIINFFCQ76CA,水頭段,149.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLNJIINFFEQ09EA,番路段,1415.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLNJIINFFCQ09CA,甘蔗崙段,112.65,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNJIINFFEQ09CA,瓦厝埔段,717.67,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLOJIINFFBQ98DA,潭子墘段,70.91,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOJIINFFBQ98DA,潭子墘段,37.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLNJIINFFDQ66DA,和美段,5.60,都市：其他
RPTNMLNJIINFFDQ66DA,和美段,90.91,都市：住
RPVNMLSJIINFFDQ37DA,埤鄉段,2721.43,都市：農
RPPNMLPJIINFFDQ98CA,富收段,2739.83,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPJIINFFDQ98CA,富收段,1130.82,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPKIINFFBQ88CA,頭竹圍段竹圍小段,568.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLOJIINFFCQ88CA,埤頭段共和小段,1682.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLOJIINFFCQ56CA,中洋子段,1986.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLNJIINFFDQ86CA,寬士段,104.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLNJIINFFDQ86CA,寬士段,18.59,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLPJIINFFCQ66CA,頂坪段下坪小段,3720.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNJIINFFBQ68CA,雙涵段雙涵小段,1917.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNJIINFFBQ68CA,雙涵段雙涵小段,1163.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLPJIINFFCQ88CA,潭底段潭底小段,1.04,都市：住
RPPNMLPJIINFFCQ88CA,潭底段潭底小段,1.08,都市：住
RPPNMLPJIINFFCQ88CA,潭底段潭底小段,1.09,都市：住
RPPNMLPJIINFFCQ88CA,潭底段潭底小段,2.63,都市：住
RPPNMLPJIINFFCQ88CA,潭底段潭底小段,.91,都市：住
RPPNMLPJIINFFCQ88CA,潭底段潭底小段,.05,都市：住
RPPNMLPJIINFFCQ88CA,潭底段潭底小段,44.02,都市：住
RPTNMLMKIINFFDQ66DA,溪洲段,76.07,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLNJIINFFCQ88CA,潭底段潭底小段,1.01,都市：住
RPRNMLNJIINFFCQ88CA,潭底段潭底小段,23.80,都市：住
RPRNMLNJIINFFCQ88CA,潭底段潭底小段,1.27,都市：住
RPRNMLNJIINFFCQ88CA,潭底段潭底小段,1.25,都市：住
RPXNMLMKIINFFCQ86CA,中洋子段,2394.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLMKIINFFCQ86CA,中洋子段,1646.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPOPMLPJIINFFBQ88CA,後崩山段後崩山小段,2300.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPROMLPJIINFFBQ09CA,鰲鼓段,113.41,非都市：一般農業區 ; 非都市編定：農牧用地
RPROMLPJIINFFBQ09CA,鰲鼓段,2.83,非都市：一般農業區 ; 非都市編定：水利用地
RPROMLPJIINFFBQ09CA,鰲鼓段,118.79,非都市：一般農業區 ; 非都市編定：農牧用地
RPROMLPJIINFFBQ09CA,鰲鼓段,2.73,非都市：一般農業區 ; 非都市編定：水利用地
RPROMLPJIINFFBQ09CA,鰲鼓段,751.75,非都市：一般農業區 ; 非都市編定：農牧用地
RPROMLPJIINFFBQ09CA,鰲鼓段鰲鼓小段,30.44,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLSJIINFFBQ56CA,三姓寮段三義小段,2240.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVNMLSJIINFFCQ17CA,新大埔美段,77.77,非都市：鄉村區 ; 非都市編定：乙種建築用地
SPROMLPJIINFFBQ56CA,鰲鼓段,441.75,非都市：一般農業區 ; 非都市編定：養殖用地
RPUOMLMKIINFFCQ66CA,金興段,84.96,都市：住
RPUOMLMKIINFFCQ66CA,金興段,15.94,都市：住
RPSNMLPJIINFFCQ56CA,游厝段,3517.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLOJIINFFBQ98CA,新寮段,3748.80,都市：農
RPRNMLSKIINFFCQ86CA,秀林段,113.56,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPUNMLTJIINFFCQ17CA,大客段頂客小段,1651.00,非都市：特定農業區 ; 非都市編定：農牧用地
