編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRQMLLJIINFFAT09CA,萬年段,44.17,都市：住
RPSPMLMJIINFFAT56CA,香社段,2510.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSPMLMJIINFFAT56CA,香社段,825.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPSPMLMJIINFFAT56CA,香社段,59.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWOMLMJIINFFAT86CA,歸義段,139.90,非都市：一般農業區 ; 非都市編定：交通用地
RPTOMLMJIINFFAT56CA,歸義段,24.53,非都市：一般農業區 ; 非都市編定：交通用地
RPVOMLMJIINFFAT76CA,歸義段,281.05,非都市：一般農業區 ; 非都市編定：交通用地
RPVPMLMJIINFFAT86CA,瑞光段,71.00,都市：住
RPTNMLMJIINFFAT09CA,大春段,2403.94,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLMJIINFFAT56CA,洛陽段,20.94,都市：住
RPUOMLMJIINFFAT66CA,歸義段,24.53,非都市：一般農業區 ; 非都市編定：交通用地
RPOOMLOJIINFFAT88CA,斯文段,38.50,都市：其他
RPOOMLOJIINFFAT88CA,豐田段一小段,54.75,都市：其他
RPOOMLOJIINFFAT88CA,豐田段一小段,33.16,都市：其他
RPOOMLOJIINFFAT88CA,豐田段一小段,18.56,都市：其他
RPQNMLOJIINFFAT98CA,勝興段,18.19,都市：住
RPPOMLOJIINFFAT98CA,灰段,3.37,都市：商
RPQNMLNJIINFFAT88CA,萬年段,65.00,都市：住
RPUNMLPJIINFFAT86CA,新海豐段,2143.83,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLPJIINFFAT56CA,萬年段,96.00,都市：住
RPRNMLMJIINFFAT88CA,九智段,158.97,都市：住
RPQNMLSJIINFFAT76CA,萬興段,2649.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPPMLNJIINFFAT98CA,興華段,2017.23,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLLJIINFFCT09CA,豐田段,1569.70,都市：農
RPSNMLLJIINFFCT09CA,豐田段,1488.29,都市：農
RPSNMLLJIINFFCT09CA,豐田段,675.82,都市：農
RPUNMLLJIINFFCT66CA,大同段,220.17,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLNJIINFFDT66CA,本漁段,10.51,都市：住
RPSOMLPKIINFFAT86CA,水源段一小段,148.00,都市：住
RPSOMLPKIINFFAT86CA,水源段一小段,98.00,都市：住
RPRNMLKMIINFFCT56CA,內田段,190.59,都市：商
RPRNMLKMIINFFCT56CA,內田段,49.74,都市：商
RPRNMLKMIINFFCT56CA,內田段,44.79,都市：商
RPRNMLKMIINFFCT56CA,內田段,6.99,都市：其他
RPRNMLKMIINFFCT56CA,內田段,6.05,都市：其他
