編號,車位類別,車位價格,車位面積平方公尺
Serial number,berth category,berth price,berth area square meter
RPRQMLLJIINFFAT09CA,一樓平面,0,
RPQNMLOJIINFFAT98CA,坡道平面,0,24.00
RPSPMLNJIINFFAT66CA,坡道平面,0,24.00
RPWNMLTJIINFFCT67CA,升降機械,0,
RPSNMLNJIINFFDT76CA,一樓平面,0,
RPTNMLLKIINFFAT09CA,升降機械,0,
RPTNMLTJIINFFAT27DA,坡道平面,550000,30.85
RPPNMLTJIINFFAT86DA,坡道平面,550000,30.85
RPRNMLTJIINFFAT07DA,坡道平面,550000,30.85
RPWNMLMKIINFFAT86CA,坡道平面,450000,24.00
RPWOMLLKIINFFAT86CA,升降機械,0,
RPOOMLTJIINFFAT76CA,一樓平面,0,
RPPNMLPJJINFFDT76CA,一樓平面,0,
RPPNMLPJJINFFDT76CA,一樓平面,0,
RPQOMLQKIINFFAT76CA,一樓平面,0,
