鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路121~150號,3.67,商,,,1070911,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831007,29.259999999999998,1,1,1,有,無,1370000,46822,,0.0,0,,RPWNMLMJIINFFAU86CA
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯五路121~150號,3.67,商,,,1070910,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831007,29.259999999999998,1,1,1,有,無,1370000,46822,,0.0,0,,RPXNMLMJIINFFAU96CA
吉安鄉,土地,吉興段211~240地號,24.63,住,,,1070913,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,968000,39302,,0.0,0,,RPWNMLOJIINFFAU07CA
壽豐鄉,房地(土地+建物)+車位,花蓮縣壽豐鄉志學新?61~90號,53.09,住,,,1070904,土地1建物1車位1,四層，五層，見其他登記事項,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880520,154.65,4,2,2,有,有,3500000,22632,一樓平面,13.51,0,,RPXNMLOJIINFFAU17CA
吉安鄉,土地,仁和段571~600地號,2208.83,,特定農業區,農牧用地,1070910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8016000,3629,,0.0,0,,RPTNMLMJIINFFAU56CA
花蓮市,房地(土地+建物),花蓮縣花蓮市中央路三段721~750號,5.63,住,,,1070919,土地1建物1車位0,七層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840819,24.01,1,1,1,有,無,1250000,52062,,0.0,0,,RPUNMLMJIINFFAU66CA
花蓮市,土地,石壁段151~180地號,8.43,,鄉村區,乙種建築用地,1070830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,86829,10300,,0.0,0,,RPUNMLSJIINFFAU27CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉中央路二段139巷2弄1~30號,98.0,住,,,1070829,土地1建物1車位0,全,一層,透天厝,住家用,鋼筋混凝土加強磚造,0660203,57.4,2,1,2,有,無,3350000,58362,,0.0,0,,RPXNMLTJIINFFAU67CA
花蓮市,房地(土地+建物),花蓮縣花蓮市主安里廣東街1~30號,142.0,住,,,1070906,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1060726,278.86,5,2,5,有,無,19300000,69210,,0.0,0,,RPWNMLPKIINFFAU27CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆九街20巷1~30號,287.17,住,,,1070906,土地1建物2車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0810918,519.36,12,4,6,有,無,13000000,25031,,0.0,0,,RPPOMLQKIINFFAU76CA
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南海四街163巷1~30號,150.0,,特定農業區,甲種建築用地,1070824,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1050824,310.64,4,2,4,有,無,14500000,46678,,0.0,0,,RPRNMLQLIINFFAU96CA
光復鄉,土地,大平段151~180地號,1757.5,,一般農業區,農牧用地,1070829,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1950000,1110,,0.0,0,,RPPNMLQKIINFFBU76CA
鳳林鎮,土地,鳳仁段331~360地號,9.0,住,,,1070920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,245700,27300,,0.0,0,,RPQNMLQKIINFFBU86CA
花蓮市,房地(土地+建物),花蓮縣花蓮市福建街1~30號,88.0,住,,,1070903,土地3建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0810626,227.24,5,2,3,有,無,9700000,42686,,0.0,0,,RPUOMLQKIINFFAU27CA
吉安鄉,土地,仁廉段331~360地號,100.0,住,,,1070716,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4800000,48000,,0.0,0,,RPVNMLOJIINFFAU96CA
壽豐鄉,土地,共和段391~420地號,628.16,農,,,1070901,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7000000,11144,,0.0,0,,RPQNMLPJIINFFAU56CA
花蓮市,房地(土地+建物),花蓮縣花蓮市明心街31~60號,36.5,住,,,1070903,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850521,128.34,4,2,2,有,無,5500000,42855,,0.0,0,,RPVNMLMJIINFFAU76CA
吉安鄉,土地,南埔段2641~2670地號,229.0,,特定農業區,農牧用地,1070920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,5677,,0.0,0,,RPQNMLNJIINFFAU98CA
花蓮市,房地(土地+建物),花蓮縣花蓮市建興街19巷1弄1~30號,78.0,住,,,1070820,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0680221,101.08,3,2,2,有,無,6200000,61338,,0.0,0,,RPRNMLNJIINFFAU09CA
花蓮市,房地(土地+建物),花蓮縣花蓮市莊敬路181~210號,15.89,住,,,1070903,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750124,66.05000000000001,2,1,1,有,無,2600000,39364,,0.0,0,,RPSNMLNJIINFFAU56CA
