編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPOMLQKIINFFAU76CA,26,259.70,住家用,鋼筋混凝土造,81年9月18日,四層,一層 二層 三層 四層 見其他登記事項
RPPOMLQKIINFFAU76CA,26,259.66,住家用,鋼筋混凝土造,81年9月18日,四層,一層 二層 三層 四層 見其他登記事項
RPWNMLPKIINFFAU27CA,1,278.86,住家用,鋼筋混凝土造,106年7月26日,四層,一層 二層 三層 四層
RPUNMLMJIINFFAU66CA,23,17.78,住家用,鋼筋混凝土造,84年8月19日,十一層,七層
RPUNMLMJIINFFAU66CA,23,6.23,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPVNMLMJIINFFAU76CA,22,114.35,住家用,鋼筋混凝土造,85年5月21日,五層,五層
RPVNMLMJIINFFAU76CA,22,13.99,住家用,鋼筋混凝土造,85年5月21日,五層,
RPXNMLTJIINFFAU67CA,42,57.40,住家用,鋼筋混凝土加強磚造,66年2月3日,一層,一層
RPWNMLMJIINFFAU86CA,24,20.09,住家用,鋼筋混凝土造,83年10月7日,九層,六層
RPWNMLMJIINFFAU86CA,24,9.17,共有部份,鋼筋混凝土造,83年10月7日,九層,
RPXNMLMJIINFFAU96CA,24,20.09,住家用,鋼筋混凝土造,83年10月7日,九層,六層
RPXNMLMJIINFFAU96CA,24,9.17,共有部份,鋼筋混凝土造,83年10月7日,九層,
RPXNMLOJIINFFAU17CA,19,115.40,住家用,鋼筋混凝土造,88年5月20日,五層,四層 五層 見其他登記事項
RPXNMLOJIINFFAU17CA,19,13.50,停車空間,鋼筋混凝土造,88年5月20日,五層,
RPXNMLOJIINFFAU17CA,19,25.75,共有部份,鋼筋混凝土造,88年5月20日,五層,
RPRNMLNJIINFFAU09CA,39,101.08,住家用,鋼筋混凝土加強磚造,68年2月21日,二層,一層 二層
RPRNMLQLIINFFAU96CA,2,310.64,住家用,鋼筋混凝土造,105年8月24日,四層,二層 三層 一層 四層 屋頂突出物 見其他登記事項
RPSNMLNJIINFFAU56CA,33,56.34,住家用,鋼筋混凝土造,75年1月24日,五層,二層
RPSNMLNJIINFFAU56CA,33,9.71,共有部份,鋼筋混凝土造,75年1月24日,五層,
RPPNMLOJIINFFAU98CA,7,218.41,住家用,鋼筋混凝土造,100年4月14日,三層,一層 二層 三層 見其他登記事項
RPPNMLTKIINFFCU17CA,,77.71,住家用,鋼筋混凝土加強磚造,,一層,一層
RPUOMLQKIINFFAU27CA,26,227.24,住家用,鋼筋混凝土造,81年6月26日,四層,一層 二層 三層 四層 騎樓
RPSNMLOJIINFFAU66CA,45,131.16,住家用,鋼筋混凝土加強磚造,62年12月10日,二層,一層 二層 騎樓
RPOPMLOJIINFFAU09CA,,78.22,見其他登記事項,鋼筋混凝土造,107年4月16日,五層,五層
RPOPMLOJIINFFAU09CA,,47.38,見其他登記事項,鋼筋混凝土造,107年4月16日,五層,
RPOOMLOJIINFFAU98CA,12,157.45,住家用,鋼筋混凝土造,95年7月21日,二層,一層 二層 屋頂突出物
RPWOMLOJIINFFAU17CA,37,118.56,住商用,鋼筋混凝土加強磚造,70年10月5日,二層,一層 二層 騎樓
RPPNMLOJIINFFCU56CA,13,191.66,住家用,鋼筋混凝土造,94年7月8日,三層,一層 二層 三層
RPRNMLSJIINFFAU96CA,35,175.32,住家用,鋼筋混凝土造,72年5月5日,三層,一層 二層 三層 屋頂突出物
RPROMLQKIINFFAU96CA,23,53.83,住家用,鋼筋混凝土造,84年11月4日,十層,三層
RPROMLQKIINFFAU96CA,23,9.69,共有部份,鋼筋混凝土造,84年11月4日,十層,
RPROMLQKIINFFAU96CA,23,11.84,共有部份,鋼筋混凝土造,84年11月4日,十層,
RPUNMLNJIINFFCU96CA,1,294.70,住家用,鋼筋混凝土造,106年5月11日,三層,一層 二層 三層 屋頂突出物 騎樓
RPQNMLOJIINFFCU66CA,1,294.70,住家用,鋼筋混凝土造,106年5月11日,三層,一層 二層 三層 屋頂突出物 騎樓
RPPNMLTLIINFFCU27CA,,237.64,住家用,鋼筋混凝土造,107年7月6日,三層,一層 二層 三層 屋頂突出物
RPTNMLPJIINFFAU86CA,23,61.86,住家用,鋼筋混凝土造,84年3月20日,六層,二層
RPTNMLPJIINFFAU86CA,23,25.93,共有部份,鋼筋混凝土造,84年3月20日,六層,
RPTOMLTJIINFFAU37CA,40,111.34,住商用,鋼筋混凝土加強磚造,67年9月16日,二層,一層 二層 騎樓
RPVOMLQKIINFFAU37CA,20,157.70,住家用,鋼筋混凝土造,87年11月16日,三層,一層 二層 三層
RPSOMLQKIINFFAU07CA,30,265.54,住商用,鋼筋混凝土造,77年8月15日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPUNMLPLIINFFAU17CA,2,417.72,住家用,鋼筋混凝土造,105年6月30日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
