編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUNMLSJIINFFAU27CA,石壁段,8.43,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLOJIINFFAU07CA,吉興段,12.17,都市：住
RPWNMLOJIINFFAU07CA,吉興段,12.46,都市：住
RPPNMLQKIINFFBU76CA,大平段,78.50,非都市：一般農業區 ; 非都市編定：交通用地
RPPNMLQKIINFFBU76CA,大平段,1679.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLQKIINFFAU76CA,吉興段,287.17,都市：住
RPWNMLPKIINFFAU27CA,福祥段,142.00,都市：住
RPTNMLMJIINFFAU56CA,仁和段,2208.83,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLQKIINFFBU86CA,鳳仁段,9.00,都市：住
RPUNMLMJIINFFAU66CA,自強段,5.63,都市：住
RPVNMLOJIINFFAU96CA,仁廉段,100.00,都市：住
RPVNMLMJIINFFAU76CA,林森段,36.50,都市：住
RPXNMLTJIINFFAU67CA,慶豐段,98.00,都市：住
RPWNMLMJIINFFAU86CA,富國段,3.67,都市：商
RPXNMLMJIINFFAU96CA,富國段,3.67,都市：商
RPXNMLOJIINFFAU17CA,路內段,53.09,都市：住
RPQNMLNJIINFFAU98CA,南埔段,229.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNJIINFFAU09CA,碧雲段,78.00,都市：住
RPQNMLPJIINFFAU56CA,共和段,236.36,都市：農
RPQNMLPJIINFFAU56CA,共和段,10.65,都市：其他
RPQNMLPJIINFFAU56CA,共和段,361.95,都市：農
RPQNMLPJIINFFAU56CA,共和段,19.20,都市：其他
RPRNMLQLIINFFAU96CA,南埔段,150.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPSNMLNJIINFFAU56CA,莊敬段,15.89,都市：住
RPPNMLOJIINFFAU98CA,太昌段,174.00,都市：農
RPTNMLPKIINFFBU07CA,西富段,499.07,非都市：特定農業區 ; 非都市編定：農牧用地
RPTNMLPKIINFFBU07CA,西富段,1033.70,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLTKIINFFCU17CA,掃叭頂段,279.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLTKIINFFCU17CA,掃叭頂段,175.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUOMLQKIINFFAU27CA,福祥段,18.00,都市：住
RPUOMLQKIINFFAU27CA,福祥段,20.00,都市：住
RPUOMLQKIINFFAU27CA,福祥段,50.00,都市：住
RPTNMLOJIINFFAU76CA,四維段,164.32,都市：農
RPROMLOJIINFFAU86EA,精鐘段,777.01,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPSNMLOJIINFFAU66CA,四維段,172.51,都市：農
RPUNMLOJIINFFAU86CA,烏杙段,1582.80,都市：農
RPPNMLSJIINFFCU96CA,高寮段,1505.78,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLTJIINFFCU17CA,竹田段,184.80,非都市：特定農業區 ; 非都市編定：農牧用地
RPPOMLOJIINFFAU09CA,德安段,153.00,都市：住
RPOOMLOJIINFFAU98CA,碧雲段,110.00,都市：住
RPOPMLOJIINFFAU09CA,碧雲段,41.91,都市：住
RPWOMLOJIINFFAU17CA,烏杙段,89.00,都市：農
RPWOMLOJIINFFAU17CA,烏杙段,89.00,都市：農
RPWOMLOJIINFFAU17CA,烏杙段,52.54,都市：農
RPSNMLOJIINFFCU86CA,太平段,3302.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPPNMLOJIINFFCU56CA,玉城段,112.00,都市：住
RPRNMLSJIINFFAU96CA,石壁段,178.32,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPWOMLQKIINFFAU47CA,德姆南段,833.83,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPROMLQKIINFFAU96CA,德安段,13.46,都市：住
RPUNMLNJIINFFCU96CA,玉璞段,142.00,都市：住
RPQNMLOJIINFFCU66CA,玉璞段,141.00,都市：住
RPPNMLTLIINFFCU27CA,瑞新段,107.84,都市：住
RPPNMLTLIINFFCU27CA,瑞新段,26.60,都市：住
RPUNMLMKIINFFAU76CA,裕民段,108.00,都市：住
RPRNMLPJIINFFAU66CA,光英段,595.85,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLPJIINFFAU86CA,仁義段,20.96,都市：住
RPTOMLTJIINFFAU37CA,仁禮段,65.00,都市：商
RPTOMLTJIINFFAU37CA,仁禮段,16.00,都市：商
RPVOMLQKIINFFAU37CA,慶豐段,72.00,都市：住
RPVOMLQKIINFFAU37CA,慶豐段,5.00,都市：住
RPSOMLQKIINFFAU07CA,富國段,114.00,都市：商
