鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
卑南鄉,土地,利家段7141~7170地號,1601.0,,特定農業區,農牧用地,1070918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,1562,,0.0,0,,RPQNMLMJIINFFAV98CA
台東市,土地,永樂段61~90地號,348.0,住,,,1070718,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,30172,,0.0,0,,RPPNMLQJIINFFAV66CA
台東市,房地(土地+建物),臺東縣臺東市中華路二段239巷1~30號,83.41,住,,,1070815,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0840419,158.16,4,2,4,有,無,5300000,33510,,0.0,0,,RPVNMLMKIINFFAV96CA
台東市,土地,台東段601~630地號,22.0,住,,,1070809,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,998250,45375,,0.0,0,,RPROMLLKIINFFAV56CA
台東市,房地(土地+建物),臺東縣臺東市傳廣路69巷17弄1~30號,68.0,住,,,1070809,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740802,106.78,2,2,1,有,無,5201750,48715,,0.0,0,,RPSOMLLKIINFFAV66CA
台東市,房地(土地+建物),臺東縣臺東市綏遠路二段131巷1弄1~30號,23.93,住,,,1070828,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0860926,83.42,2,1,1,有,有,2000000,23975,,0.0,0,,RPWNMLQKIINFFAV47CA
台東市,房地(土地+建物),臺東縣臺東市中山路154巷61~90號,127.0,住,,,1070830,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070420,226.94,4,2,5,有,無,14800000,65215,,0.0,0,,RPUNMLRKIINFFAV37CA
台東市,房地(土地+建物),臺東縣臺東市杭州街271~300號,168.0,住,,,1070911,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0810625,209.0,0,0,0,有,無,8824340,42222,,0.0,0,本案賣方賣清，一切費用及稅賦由買方負擔，買賣契約書載明870萬元，買方負擔土地增值稅124340元。,RPPNMLOJIINFFAV09CA
卑南鄉,房地(土地+建物),臺東縣卑南鄉鎮樂路1~30號,9.98,住,,,1070914,土地2建物1車位0,六層,六層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0821026,39.62,1,1,1,有,無,600000,15144,,0.0,0,,RPRNMLOJIINFFAV66CA
台東市,房地(土地+建物),臺東縣臺東市更生北路496巷4弄1~30號,87.87,住,,,1070903,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1061221,168.62,5,2,5,有,無,8000000,47444,,0.0,0,,RPSNMLOJIINFFAV76CA
鹿野鄉,土地,瑞里段31~60地號,987.54,,一般農業區,農牧用地,1070830,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,506,,0.0,0,,RPPNMLQKIINFFCV96CA
台東市,房地(土地+建物),臺東縣臺東市富裕路502巷11弄1~30號,108.34,住,,,1070614,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070322,230.38,6,2,6,有,無,8900000,38632,,0.0,0,,RPPOMLLKIINFFAV98CA
台東市,土地,富岡南段811~840地號,18.23,,風景區,丙種建築用地,1070918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,430410,23610,,0.0,0,,RPQNMLOJIINFFAV66DA
太麻里鄉,土地,德其段751~780地號,43.0,住,,,1070823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,4651,,0.0,0,,RPPNMLSJIINFFDV27DA
台東市,土地,東農段901~930地號,833.0,,特定農業區,農牧用地,1070912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1801,,0.0,0,,RPVNMLOJIINFFAV07CA
台東市,土地,東農段541~570地號,47.39,住,,,1070914,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1018005,21481,,0.0,0,,RPXNMLOJIINFFAV27CA
台東市,土地,東農段541~570地號,327.78,住,,,1070914,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7041181,21481,,0.0,0,,RPOOMLOJIINFFAV09CA
台東市,房地(土地+建物),臺東縣臺東市仁二街151~180號,114.0,住,,,1070917,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0870825,261.64,4,2,3,有,無,9000000,34398,,0.0,0,,RPQNMLPJIINFFAV66CA
東河鄉,土地,大馬段31~60地號,3831.0,,風景區,農牧用地,1070920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,522,,0.0,0,,RPQNMLSJIINFFBV07CA
台東市,房地(土地+建物),臺東縣臺東市中興路二段450巷28弄61~90號,11.5,住,,,1070827,土地1建物1車位0,九層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850628,72.36,2,2,1,有,無,3280000,45329,,0.0,0,本買賣總價款包含車位在內，其車位面積為39.64平方公尺,RPPNMLQLIINFFAV86CA
台東市,房地(土地+建物),臺東縣臺東市長沙街151~180號,54.89,住,,,1070811,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0821203,117.3,3,2,2,有,有,2700000,23018,,0.0,0,,RPWNMLOJIINFFAV17CA
台東市,房地(土地+建物),臺東縣臺東市更生路151巷1~30號,7.92,住,,,1070904,土地1建物1車位0,三層,五層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0830302,26.24,0,0,0,無,無,750000,28582,,0.0,0,,RPUNMLOJIINFFAV96CA
卑南鄉,房地(土地+建物),臺東縣卑南鄉太平路504巷2弄1~30號,89.0,,特定農業區,甲種建築用地,1070917,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0751018,121.27,4,3,3,有,無,3200000,26387,,0.0,0,,RPVNMLSJIINFFAV47CA
台東市,房地(土地+建物),臺東縣臺東市傳廣路388巷91~120號,16.72,住,,,1070917,土地1建物1車位0,七層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850326,94.73,3,2,1,有,無,3900000,41170,,0.0,0,,RPWNMLSJIINFFAV57CA
卑南鄉,房地(土地+建物),臺東縣卑南鄉泰安路331~360號,54.38,,一般農業區,甲種建築用地,1070903,土地1建物1車位0,全,一層,透天厝,住家用,見其他登記事項,0730115,32.55,2,1,2,有,無,2350000,72197,,0.0,0,,RPPNMLLKIINFFAV88CA
台東市,房地(土地+建物),臺東縣臺東市正氣路391~420號,7.19,住,,,1070720,土地1建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0701021,122.72,3,2,2,有,無,3850000,31372,,0.0,0,,RPXNMLSJIINFFAV67CA
台東市,房地(土地+建物),臺東縣臺東市豐里街511~540號,107.01,,鄉村區,乙種建築用地,1070921,土地1建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1030605,204.91,4,2,5,有,無,9000000,43922,,0.0,0,,RPPOMLSJIINFFAV96CA
台東市,土地,豐康段31~60地號,209.94,住,,,1070918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6032500,28734,,0.0,0,,RPQNMLTJIINFFAV07CA
長濱鄉,土地,永福段1051~1080地號,318.01,,風景區,丙種建築用地,1070921,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,5031,,0.0,0,,RPRNMLMKIINFFBV66CA
池上鄉,土地,慶豐段391~420地號,666.49,,特定農業區,甲種建築用地,1070918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1466278,2200,,0.0,0,,RPPNMLSJIINFFCV07CA
台東市,土地,中清段571~600地號,867.79,其他,,,1070814,土地15建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10500000,12100,,0.0,0,,RPUNMLSJIINFFAV37CA
太麻里鄉,土地,金崙段241~270地號,2707.0,,山坡地保育區,農牧用地,1070911,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,739,,0.0,0,土地上有一棟沒有門牌及未保存房屋,RPPNMLKKIINFFDV09CA
