編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSOMLLKIINFFAV66CA,33,106.78,住家用,加強磚造,74年8月2日,二層,一層 二層
RPWNMLQKIINFFAV47CA,21,60.07,見其他登記事項,鋼筋混凝土造,86年9月26日,五層,二層
RPWNMLQKIINFFAV47CA,21,13.47,見其他登記事項,鋼筋混凝土造,86年9月26日,五層,
RPWNMLQKIINFFAV47CA,21,9.88,見其他登記事項,,86年9月26日,五層,
RPPOMLLKIINFFAV98CA,,230.38,見其他登記事項,見其他登記事項,107年3月22日,三層,一層 二層 三層 見其他登記事項
RPRNMLOJIINFFAV66CA,25,28.00,見其他登記事項,鋼筋混凝土造,82年10月26日,六層,六層
RPSNMLOJIINFFAV76CA,1,168.62,住家用,見其他登記事項,106年12月21日,三層,一層 二層 三層
RPRNMLOJIINFFAV66CA,25,11.62,見其他登記事項,鋼筋混凝土造,82年10月26日,六層,
RPPNMLOJIINFFAV09CA,26,209.00,住家用,鋼筋混凝土造,81年6月25日,三層,一層 二層 三層
RPVNMLMKIINFFAV96CA,23,158.16,住家用,鋼筋混凝土造,84年4月19日,四層,一層 二層 三層 四層
RPUNMLOJIINFFAV96CA,25,18.22,見其他登記事項,鋼筋混凝土造,83年3月2日,五層,三層
RPUNMLOJIINFFAV96CA,25,8.02,見其他登記事項,鋼筋混凝土造,83年3月2日,五層,
RPUNMLRKIINFFAV37CA,,226.94,見其他登記事項,見其他登記事項,107年4月20日,三層,一層 二層 三層 見其他登記事項
RPQNMLPJIINFFAV66CA,20,261.64,住家用,鋼筋混凝土造,87年8月25日,四層,一層 二層 三層 四層
RPPNMLLKIINFFAV88CA,35,32.55,住家用,見其他登記事項,73年1月15日,一層,一層 騎樓
RPPNMLQLIINFFAV86CA,22,10.94,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,
RPPNMLQLIINFFAV86CA,22,6.84,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,
RPPNMLQLIINFFAV86CA,22,54.59,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,九層
RPWNMLOJIINFFAV17CA,25,102.74,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,四層
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.69,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,3.58,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.69,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,2.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPXNMLSJIINFFAV67CA,37,91.53,住家用,鋼筋混凝土造,70年10月21日,七層,五層
RPXNMLSJIINFFAV67CA,,14.92,見其他登記事項,鋼筋混凝土造,,一層,
RPXNMLSJIINFFAV67CA,37,16.28,見其他登記事項,鋼筋混凝土造,70年10月21日,七層,
