編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLMJIINFFAV98CA,利家段,1601.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLQJIINFFAV66CA,永樂段,348.00,都市：住
RPROMLLKIINFFAV56CA,台東段,22.00,都市：住
RPSOMLLKIINFFAV66CA,台東段,68.00,都市：住
RPWNMLQKIINFFAV47CA,豐康段,17.34,都市：住
RPWNMLQKIINFFAV47CA,豐康段,6.58,都市：住
RPPOMLLKIINFFAV98CA,建成段,108.34,都市：住
RPPNMLQKIINFFCV96CA,瑞里段,987.54,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLOJIINFFAV66DA,富岡南段,18.23,非都市：風景區 ; 非都市編定：丙種建築用地
RPRNMLOJIINFFAV66CA,建樂段,8.95,都市：住
RPRNMLOJIINFFAV66CA,建樂段,1.03,都市：住
RPSNMLOJIINFFAV76CA,南王段,87.87,都市：住
RPPNMLOJIINFFAV09CA,台東段,168.00,都市：住
RPVNMLMKIINFFAV96CA,東海段,83.41,都市：住
RPOOMLOJIINFFAV09CA,東農段,15.61,都市：住
RPOOMLOJIINFFAV09CA,東農段,312.17,都市：住
RPUNMLOJIINFFAV96CA,台東段,7.92,都市：住
RPUNMLRKIINFFAV37CA,台東段,127.00,都市：住
RPQNMLPJIINFFAV66CA,馬蘭段,114.00,都市：住
RPPNMLSJIINFFDV27DA,德其段,43.00,都市：住
RPXNMLOJIINFFAV27CA,東農段,47.39,都市：住
RPVNMLOJIINFFAV07CA,東農段,833.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLTJIINFFAV07CA,豐康段,209.94,都市：住
RPQNMLSJIINFFBV07CA,大馬段,3831.00,非都市：風景區 ; 非都市編定：農牧用地
RPRNMLMKIINFFBV66CA,永福段,318.01,非都市：風景區 ; 非都市編定：丙種建築用地
RPPNMLLKIINFFAV88CA,泰安段,54.38,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPPNMLSJIINFFCV07CA,慶豐段,666.49,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPNMLQLIINFFAV86CA,豐年段,11.50,都市：住
RPWNMLOJIINFFAV17CA,台東段,54.89,都市：住
RPWNMLMKIINFFAV07CA,豐富段,2492.74,都市：農
RPWNMLMKIINFFAV07CA,豐富段,2237.73,都市：農
RPWNMLMKIINFFAV07CA,豐富段,1476.10,都市：農
RPWNMLMKIINFFAV07CA,豐富段,2939.07,都市：農
RPPNMLKKIINFFDV09CA,金崙段,2707.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUNMLSJIINFFAV37CA,中清段,204.46,都市：其他
RPUNMLSJIINFFAV37CA,中清段,125.62,都市：住
RPUNMLSJIINFFAV37CA,中清段,9.13,都市：其他
RPUNMLSJIINFFAV37CA,中清段,4.75,都市：住
RPUNMLSJIINFFAV37CA,中清段,120.49,都市：其他
RPUNMLSJIINFFAV37CA,中清段,.25,都市：住
RPUNMLSJIINFFAV37CA,中清段,19.32,都市：住
RPUNMLSJIINFFAV37CA,中清段,15.58,都市：住
RPUNMLSJIINFFAV37CA,中清段,.26,都市：住
RPUNMLSJIINFFAV37CA,中清段,.89,都市：其他
RPUNMLSJIINFFAV37CA,中清段,193.99,都市：住
RPUNMLSJIINFFAV37CA,中清段,158.93,都市：住
RPUNMLSJIINFFAV37CA,中清段,.43,都市：住
RPUNMLSJIINFFAV37CA,中清段,9.97,都市：其他
RPUNMLSJIINFFAV37CA,中清段,3.72,都市：其他
RPXNMLSJIINFFAV67CA,台東段,7.19,都市：住
RPWNMLSJIINFFAV57CA,台東段,16.72,都市：住
RPVNMLSJIINFFAV47CA,利家段,89.00,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPPOMLSJIINFFAV96CA,豐里段,107.01,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLLKIINFFBV09CA,三民段,74.56,都市：住
RPQNMLLKIINFFBV09CA,三民段,21.90,都市：住
RPOOMLLKIINFFAV88CA,台東段,78.00,都市：住
RPVNMLLKIINFFAV86CA,上南寮段,86.69,都市：其他
RPSNMLQKIINFFAV07CA,馬蘭段,2.53,都市：住
RPSNMLQKIINFFAV07CA,馬蘭段,2.97,都市：住
RPUNMLLMIINFFAV96CA,豐川段,65.47,都市：住
RPUOMLLKIINFFAV86CA,新生段,75.00,都市：住
RPXNMLLKIINFFAV07CA,台東段,3.00,都市：住
RPXNMLLKIINFFAV07CA,台東段,35.14,都市：住
RPPNMLPKIINFFBV86DA,成功段,443.86,都市：住
RPPNMLLJJINFFAV88CA,德安段,102.60,都市：住
RPTNMLLKIINFFAV66CA,建成段,117.58,都市：住
RPSNMLLKIINFFAV56CA,豐年段,93.84,都市：住
RPTNMLTKIINFFCV67CA,西莊段,17625.28,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLTKIINFFCV77CA,西莊段,1254.46,非都市：一般農業區 ; 非都市編定：農牧用地
RPUNMLTKIINFFCV77CA,西莊段,1750.13,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLTKIINFFCV47CA,水井段,484.48,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLTKIINFFCV47CA,水井段,1187.96,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,1279.38,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,1243.15,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,124.38,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,1840.42,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,2245.06,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,4645.77,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,420.19,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,1838.52,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,3699.37,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,1222.84,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,174.13,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,3144.10,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,287.44,非都市：特定農業區 ; 非都市編定：農牧用地
RPSNMLTKIINFFCV57CA,水井段,3493.36,非都市：特定農業區 ; 非都市編定：農牧用地
