鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
金城鎮,房地(土地+建物),金門縣金城鎮西海路三段39巷2弄1~30號,33.2,農,,,1070915,土地1建物1車位0,一層,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0831008,98.14,3,2,2,有,無,5100000,51967,,0.0,0,,RPRNMLNJIINFFAW66CA
金寧鄉,房地(土地+建物),金門縣金寧鄉下堡181~210號,71.42,其他,,,1070823,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,1031113,121.25,3,2,2,有,無,7250000,59794,,0.0,0,,RPQOMLNJIINFFAW66CA
金湖鎮,房地(土地+建物),金門縣金湖鎮林兜301~330號,100.19,其他,,,1070918,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070327,187.29,4,3,4,有,無,7600000,40579,,0.0,0,,RPSNMLRKIINFFAW27CA
金湖鎮,房地(土地+建物),金門縣金湖鎮林兜271~300號,163.47,其他,,,1070918,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070327,187.29,4,3,4,有,無,7600000,40579,,0.0,0,,RPTNMLRKIINFFAW37CA
金城鎮,房地(土地+建物),金門縣金城鎮小西門1~30號,42.91,其他,,,1070913,土地1建物1車位0,二層,三層,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0991012,88.41,3,2,2,有,無,4250000,48071,,0.0,0,,RPPNMLNLIINFFAW66CA
金城鎮,房地(土地+建物),金門縣金城鎮珠浦西路50巷5弄1~30號,112.06,住,,,1070927,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0671220,185.64,6,2,2,有,無,11550000,62217,,0.0,0,,RPWNMLQKIINFFAW57CA
金寧鄉,土地,盤山村段211~240地號,105.0,住,,,1070927,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,20000,,0.0,0,,RPQNMLTJIINFFAW17CA
金寧鄉,土地,寧北一劃段271~300地號,1957.22,農,,,1070930,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5400000,2759,,0.0,0,,RPQNMLSJIINFFAW07CA
金城鎮,房地(土地+建物),金門縣金城鎮莒光路151~180號,71.01,商,,,1070910,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0681230,211.86,2,2,2,有,無,16800000,79298,,0.0,0,,RPUNMLLKIINFFAW86CA
金寧鄉,土地,寧湖一劃段1~30地號,70.74,農,,,1070928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,799362,11300,,0.0,0,,RPTNMLPKIINFFAW17CA
金寧鄉,土地,寧湖一劃段1~30地號,61.05,農,,,1070928,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,689865,11300,,0.0,0,,RPUNMLPKIINFFAW27CA
金沙鎮,土地,洋山測段571~600地號,681.41,農,,,1070920,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,881,,0.0,0,,RPRNMLSJIINFFAW17CA
金寧鄉,土地,后沙劃測段211~240地號,457.96,其他,,,1070831,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1650000,3603,,0.0,0,,RPSNMLTJIINFFAW37CA
金湖鎮,土地,新頭段721~750地號,1173.37,其他,,,1070831,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,84000000,71589,,0.0,0,,RPPNMLPKJINFFAW86CA
金寧鄉,土地,鎮西段301~330地號,1011.87,農,,,1071008,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4500000,4447,,0.0,0,,RPUNMLRKIINFFAW57DA
金寧鄉,土地,后沙劃測段181~210地號,699.99,農,,,1070831,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2100000,3000,,0.0,0,,RPTNMLTJIINFFAW47CA
金城鎮,土地,金門城測段211~240地號,692.43,其他,,,1070912,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23000000,33216,,0.0,0,,RPQOMLSKIINFFAW27CA
金湖鎮,房地(土地+建物),金門縣金湖鎮林兜301~330號,106.25,其他,,,1070928,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1070327,185.67,4,2,4,有,無,11600000,62476,,0.0,0,,RPSNMLQKIINFFAW17CA
