編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLNLIINFFAW66CA,8,78.75,見其他登記事項,鋼筋混凝土造,99年10月12日,三層,二層
RPPNMLNLIINFFAW66CA,8,9.66,見其他登記事項,鋼筋混凝土造,99年10月12日,三層,
RPUNMLLKIINFFAW86CA,39,211.86,住商用,鋼筋混凝土造,68年12月30日,三層,一層 二層 三層 騎樓
RPTNMLRKIINFFAW37CA,,187.29,住家用,鋼筋混凝土造,107年3月27日,三層,一層 二層 三層
RPSNMLRKIINFFAW27CA,,187.29,住家用,鋼筋混凝土造,107年3月27日,三層,一層 二層 三層
RPQOMLNJIINFFAW66CA,4,115.38,見其他登記事項,鋼筋混凝土造,103年11月13日,三層,三層
RPQOMLNJIINFFAW66CA,4,5.87,見其他登記事項,鋼筋混凝土造,103年11月13日,三層,
RPRNMLNJIINFFAW66CA,24,98.14,住家用,鋼筋混凝土加強磚造,83年10月8日,三層,一層
RPWNMLQKIINFFAW57CA,40,185.64,住家用,鋼筋混凝土造,67年12月20日,二層,一層 二層 屋頂突出物 地下一層
