編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPQNMLTJIINFFAW17CA,盤山村段,52.00,都市：住
RPQNMLTJIINFFAW17CA,盤山村段,53.00,都市：住
RPTNMLPKIINFFAW17CA,寧湖一劃段,70.74,都市：農
RPPNMLNLIINFFAW66CA,小西門劃測段,42.91,都市：其他
RPUNMLLKIINFFAW86CA,城隍廟段,70.15,都市：商
RPUNMLLKIINFFAW86CA,城隍廟段,.86,都市：商
RPTNMLRKIINFFAW37CA,新頭段,.23,都市：其他
RPTNMLRKIINFFAW37CA,新頭段,163.24,都市：其他
RPUNMLPKIINFFAW27CA,寧湖一劃段,61.05,都市：農
RPSNMLRKIINFFAW27CA,新頭段,.68,都市：其他
RPSNMLRKIINFFAW27CA,新頭段,99.51,都市：其他
RPQOMLNJIINFFAW66CA,青山段,71.42,都市：其他
RPRNMLNJIINFFAW66CA,延平段,33.20,都市：農
RPWNMLQKIINFFAW57CA,祥瑞段,112.06,都市：住
RPRNMLSJIINFFAW17CA,洋山測段,681.41,都市：農
RPQNMLSJIINFFAW07CA,寧北一劃段,978.62,都市：農
RPQNMLSJIINFFAW07CA,寧北一劃段,978.60,都市：農
