編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLRKIINFFAX27CA,18,125.75,住家用,加強磚造,90年2月2日,一層,一層
RPTNMLQLIINFFAX47CA,21,96.01,住家用,鋼筋混凝土造,86年3月20日,七層,四層
RPTNMLQLIINFFAX47CA,21,31.24,住家用,鋼筋混凝土造,86年3月20日,七層,
RPVNMLQLIINFFAX67CA,23,109.67,住家用,鋼筋混凝土造,84年5月30日,四層,四層 夾層
RPVNMLQLIINFFAX67CA,23,19.12,見其他登記事項,鋼筋混凝土造,84年5月30日,四層,
RPSNMLLJIINFFAX76DA,24,192.47,住家用,鋼筋混凝土造,83年5月25日,三層,一層 二層 三層 電梯樓梯間
RPPNMLPJIINFFAX76CA,50,240.93,住商用,鋼筋混凝土加強空心磚造,57年7月5日,三層,一層 二層 三層
RPPNMLPJIINFFAX76CA,50,74.36,住商用,鋼筋混凝土加強空心磚造,57年7月5日,二層,一層 二層
RPPNMLTJIINFFAX17CA,,317.24,住家用,鋼筋混凝土造,107年8月27日,三層,一層 二層 三層 見其他登記事項
RPRNMLOJIINFFAX86CA,40,67.12,住商用,鋼筋混凝土造,67年8月2日,三層,一層 二層 三層 地下層
RPRNMLLKIINFFAX66CA,25,117.95,住家用,鋼筋混凝土造,82年8月31日,七層,四層
RPRNMLLKIINFFAX66CA,25,34.34,見其他登記事項,鋼筋混凝土造,82年8月31日,七層,
RPPNMLLKIINFFAX09CA,34,145.80,住商用,鋼筋混凝土造,73年4月11日,三層,一層 二層 三層 電梯樓梯間 地下層
RPQNMLLKIINFFAX76EA,39,68.32,住家用,鋼筋混凝土加強磚造,68年11月5日,二層,一層 二層 電梯樓梯間
RPUNMLSKIINFFAX67CA,20,203.33,住家用,鋼筋混凝土造,87年7月2日,三層,一層 二層 三層 電梯樓梯間
