編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLLMIINFFAX86CA,城北段,236.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLMIINFFAX86CA,城北段,231.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLMIINFFAX86CA,城北段,231.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLMIINFFAX86CA,城北段,231.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLMIINFFAX86CA,城北段,235.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLMIINFFAX86CA,城北段,237.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLMIINFFAX86CA,城北段,233.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLMIINFFAX86CA,城北段,233.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLMIINFFAX86CA,城北段,234.09,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLMIINFFAX86CA,城北段,252.10,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLSKIINFFAX17CA,葉新段,479.10,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLSKIINFFAX17CA,葉新段,19.55,非都市：一般農業區 ; 非都市編定：交通用地
RPRNMLRKIINFFAX27CA,紅羅段,408.13,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLPJIINFFAX86CA,中屯新段,329.12,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLQLIINFFAX37CA,興仁段,4086.25,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLQLIINFFAX47CA,埕西段,2.74,都市：住
RPTNMLQLIINFFAX47CA,埕西段,14.03,都市：住
RPTNMLQLIINFFAX47CA,埕西段,8.26,都市：住
RPVNMLQLIINFFAX67CA,四維段,52.80,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLTJIINFFAX37CA,馬公段,25.00,都市：商
RPRNMLSJIINFFAX27CA,雙湖段,427.08,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLTJIINFFAX47EA,北極段,133.77,都市：住
RPQNMLTJIINFFAX47EA,北極段,33.26,都市：住
RPQNMLTJIINFFAX47EA,北極段,13.77,都市：住
RPSNMLLJIINFFAX76DA,文東段,100.30,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLLJIINFFAX76DA,文東段,25.08,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLPJIINFFAX76CA,馬公段,74.00,都市：商
RPPNMLPJIINFFAX76CA,馬公段,74.00,都市：商
RPPNMLTJIINFFAX17CA,六合段,18.04,非都市：一般農業區 ; 非都市編定：交通用地
RPPNMLTJIINFFAX17CA,六合段,226.85,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPRNMLOJIINFFAX86CA,埕中段,41.52,都市：住
RPPNMLNKIINFFAX66CA,二崁南段,1232.35,都市：農
RPPNMLNKIINFFAX66CA,二崁南段,1427.73,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKIINFFAX66CA,二崁南段,1445.02,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLSKIINFFAX37CA,烏崁新段,389.82,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLSKIINFFAX47CA,烏崁新段,45.11,非都市：一般農業區 ; 非都市編定：農牧用地
RPRNMLLKIINFFAX66CA,西澳段,4.43,都市：住
RPRNMLLKIINFFAX66CA,西澳段,2.93,都市：住
RPRNMLLKIINFFAX66CA,西澳段,23.92,都市：住
RPPNMLLKIINFFAX09CA,埕東段,49.90,都市：商
RPQNMLLKIINFFAX76EA,埕西段,52.65,都市：住
RPUNMLSKIINFFAX67CA,文石段,111.64,非都市：一般農業區 ; 非都市編定：甲種建築用地
