鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
中山區,建物,臺北市中山區吉林路456巷1~30號,0.0,住,,,1070914,土地0建物1車位0,一層,7,辦公商業大樓,商業用,鋼筋混凝土造,0751103,50.21,0,0,0,無,有,無,36326,723,,0.0,0,,RPPNMLLJIINFFCA07CC
中山區,建物,臺北市中山區北安路811~840號,0.0,住,,,1070915,土地0建物1車位0,六層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0991224,45.44,1,0,1,有,有,無,25000,550,,0.0,0,,RPSNMLLJIINFFCA37CC
內湖區,建物,臺北市內湖區文德路90巷1~30號,18.66,住,,,1071001,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710610,74.6,2,1,1,有,無,有,21000,282,,0.0,0,,RPTNMLLJIINFFCA47CC
中山區,建物,臺北市中山區松江路271~300號,0.0,商,,,1070910,土地0建物1車位0,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0590131,160.87,4,2,2,有,無,有,46000,286,,0.0,0,,RPWNMLLJIINFFCA77CC
內湖區,建物,臺北市內湖區內湖路一段691~720號,0.0,商,,,1070929,土地0建物1車位2,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001028,223.9,3,2,2,有,有,有,79464,355,坡道平面,0.0,0,,RPXNMLLJIINFFCA87CC
中山區,建物,臺北市中山區中山北路二段45巷1~30號,28.0,商,,,1070930,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0661026,187.33,0,0,0,無,無,無,50000,267,,0.0,0,,RPQOMLLJIINFFCA27CC
中山區,建物,臺北市中山區新生北路二段68巷1~30號,0.0,商,,,1070923,土地0建物1車位0,九層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0971229,66.31,1,1,1,有,有,有,30000,452,,0.0,0,,RPSOMLLJIINFFCA47CC
中山區,建物,臺北市中山區中山北路二段151~180號,0.0,商,,,1070928,土地0建物1車位0,三層,14,套房(1房1廳1衛),住家用,鋼骨鋼筋混凝土造,0951129,61.9,1,1,1,有,有,有,30000,485,,0.0,0,,RPTPMLLJIINFFCA67CC
內湖區,建物,臺北市內湖區港墘路1~30號,0.0,住,,,1070921,土地0建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0721004,91.81,0,0,0,無,無,無,45000,490,,0.0,0,,RPTRMLLJIINFFCA87CC
內湖區,建物,臺北市內湖區瑞光路1~30號,0.0,工,,,1070907,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1031211,93.0,0,1,1,有,有,有,30000,323,,0.0,0,,RPOSMLLJIINFFCA47CC
內湖區,建物,臺北市內湖區港華街61~90號,0.0,住,,,1070908,土地0建物1車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740726,76.0,2,2,1,有,無,有,20000,263,,0.0,0,,RPQSMLLJIINFFCA67CC
信義區,建物,臺北市信義區忠孝東路五段492巷1~30號,0.0,商,,,1070818,土地0建物1車位0,一層,17,店面(店鋪),商業用,鋼骨鋼筋混凝土造,0820514,57.47,0,0,0,無,有,無,37000,644,,0.0,0,此房屋租賃為1樓及平台,RPTNMLLJIINFFDA57CC
南港區,建物,臺北市南港區舊莊街一段3巷12弄1~30號,0.0,住,,,1070926,土地0建物1車位0,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830603,98.44,3,1,2,有,有,有,18000,183,,0.0,0,台北市社會住宅包租代管計畫專案,RPXNMLLJIINFFDA97CC
信義區,建物,臺北市信義區松仁路151~180號,0.0,其他,,,1070915,土地0建物1車位1,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0960719,332.09000000000003,4,2,3,有,有,無,170000,512,坡道平面,0.0,0,租金含大樓管理費。,RPTOMLLJIINFFDA67CC
中正區,建物,臺北市中正區新生南路一段1~30號,0.0,其他,,,1070927,土地0建物1車位0,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0741210,134.20999999999998,4,2,2,有,有,有,42000,313,,0.0,0,,RPTOMLLJIINFFBA47CC
大同區,車位,臺北市大同區南京西路301~330號,0.0,商,,,1070911,土地0建物0車位14,,12,其他,見使用執照,鋼筋混凝土造,0691028,991.91,0,0,0,有,有,無,45000,,升降平面,0.0,45000,租賃範圍含其他公設，且無法區分公設面積。,RPVOMLLJIINFFBA67CC
