編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLLJIINFFCA47CC,36,74.60,住家用,鋼筋混凝土造,71年6月10日,五層,
RPWNMLLJIINFFCA77CC,49,160.87,住家用,鋼筋混凝土造,59年1月31日,十一層,
RPOSMLLJIINFFCA47CC,4,50.69,見其他登記事項,鋼筋混凝土造,103年12月11日,七層,
RPOSMLLJIINFFCA47CC,4,36.88,見其他登記事項,鋼筋混凝土造,103年12月11日,七層,
RPOSMLLJIINFFCA47CC,4,5.43,見其他登記事項,鋼筋混凝土造,103年12月11日,七層,
RPQOMLLJIINFFCA27CC,41,187.33,商業用,鋼筋混凝土造,66年10月26日,七層,
RPXNMLLJIINFFDA97CC,24,83.38,住家用,鋼筋混凝土造,83年6月3日,七層,
RPXNMLLJIINFFDA97CC,24,15.06,共有部分,鋼筋混凝土造,83年6月3日,七層,
RPTPMLLJIINFFCA67CC,12,42.69,住家用,鋼骨鋼筋混凝土造,95年11月29日,十四層,
RPTPMLLJIINFFCA67CC,12,13.84,共有部分,鋼骨鋼筋混凝土造,95年11月29日,十四層,
RPTPMLLJIINFFCA67CC,12,5.37,共有部分,鋼骨鋼筋混凝土造,95年11月29日,十四層,
RPQSMLLJIINFFCA67CC,33,76.00,住家用,鋼筋混凝土造,74年7月26日,五層,
RPXNMLLJIINFFCA87CC,7,149.62,住家用,鋼筋混凝土造,100年10月28日,十四層,
RPXNMLLJIINFFCA87CC,7,74.28,見其他登記事項,鋼筋混凝土造,100年10月28日,十四層,
RPTOMLLJIINFFDA67CC,11,209.11,住家用,鋼骨鋼筋混凝土造,96年7月19日,十二層,
RPTOMLLJIINFFDA67CC,11,62.99,共有部分,鋼骨鋼筋混凝土造,96年7月19日,十二層,
RPTOMLLJIINFFDA67CC,11,17.13,共有部分,鋼骨鋼筋混凝土造,96年7月19日,十二層,
RPTOMLLJIINFFDA67CC,11,42.86,共有部分,鋼骨鋼筋混凝土造,96年7月19日,十二層,
RPVOMLLJIINFFBA67CC,38,446.03,見使用執照,鋼筋混凝土造,69年10月28日,十二層,
RPVOMLLJIINFFBA67CC,38,382.51,見使用執照,鋼筋混凝土造,69年10月28日,十二層,
RPVOMLLJIINFFBA67CC,38,163.37,共有部分,鋼筋混凝土造,69年10月28日,十二層,
RPTOMLLJIINFFBA47CC,33,114.82,住家用,鋼筋混凝土造,74年12月10日,十四層,
RPTOMLLJIINFFBA47CC,33,19.39,共有部分,鋼筋混凝土造,74年12月10日,十四層,
RPOPMLLJIINFFBA07CC,,120.38,住家用,磚造,,二層,
RPRNMLLJIINFFEA47CC,1,113.46,見其他登記事項,鋼筋混凝土造,106年11月16日,十三層,
RPRNMLLJIINFFEA47CC,1,57.31,見其他登記事項,鋼筋混凝土造,106年11月16日,十三層,
RPRNMLLJIINFFEA47CC,1,24.29,見其他登記事項,鋼筋混凝土造,106年11月16日,十三層,
RPRNMLLJIINFFFA57CC,11,115.75,住家用,鋼骨鋼筋混凝土造,97年3月17日,十三層,
RPRNMLLJIINFFFA57CC,11,17.95,共有部分,鋼骨鋼筋混凝土造,97年3月17日,十三層,
