編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPTNMLLJIINFFCA47CC,文德段二小段,18.66,都市：住
RPWNMLLJIINFFCA77CC,榮星段六小段,.00,都市：商
RPOSMLLJIINFFCA47CC,文德段五小段,.00,都市：工
RPQOMLLJIINFFCA27CC,中山段三小段,28.00,都市：商
RPXNMLLJIINFFDA97CC,中南段四小段,.00,都市：住
RPTPMLLJIINFFCA67CC,中山段二小段,.00,都市：商
RPQSMLLJIINFFCA67CC,碧湖段四小段,.00,都市：住
RPXNMLLJIINFFCA87CC,碧湖段三小段,.00,都市：商
RPTOMLLJIINFFDA67CC,信義段五小段,.00,都市：其他
RPVOMLLJIINFFBA67CC,玉泉段一小段,.00,都市：商
RPVOMLLJIINFFBA67CC,玉泉段一小段,.00,都市：商
RPVOMLLJIINFFBA67CC,玉泉段一小段,.00,都市：商
RPTOMLLJIINFFBA47CC,臨沂段一小段,.00,都市：其他
RPTOMLLJIINFFBA47CC,臨沂段一小段,.00,都市：其他
RPOPMLLJIINFFBA07CC,市府段三小段,.00,都市：商
RPOPMLLJIINFFBA07CC,市府段三小段,.00,都市：商
RPOPMLLJIINFFBA07CC,市府段三小段,.00,都市：其他
RPRNMLLJIINFFEA47CC,新洲美段,.00,都市：其他
RPRNMLLJIINFFFA57CC,懷生段二小段,.00,都市：商
RPXPMLMJIINFFDA38DC,雅祥段二小段,.00,都市：商
RPSNMLLJIINFFFA67CC,瑞安段二小段,.00,都市：住
RPTRMLLJIINFFCA87CC,碧湖段三小段,.00,都市：住
RPTRMLLJIINFFCA87CC,碧湖段三小段,.00,都市：住
RPSOMLLJIINFFCA47CC,吉林段四小段,.00,都市：商
RPRNMLMJIINFFFA77DC,通化段四小段,.00,都市：商
RPRNMLMJIINFFFA77DC,通化段四小段,.00,都市：商
RPSNMLMJIINFFFA77CC,金華段二小段,.00,都市：住
RPPNMLLJIINFFCA07CC,德惠段三小段,.00,都市：住
RPSNMLLJIINFFCA37CC,北安段一小段,.00,都市：住
RPUNMLMJIINFFFA97CC,瑞安段二小段,.00,都市：住
RPTNMLMJIINFFFA87CC,瑞安段二小段,.00,都市：住
RPVNMLMJIINFFFA08CC,瑞安段二小段,.00,都市：住
RPQNMLMJIINFFEA47CC,關渡段三小段,.00,都市：住
RPTNMLMJIINFFEA77CC,天母段三小段,.00,都市：住
RPTNMLMJIINFFEA77CC,天母段三小段,.00,都市：住
RPPOMLMJIINFFEA47CC,百齡段二小段,.00,都市：工
RPPNMLLJIINFFAA86CC,興安段一小段,.00,都市：住
RPPNMLLJIINFFAA86CC,興安段一小段,.00,都市：住
RPUVMLMJIINFFBA38CC,漢中段一小段,.00,都市：商
RPQNMLMJIINFFFA57CC,通化段六小段,.00,都市：其他
RPPPMLLJIINFFBA17CC,市府段一小段,.00,都市：商
RPXVMLMJIINFFBA68CC,市府段一小段,.00,都市：商
RPXOMLLJIINFFBA87CC,大同段二小段,.00,都市：住
RPXOMLLJIINFFBA87CC,大同段二小段,.00,都市：住
RPXOMLLJIINFFBA87CC,大同段二小段,.00,都市：住
RPOWMLMJIINFFBA87CC,雙園段二小段,.00,都市：住
RPTWMLMJIINFFBA38CC,漢中段二小段,.00,都市：商
RPUWMLMJIINFFBA48CC,漢中段二小段,.00,都市：商
RPPNMLMJIINFFDA27CC,信義段一小段,.00,都市：住
RPTNMLLJIINFFDA57CC,福德段三小段,.00,都市：商
RPQOMLMJIINFFDA47CC,美仁段一小段,.00,都市：住
RPSNMLMJIINFFDA57CC,信義段五小段,.00,都市：住
RPPOMLMJIINFFDA37CC,信義段五小段,.00,都市：其他
RPUOMLMJIINFFDA87CC,西松段三小段,.00,都市：住
RPOPMLMJIINFFDA37CC,敦化段三小段,.00,都市：商
RPOPMLMJIINFFDA37CC,敦化段三小段,.00,都市：商
RPQPMLMJIINFFDA57CC,經貿段,.00,都市：其他
RPSNMLMJIINFFCA47CC,榮星段七小段,.00,都市：住
RPVNMLMJIINFFEA97CC,天母段一小段,.00,都市：商
RPSNMLMJIINFFEA67CC,福林段三小段,.00,都市：住
RPSOMLMJIINFFEA77CC,天山段二小段,.00,都市：住
RPVOMLMJIINFFEA08CC,百齡段五小段,.00,都市：住
RPUNMLMJIINFFEA87CC,天山段二小段,.00,都市：商
RPOOMLMJIINFFCA17CC,德惠段二小段,.00,都市：住
RPOOMLMJIINFFCA17CC,德惠段二小段,.00,都市：住
RPXOMLMJIINFFCA08CC,中山段三小段,.00,都市：商
RPSOMLMJIINFFCA57CC,金泰段,.00,都市：其他
RPOPMLMJIINFFCA27CC,潭美段五小段,.00,都市：其他
RPQPMLMJIINFFCA47CC,中山段一小段,.00,都市：商
RPWPMLMJIINFFCA08CC,長安段三小段,.00,都市：住
RPQOMLMJIINFFCA37CC,吉林段四小段,.00,都市：商
RPQQMLMJIINFFCA57CC,石潭段四小段,.00,都市：商
RPQNMLMJIINFFCA27CC,長安段三小段,.00,都市：住
RPTNMLMJIINFFCA57CC,碧湖段三小段,.00,都市：商
RPSQMLMJIINFFCA77CC,石潭段四小段,.00,都市：商
RPROMLMJIINFFCA47CC,長安段三小段,.00,都市：商
RPPNMLMJIINFFCA17CC,吉林段四小段,.00,都市：商
RPXQMLMJIINFFCA28CC,吉林段四小段,.00,都市：商
RPTPMLMJIINFFDA87CC,雅祥段三小段,.00,都市：商
RPTPMLMJIINFFDA87CC,雅祥段三小段,.00,都市：商
